Tỉnh/Thành phố,Thời gian,CSTP 5: Chi phí không chính thức,Các DN cùng ngành thường phải trả thêm các khoản CKKCT (% Đồng ý),Công việc đạt được kết quả mong đợi sau khi trả CPKCT (%luôn luôn/hầu hết),Tình trạng nhũng nhiễu khi giải quyết TTHC cho DN là phổ biến (% Đồng ý),Các khoản CPKCT ở mức chấp nhận được (% Đồng ý),"Tỉ lệ DN có chi trả CPKCT cho cán bộ thanh, kiểm tra(%)",Tỉ lệ DN phải chi hơn 10% doanh thu cho các loại CPKCT (%),Tỉ lệ DN có chi trả CPKCT trong thực hiện TTHC đất đai(%),Chi trả CPKCT là điều bắt buộc để đảm bảo trúng thầu (% Đồng ý),DN lo ngại tình trạng 'chạy án' là phổ biến (%)
geoId-AGG,201700,5.20352029800415,0.516853928565979,0.5692307949066162,0.6341463327407837,0.8023256063461304,0.4878048896789551,0.06666667014360428,0.4761904776096344,0.5555555820465088,0.2857142984867096
geoId-BR-VT,201700,5.042396068572998,0.6185566782951355,0.54666668176651,0.582524299621582,0.7400000095367432,0.44999998807907104,0.12345679104328156,0.5652173757553101,0.3617021143436432,0.3181818127632141
geoId-BGG,201700,5.511934280395508,0.6236559152603149,0.699999988079071,0.5744680762290955,0.7684210538864136,0.5063291192054749,0.0810810774564743,0.260869562625885,0.5882353186607361,0.29411765933036804
geoId-BKN,201700,4.280546188354492,0.6279069781303406,0.6800000071525574,0.5952380895614624,0.7764706015586853,0.5194805264472961,0.24358974397182465,0.5714285969734192,0.4571428596973419,0.37254902720451355
geoId-BLU,201700,6.384815216064453,0.54347825050354,0.6268656849861145,0.5106382966041565,0.8279569745063782,0.3870967626571655,0.03999999910593033,0.2222222238779068,0.574999988079071,0.2537313401699066
geoId-BNH,201700,5.898841857910156,0.6542056202888489,0.7931034564971924,0.5699999928474426,0.75,0.5869565010070801,0.05494505539536476,0.11764705926179886,0.5454545617103577,0.30000001192092896
geoId-BTE,201700,6.391474723815918,0.47826087474823,0.5409836173057556,0.48275861144065857,0.8314606547355652,0.3452380895614624,0.10000000149011612,0.0625,0.5357142686843872,0.3478260934352875
Bình Định,201700,6.4564337730407715,0.5454545617103577,0.5446428656578064,0.6015625,0.8394160866737366,0.4661654233932495,0.06451612710952759,0.21875,0.41791045665740967,0.2278480976819992
geoId-BDG,201700,5.3812255859375,0.485029935836792,0.6000000238418579,0.5874999761581421,0.8604651093482971,0.46666666865348816,0.04316546767950058,0.30000001192092896,0.6363636255264282,0.39175257086753845
geoId-BPC,201700,4.953067779541016,0.554347813129425,0.7260273694992065,0.6494845151901245,0.84375,0.5465116500854492,0.14457830786705017,0.2666666805744171,0.6285714507102966,0.3877550959587097
geoId-BTN,201700,5.575681209564209,0.6185566782951355,0.5657894611358643,0.5494505763053894,0.800000011920929,0.450549453496933,0.11235955357551575,0.23529411852359772,0.5333333611488342,0.3137255012989044
geoId-CMU,201700,6.424820899963379,0.5353535413742065,0.54666668176651,0.6043956279754639,0.8510638475418091,0.35555556416511536,0.07058823853731155,0.3076923191547394,0.5151515007019043,0.1764705926179886
geoId-CTO,201700,6.167264938354492,0.5229358077049255,0.5,0.6296296119689941,0.9074074029922485,0.4639175236225128,0.06666667014360428,0.23999999463558197,0.5490196347236633,0.2222222238779068
geoId-CBG,201700,4.096222877502441,0.6767676472663879,0.6896551847457886,0.699999988079071,0.7400000095367432,0.6516854166984558,0.1702127605676651,0.3333333432674408,0.6363636255264282,0.35483869910240173
Đà Nẵng,201700,6.285998344421387,0.5375722646713257,0.6615384817123413,0.5,0.8715083599090576,0.4575163424015045,0.06451612710952759,0.3076923191547394,0.488095223903656,0.2800000011920929
Đắk Lắk,201700,4.8783769607543945,0.650943398475647,0.6395348906517029,0.625,0.8130841255187988,0.5319148898124695,0.1489361673593521,0.3333333432674408,0.6000000238418579,0.31578946113586426
Đắk Nông,201700,4.1052751541137695,0.6037735939025879,0.6071428656578064,0.7407407164573669,0.8130841255187988,0.5979381203651428,0.1195652186870575,0.3636363744735718,0.5744680762290955,0.4754098355770111
Điện Biên,201700,4.473609924316406,0.6129032373428345,0.6216216087341309,0.6470588445663452,0.7346938848495483,0.5222222208976746,0.2469135820865631,0.3499999940395355,0.48275861144065857,0.36734694242477417
Đồng Nai,201700,5.009120941162109,0.5925925970077515,0.7692307829856873,0.6694214940071106,0.7603305578231812,0.5299999713897705,0.08791209012269974,0.30000001192092896,0.5806451439857483,0.38749998807907104
Đồng Tháp,201700,6.858150482177734,0.3928571343421936,0.380952388048172,0.4375,0.7894737124443054,0.30263158679008484,0.0972222238779068,0.23529411852359772,0.27272728085517883,0.2978723347187042
geoId-GLI,201700,4.856317520141602,0.6435643434524536,0.6629213690757751,0.6095238327980042,0.8380952477455139,0.5728155374526978,0.1875,0.4000000059604645,0.5714285969734192,0.28125
