Tỉnh/Thành phố,Thời gian,CSTP 6: Cạnh tranh bình đẳng,Việc tỉnh ưu ái cho các DNNN gây khó khăn cho DN” (% Đồng ý),DNNN thuận lợi hơn trong tiếp cận đất đai (% Đồng ý),DNNN thuận lợi hơn trong tiếp cận các khoản vay  (% Đồng ý),DNNN thuận lợi hơn trong cấp phép khai thác khoáng sản (% Đồng ý),DNNN thuận lợi hơn trong việc thực hiện các TTHC (% Đồng ý),DNNN thuận lợi hơn trong việc có được các hợp đồng từ CQNN (% Đồng ý),DN FDI được ưu tiên giải quyết các khó khăn hơn DN dân doanh (% Đồng ý),Tỉnh ưu tiên thu hút FDI hơn là phát triển khu vực tư nhân (% Đồng ý),DN FDI thuận lợi hơn trong tiếp cận đất đai (% Đồng ý),DN FDI có đặc quyền trong miễn/giảm thuế TNDN(% Đồng ý),DN FDI thuận lợi hơn trong thực hiện các TTHC (% Đồng ý),DN FDI trong hoạt động nhận được nhiều quan tâm hỗ trợ hơn(% Đồng ý),"Nguồn lực kinh doanh (hợp đồng, đất đai...) chủ yếu rơi vào DN thân quen CBCQ",Ưu đãi DN lớn(nhà nước và tư nhân) là trở ngại cho bản thân DN (% Đồng ý)
geoId-AGG,201700,4.987619400024414,0.45945945382118225,0.34210526943206787,0.30263158679008484,0.22368420660495758,0.31578946113586426,0.25,0.3076923191547394,0.4025973975658417,0.27848100662231445,0.2151898741722107,0.20253165066242218,0.2151898741722107,0.7837837934494019,0.49253731966018677
geoId-BR-VT,201700,4.327826499938965,0.5058823823928833,0.3448275923728943,0.3448275923728943,0.2298850566148758,0.3218390941619873,0.27586206793785095,0.47999998927116394,0.3720930218696594,0.2298850566148758,0.19540229439735413,0.2068965584039688,0.26436781883239746,0.8181818127632141,0.5789473652839661
geoId-BGG,201700,4.719804763793945,0.4333333373069763,0.3636363744735718,0.3333333432674408,0.24242424964904785,0.27272728085517883,0.24242424964904785,0.38235294818878174,0.6388888955116272,0.41558441519737244,0.25974026322364807,0.2857142984867096,0.4025973975658417,0.6610169410705566,0.43478259444236755
geoId-BKN,201700,6.419473648071289,0.28169015049934387,0.22972972691059113,0.22972972691059113,0.1756756752729416,0.1621621549129486,0.18918919563293457,0.3076923191547394,0.28947368264198303,0.15789473056793213,0.1315789520740509,0.1184210553765297,0.18421052396297455,0.7083333134651184,0.5492957830429077
geoId-BLU,201700,5.930365562438965,0.3561643958091736,0.2702702581882477,0.2702702581882477,0.13513512909412384,0.28378379344940186,0.20270270109176636,0.3636363744735718,0.4054054021835327,0.2266666740179062,0.1599999964237213,0.2133333384990692,0.2933333218097687,0.6285714507102966,0.5151515007019043
geoId-BNH,201700,3.846736431121826,0.4367816150188446,0.3483146131038666,0.30337077379226685,0.16853933036327362,0.26966291666030884,0.2808988690376282,0.6133333444595337,0.6521739363670349,0.44086021184921265,0.31182795763015747,0.37634408473968506,0.3655914068222046,0.75,0.5394737124443054
geoId-BTE,201700,6.225450038909912,0.39436620473861694,0.25,0.2638888955116272,0.1527777761220932,0.1666666716337204,0.1805555522441864,0.42424243688583374,0.3866666555404663,0.22368420660495758,0.19736842811107635,0.17105263471603394,0.22368420660495758,0.6212121248245239,0.4923076927661896
Bình Định,201700,5.6279826164245605,0.321739137172699,0.2711864411830902,0.23728813230991364,0.17796610295772552,0.18644067645072937,0.23728813230991364,0.4615384638309479,0.429824560880661,0.29411765933036804,0.20168067514896393,0.2521008551120758,0.3025210201740265,0.6909090876579285,0.4761904776096344
geoId-BDG,201700,5.606045246124268,0.3478260934352875,0.21830986440181732,0.246478870511055,0.17605634033679962,0.19718310236930847,0.22535210847854614,0.43283581733703613,0.5,0.30821916460990906,0.25342464447021484,0.21232876181602478,0.30821916460990906,0.6716417670249939,0.48905110359191895
geoId-BPC,201700,4.15014123916626,0.4722222089767456,0.350649356842041,0.33766233921051025,0.27272728085517883,0.3636363744735718,0.27272728085517883,0.5,0.5783132314682007,0.2906976640224457,0.302325576543808,0.25581395626068115,0.2906976640224457,0.75,0.5199999809265137
geoId-BTN,201700,6.119288921356201,0.3214285671710968,0.2235294133424759,0.1882352977991104,0.1882352977991104,0.21176470816135406,0.16470588743686676,0.3243243098258972,0.3777777850627899,0.20000000298023224,0.0555555559694767,0.17777778208255768,0.2666666805744171,0.746835470199585,0.5
geoId-CMU,201700,6.168881416320801,0.3333333432674408,0.22093023359775543,0.2906976640224457,0.13953489065170288,0.1860465109348297,0.151162788271904,0.3378378450870514,0.3253012001514435,0.1547619104385376,0.0714285746216774,0.130952388048172,0.2261904776096344,0.7848101258277893,0.4871794879436493
geoId-CTO,201700,5.139370918273926,0.38372093439102173,0.25555557012557983,0.2888889014720917,0.14444445073604584,0.18888889253139496,0.2777777910232544,0.5270270109176636,0.43023255467414856,0.26436781883239746,0.16091954708099365,0.2183908075094223,0.3103448152542114,0.6867470145225525,0.6315789222717285
geoId-CBG,201700,4.487950325012207,0.4597701132297516,0.3258427083492279,0.24719101190567017,0.24719101190567017,0.23595505952835083,0.2921348214149475,0.40740740299224854,0.46590909361839294,0.2808988690376282,0.14606741070747375,0.20224718749523163,0.2921348214149475,0.8444444537162781,0.5714285969734192
