Tỉnh/Thành phố,Thời gian,CSTP 1: Gia nhập thị trường ,Số ngày đăng ký doanh nghiệp (trung vị),Số ngày thay đổi ĐKDN (trung vị),Phải chờ hơn 1 tháng hoàn thành tất cả các thủ tục để chính thức hoạt động(% DN),Phải chờ hơn 3 tháng hoàn thành tất cả các thủ tục để chính thức hoạt động(% DN),"Tỉ lệ DN làm thủ tục ĐKDN qua phương thức mới (trực tuyến, TTHCC, bưu điện(%)",Thủ tục (thay đổi) ĐKDN: Thủ tục được niêm yết công khai(%),"Thủ tục (thay đổi) ĐKDN: Cán bộ hướng dẫn rõ ràng, đầy đủ(%)",Thủ tục (thay đổi) ĐKDN: Cán bộ am hiểu chuyên môn(%),"Thủ tục (thay đổi) ĐKDN: Cán bộ nhiệt tình, thân thiện(%)",Thủ tục (thay đổi) ĐKDN: Ứng dụng CNTT tốt (%)
geoId-AGG,201700,8.674999237060547,3.0,2.0,0.24137930572032928,0.03448275849223137,0.15625,0.9090909361839294,1.0,0.90625,0.875,0.8666666746139526
geoId-BR-VT,201700,8.18750286102295,7.0,5.0,0.13333334028720856,0.0,0.3142857253551483,0.7837837934494019,0.837837815284729,0.7058823704719543,0.8108108043670654,0.6896551847457886
geoId-BGG,201700,7.820781230926514,5.0,5.0,0.1666666716337204,0.02777777798473835,0.190476194024086,0.738095223903656,0.9230769276618958,0.75,0.7857142686843872,0.5454545617103577
geoId-BKN,201700,6.246484756469727,7.0,11.5,0.2142857164144516,0.0,0.03703703731298447,0.5185185074806213,0.8888888955116272,0.48148149251937866,0.5555555820465088,0.260869562625885
geoId-BLU,201700,8.579386711120605,7.0,3.0,0.0833333358168602,0.0,0.1304347813129425,0.8799999952316284,0.9615384340286255,0.800000011920929,0.8846153616905212,0.7222222089767456
geoId-BNH,201700,7.273472785949707,7.0,7.0,0.02777777798473835,0.0,0.2195121943950653,0.7209302186965942,0.6744186282157898,0.6190476417541504,0.5681818127632141,0.4390243887901306
geoId-BTE,201700,7.88364315032959,4.0,3.0,0.1388888955116272,0.0833333358168602,0.1388888955116272,0.8108108043670654,0.9210526347160339,0.7567567825317383,0.8461538553237915,0.5757575631141663
Bình Định,201700,7.749137878417969,5.0,3.0,0.09090909361839294,0.06818182021379471,0.17391304671764374,0.7083333134651184,0.8958333134651184,0.6888889074325562,0.7551020383834839,0.6153846383094788
geoId-BDG,201700,7.660728454589844,7.0,6.0,0.12765957415103912,0.06382978707551956,0.3414634168148041,0.782608687877655,0.8478260636329651,0.644444465637207,0.6808510422706604,0.5641025900840759
geoId-BPC,201700,7.947760105133057,3.0,2.5,0.11764705926179886,0.029411764815449715,0.17241379618644714,0.8055555820465088,0.8684210777282715,0.7692307829856873,0.7368420958518982,0.5333333611488342
geoId-BTN,201700,8.1908597946167,5.0,5.0,0.2222222238779068,0.07407407462596893,0.06451612710952759,0.8999999761581421,0.9333333373069763,0.9259259104728699,0.9333333373069763,0.7333333492279053
geoId-CMU,201700,7.974240779876709,7.0,3.0,0.10000000149011612,0.06666667014360428,0.2222222238779068,0.7105262875556946,0.9411764740943909,0.7647058963775635,0.8285714387893677,0.6000000238418579
geoId-CTO,201700,7.859973430633545,4.0,4.0,0.18518517911434174,0.0,0.11428571492433548,0.7142857313156128,0.8857142925262451,0.7142857313156128,0.7428571581840515,0.7272727489471436
geoId-CBG,201700,7.283226490020752,5.0,7.0,0.17241379618644714,0.06896551698446274,0.11764705926179886,0.75,0.8620689511299133,0.7037037014961243,0.6666666865348816,0.5416666865348816
Đà Nẵng,201700,8.554300308227539,7.0,3.0,0.06666667014360428,0.0,0.30000001192092896,0.8125,0.8913043737411499,0.8510638475418091,0.795918345451355,0.6666666865348816
Đắk Lắk,201700,6.9943671226501465,7.0,5.0,0.19148936867713928,0.08510638028383255,0.03999999910593033,0.760869562625885,0.8510638475418091,0.6744186282157898,0.6382978558540344,0.4864864945411682
Đắk Nông,201700,7.059816360473633,5.0,5.0,0.2368421107530594,0.1315789520740509,0.1621621549129486,0.7222222089767456,0.8999999761581421,0.699999988079071,0.699999988079071,0.4838709533214569
Điện Biên,201700,7.740571975708008,7.0,6.0,0.10526315867900848,0.02631578966975212,0.02500000037252903,0.7567567825317383,0.8684210777282715,0.7631579041481018,0.824999988079071,0.6129032373428345
Đồng Nai,201700,8.049919128417969,7.0,7.0,0.10000000149011612,0.0,0.2800000011920929,0.8260869383811951,0.9230769276618958,0.695652186870575,0.75,0.5263158082962036
Đồng Tháp,201700,8.304883003234863,5.0,3.0,0.1111111119389534,0.02777777798473835,0.1428571492433548,0.8780487775802612,0.9512194991111755,0.7749999761581421,0.800000011920929,0.6756756901741028
geoId-GLI,201700,7.127838611602783,7.0,5.0,0.06818182021379471,0.022727273404598236,0.0,0.7058823704719543,0.7872340679168701,0.5869565010070801,0.6808510422706604,0.4615384638309479
geoId-HGG,201700,7.911252975463867,7.0,4.0,0.07999999821186066,0.03999999910593033,0.1666666716337204,0.8260869383811951,0.875,0.6363636255264282,0.75,0.6666666865348816
geoId-HNM,201700,7.765069484710693,5.0,7.0,0.10638298094272614,0.0,0.125,0.7115384340286255,0.8333333134651184,0.7799999713897705,0.7647058963775635,0.5681818127632141
geoId-HNI,201700,6.716338157653809,7.0,5.0,0.260869562625885,0.17391304671764374,0.4444444477558136,0.6666666865348816,0.800000011920929,0.5714285969734192,0.5333333611488342,0.5
geoId-HTH,201700,7.556121826171875,5.0,2.0,0.10869564861059189,0.06521739065647125,0.11999999731779099,0.7962962985038757,0.8823529481887817,0.6382978558540344,0.6800000071525574,0.5333333611488342
geoId-HDG,201700,7.672091007232666,7.0,3.0,0.08571428805589676,0.0,0.125,0.7209302186965942,0.8837209343910217,0.675000011920929,0.6585366129875183,0.5277777910232544
geoId-HPG,201700,7.937472820281982,5.0,3.0,0.17391304671764374,0.043478261679410934,0.2083333283662796,0.875,0.782608687877655,0.75,0.7083333134651184,0.7142857313156128
geoId-HGG,201700,7.905905246734619,5.0,4.5,0.054054055362939835,0.027027027681469917,0.05882352963089943,0.7837837934494019,0.8888888955116272,0.71875,0.8571428656578064,0.5384615659713745
geoId-HBH,201700,7.6007232666015625,6.0,5.0,0.1666666716337204,0.0416666679084301,0.07407407462596893,0.7692307829856873,0.8928571343421936,0.6785714030265808,0.7586206793785095,0.6363636255264282
geoId-HYN,201700,7.34525728225708,5.0,7.0,0.1818181872367859,0.06060606241226196,0.02631578966975212,0.7777777910232544,0.8857142925262451,0.7714285850524902,0.7027027010917664,0.5333333611488342
geoId-KHA,201700,8.05322551727295,7.0,7.0,0.1599999964237213,0.0,0.13333334028720856,0.8999999761581421,0.8666666746139526,0.7333333492279053,0.7931034564971924,0.692307710647583
