Tỉnh/Thành phố,Thời gian,CSTP 10: Thiết chế pháp lý và ANTT,Tin tưởng HTPL sẽ đảm bảo quyền tài sản/thực thi hợp đồng của DN(%),Hệ thống pháp luật (HTPL) có cơ chế giúp DN tố cáo cán bộ nhũng nhiễu(%),Lãnh đạo tỉnh sẽ không bao che và nghiêm túc kỷ luật cán bộ nhũng nhiễu DN(%),DN sẵn sàng sử dụng tòa án để giải quyết các tranh chấp (%),Tòa án các cấp của tỉnh xét xử các vụ việc kinh tế đúng pháp luật(%),Phán quyết của Tòa án là công bằng (%),Tòa án các cấp ở tỉnh xét xử vụ việc kinh tế nhanh chóng (%),Phán quyết của tòa án được thi hành nhanh chóng (%),Các CQ trợ giúp pháp lý tại tỉnh hỗ trợ DN nhanh chóng để khởi kiện (%),Các chi phí chính thức và CPKCT là chấp nhận được khi GQTC qua Tòa án(%),Số lượng vụ việc tranh chấp của DN dân doanh do Tòa án thụ lý/100 DN (TATC),"Tỉ lệ nguyên đơn ngoài quốc doanh/tổng số nguyên đơn tại Toà án tỉnh (%, TATC)","Tỉ lệ vụ việc kinh tế đã được giải quyết trong năm(%, TATC)",Tình hình an ninh trật tự tại tỉnh là Tốt(%),Tỉ lệ DN bị mất trộm tài sản năm qua (%),CQ công an hỗ trợ DN giải quyết hiệu quả vụ mất trộm tài sản(%),"Phải trả tiền 'bảo kê' cho băng nhóm côn đồ, xã hội đen để yên ổn làm ăn(%)"
geoId-AGG,201700,6.1503825187683105,0.9230769276618958,0.3928571343421936,0.3734939694404602,0.3333333432674408,0.9210526347160339,0.8918918967247009,0.6338028311729431,0.6805555820465088,0.8055555820465088,0.7887324094772339,5.833333492279053,0.9459459185600281,0.6778350472450256,0.6195651888847351,0.23655913770198822,0.6818181872367859,0.04597701132297516
geoId-BR-VT,201700,5.550505638122559,0.782608687877655,0.2916666567325592,0.35555556416511536,0.3195876181125641,0.8275862336158752,0.7764706015586853,0.5813953280448914,0.6626505851745605,0.650602400302887,0.7560975551605225,6.493313312530518,0.9668141603469849,0.607723593711853,0.650943398475647,0.1603773534297943,0.5952380895614624,0.049504950642585754
geoId-BGG,201700,6.095194339752197,0.8405796885490417,0.4430379867553711,0.41558441519737244,0.33766233921051025,0.89552241563797,0.8548387289047241,0.7076923251152039,0.7692307829856873,0.7384615540504456,0.796875,0.0,0.0,0.7480915784835815,0.6329113841056824,0.1358024626970291,0.6842105388641357,0.02857142873108387
geoId-BKN,201700,6.058455467224121,0.8552631735801697,0.30000001192092896,0.36486485600471497,0.36250001192092896,0.8840579986572266,0.8169013857841492,0.6811594367027283,0.7058823704719543,0.7042253613471985,0.7272727489471436,0.0,0.0,0.5882353186607361,0.6428571343421936,0.0470588244497776,0.6666666865348816,0.012820512987673283
geoId-BLU,201700,5.676585674285889,0.800000011920929,0.3068181872367859,0.46341463923454285,0.21176470816135406,0.8421052694320679,0.8309859037399292,0.6527777910232544,0.6575342416763306,0.7042253613471985,0.8493150472640991,4.618117332458496,0.6419752836227417,0.8086419701576233,0.5333333611488342,0.2527472674846649,0.75,0.03614457696676254
geoId-BNH,201700,5.390011310577393,0.8631578683853149,0.3100000023841858,0.31313130259513855,0.24731183052062988,0.930232584476471,0.8765432238578796,0.6395348906517029,0.6666666865348816,0.6785714030265808,0.7307692170143127,0.5164622068405151,0.6666666865348816,0.7484662532806396,0.5454545617103577,0.10891088843345642,0.6153846383094788,0.04494382068514824
geoId-BTE,201700,6.783558368682861,0.8701298832893372,0.375,0.5061728358268738,0.4177215099334717,0.9142857193946838,0.8769230842590332,0.6307692527770996,0.6666666865348816,0.8225806355476379,0.8709677457809448,2.8836755752563477,0.9833333492279053,0.9723756909370422,0.516853928565979,0.1666666716337204,0.8125,0.0476190485060215
Bình Định,201700,6.313751697540283,0.8813559412956238,0.28333333134651184,0.37168142199516296,0.3779527544975281,0.949999988079071,0.9099099040031433,0.8017241358757019,0.7857142686843872,0.769911527633667,0.853210985660553,0.25380709767341614,0.8461538553237915,0.7050359845161438,0.5327869057655334,0.140625,0.7407407164573669,0.033898305147886276
geoId-BDG,201700,6.392800331115723,0.8627451062202454,0.30519479513168335,0.40136054158210754,0.3821656107902527,0.9568345546722412,0.8540145754814148,0.6884058117866516,0.7518247961997986,0.8014705777168274,0.8222222328186035,0.12051822990179062,0.4848484992980957,0.8578680157661438,0.5878787636756897,0.1547619104385376,0.6666666865348816,0.006172839552164078
geoId-BPC,201700,4.017333030700684,0.7682926654815674,0.2804878056049347,0.29113924503326416,0.37974682450294495,0.8461538553237915,0.7361111044883728,0.5600000023841858,0.6027397513389587,0.6056337952613831,0.6619718074798584,0.0,0.0,0.6833333373069763,0.47727271914482117,0.2150537669658661,0.5806451439857483,0.05000000074505806
geoId-BTN,201700,4.8161444664001465,0.8888888955116272,0.21978022158145905,0.380952388048172,0.44565218687057495,0.8181818127632141,0.7464788556098938,0.5333333611488342,0.5866666436195374,0.6027397513389587,0.75,0.22624434530735016,0.6363636255264282,0.8984375,0.41237112879753113,0.23000000417232513,0.6333333253860474,0.04210526496171951
