Tỉnh/Thành phố,Thời gian,CSTP 2: Tiếp cận đất đai,Tỉ lệ DN có mặt bằng kinh doanh và có Giấy chứng nhận Quyền sử dụng đất (%),Số ngày chờ đợi để được cấp GCNQSDĐ (trung vị) ,DN đánh giá rủi ro bị thu hồi đất (1=Rất cao; 5=Rất thấp),DN không gặp cản trở về tiếp cận/mở rộng mặt bằng kinh doanh (%),Khó khăn về thiếu quỹ đất sạch(%),Giải phóng mặt bằng chậm (%),"Việc cung cấp thông tin về đất đai không thuận lợi, nhanh chóng(%)","Nếu bị thu hồi đất, DN sẽ được bồi thường thỏa đáng (% luôn luôn/nhiều khả năng)",Thay đổi khung giá đất của tỉnh phù hợp với thay đổi giá thị trường (% Đồng ý),DN thực hiện TTHC đất đai trong vòng 2 năm qua không gặp khó khăn (%),Không có GCNQSDĐ do lo ngại TTHC rườm rà/cán bộ nhũng nhiễu (%)
geoId-AGG,201700,6.3720293045043945,0.6052631735801697,30.0,1.4264706373214722,0.3571428656578064,0.2888889014720917,0.20000000298023224,0.4444444477558136,0.4333333373069763,0.7160493731498718,0.25,0.07894736528396606
geoId-BR-VT,201700,5.942207336425781,0.5121951103210449,20.0,1.8225806951522827,0.1428571492433548,0.1527777761220932,0.1666666716337204,0.25,0.33898305892944336,0.7978723645210266,0.0416666679084301,0.12121212482452393
geoId-BGG,201700,6.539613723754883,0.6226415038108826,30.0,1.5689655542373657,0.23255814611911774,0.13636364042758942,0.22727273404598236,0.3484848439693451,0.30188679695129395,0.7931034564971924,0.25806450843811035,0.05882352963089943
geoId-BKN,201700,5.127360820770264,0.6393442749977112,30.0,1.6333333253860474,0.2647058963775635,0.36000001430511475,0.2800000011920929,0.30000001192092896,0.2631579041481018,0.7435897588729858,0.125,0.27586206793785095
geoId-BLU,201700,6.54665470123291,0.8181818127632141,30.0,1.4714285135269165,0.3684210479259491,0.2291666716337204,0.2291666716337204,0.2083333283662796,0.37681159377098083,0.7411764860153198,0.28947368264198303,0.2380952388048172
geoId-BNH,201700,6.567049980163574,0.5396825671195984,12.5,1.59375,0.27173912525177,0.05970149114727974,0.17910447716712952,0.35820895433425903,0.21052631735801697,0.8265306353569031,0.22727273404598236,0.05714285746216774
geoId-BTE,201700,6.958159446716309,0.6800000071525574,20.0,1.558823585510254,0.3333333432674408,0.15217390656471252,0.15217390656471252,0.28260868787765503,0.2539682686328888,0.75,0.30434781312942505,0.03030303120613098
Bình Định,201700,6.7935380935668945,0.6380952596664429,15.0,1.7475727796554565,0.19230769574642181,0.1190476194024086,0.1071428582072258,0.25,0.25,0.7903226017951965,0.3333333432674408,0.1041666641831398
geoId-BDG,201700,6.825496673583984,0.6788991093635559,30.0,1.524271845817566,0.29411765933036804,0.1145833358168602,0.09375,0.3541666567325592,0.3163265287876129,0.7564102411270142,0.25,0.06896551698446274
geoId-BPC,201700,6.389105796813965,0.5974025726318359,30.0,1.5593219995498657,0.23170731961727142,0.1111111119389534,0.1111111119389534,0.2380952388048172,0.30909091234207153,0.6666666865348816,0.21052631735801697,0.1428571492433548
geoId-BTN,201700,6.635619163513184,0.6527777910232544,20.0,1.52173912525177,0.2054794579744339,0.08620689809322357,0.1551724076271057,0.18965516984462738,0.44117647409439087,0.7303370833396912,0.15000000596046448,0.16129031777381897
geoId-CMU,201700,6.1885504722595215,0.6219512224197388,15.0,1.4696969985961914,0.2405063360929489,0.1666666716337204,0.23333333432674408,0.28333333134651184,0.3076923191547394,0.7802197933197021,0.1875,0.1666666716337204
geoId-CTO,201700,6.6625823974609375,0.7123287916183472,12.5,1.6811593770980835,0.22077922523021698,0.1666666716337204,0.0833333358168602,0.23333333432674408,0.27419355511665344,0.75,0.19354838132858276,0.0731707289814949
geoId-CBG,201700,4.354074478149414,0.38235294818878174,15.0,1.875,0.18518517911434174,0.3787878751754761,0.3181818127632141,0.3181818127632141,0.18333333730697632,0.5824176073074341,0.12903225421905518,0.23255814611911774
Đà Nẵng,201700,7.109346389770508,0.4285714328289032,17.5,1.47826087474823,0.3188405930995941,0.06382978707551956,0.06382978707551956,0.27659574151039124,0.27941176295280457,0.7696969509124756,0.29729729890823364,0.050847455859184265
Đắk Lắk,201700,6.8850274085998535,0.6470588445663452,25.0,1.4477611780166626,0.20879121124744415,0.1527777761220932,0.0833333358168602,0.2777777910232544,0.33870968222618103,0.8571428656578064,0.1428571492433548,0.054054055362939835
Đắk Nông,201700,6.288276195526123,0.6164383292198181,30.0,1.6231883764266968,0.34090909361839294,0.13793103396892548,0.22413793206214905,0.3103448152542114,0.2769230902194977,0.7900000214576721,0.29032257199287415,0.2068965584039688
Điện Biên,201700,5.712636470794678,0.49295774102211,17.5,1.4838709831237793,0.18987341225147247,0.359375,0.25,0.34375,0.32786884903907776,0.7311828136444092,0.3103448152542114,0.20000000298023224
Đồng Nai,201700,6.553942680358887,0.5053763389587402,30.0,1.7183098793029785,0.2604166567325592,0.0845070406794548,0.09859155118465424,0.2112676054239273,0.26153847575187683,0.75,0.20000000298023224,0.10810811072587967
Đồng Tháp,201700,7.607831001281738,0.7083333134651184,15.0,1.4333332777023315,0.4285714328289032,0.10000000149011612,0.125,0.2750000059604645,0.35593220591545105,0.8500000238418579,0.37037035822868347,0.09090909361839294
geoId-GLI,201700,6.902717590332031,0.5945945978164673,30.0,1.649999976158142,0.2967033088207245,0.109375,0.046875,0.265625,0.2631579041481018,0.8130841255187988,0.2857142984867096,0.12121212482452393
geoId-HGG,201700,6.084287166595459,0.7042253613471985,8.5,1.6315789222717285,0.25,0.3888888955116272,0.2222222238779068,0.29629629850387573,0.35849055647850037,0.7250000238418579,0.37931033968925476,0.2222222238779068
geoId-HNM,201700,6.333261013031006,0.5249999761581421,30.0,1.6301369667053223,0.2574257552623749,0.1066666692495346,0.13333334028720856,0.3466666638851166,0.2857142984867096,0.7383177280426025,0.28125,0.15000000596046448
geoId-HNI,201700,5.318986415863037,0.36666667461395264,30.0,1.8790322542190552,0.12340425699949265,0.1650485396385193,0.17475728690624237,0.3446601927280426,0.20000000298023224,0.6395348906517029,0.17391304671764374,0.12631578743457794
geoId-HTH,201700,6.031946659088135,0.4848484992980957,20.0,1.7017543315887451,0.19767442345619202,0.1304347813129425,0.18840579688549042,0.30434781312942505,0.3461538553237915,0.7790697813034058,0.17499999701976776,0.1785714328289032
geoId-HDG,201700,6.683972358703613,0.6233766078948975,20.0,1.6901408433914185,0.20000000298023224,0.125,0.11363636702299118,0.1818181872367859,0.2539682686328888,0.8644067645072937,0.2571428716182709,0.17499999701976776
geoId-HPG,201700,5.859743118286133,0.4876033067703247,30.0,1.7592592239379883,0.25,0.09259258955717087,0.1388888955116272,0.32407405972480774,0.23232322931289673,0.7348066568374634,0.2142857164144516,0.2153846174478531
geoId-HGG,201700,5.848137855529785,0.6774193644523621,30.0,1.6363636255264282,0.33898305892944336,0.20512820780277252,0.1538461595773697,0.28205129504203796,0.25,0.8028169274330139,0.15789473056793213,0.2857142984867096
geoId-HBH,201700,5.642115116119385,0.5409836173057556,30.0,1.7647058963775635,0.2527472674846649,0.23529411852359772,0.19117647409439087,0.29411765933036804,0.38235294818878174,0.6736842393875122,0.19512194395065308,0.25
geoId-HYN,201700,5.810798645019531,0.4444444477558136,10.0,1.6666666269302368,0.1910112351179123,0.1527777761220932,0.1111111119389534,0.3194444477558136,0.23636363446712494,0.7888888716697693,0.1666666716337204,0.21212121844291687
geoId-KHA,201700,6.477639198303223,0.5441176295280457,30.0,1.6481481790542603,0.2222222238779068,0.0892857164144516,0.1071428582072258,0.25,0.25999999046325684,0.7407407164573669,0.27272728085517883,0.1538461595773697
geoId-KGG,201700,6.522435188293457,0.7710843086242676,30.0,1.6388888359069824,0.3176470696926117,0.13793103396892548,0.13793103396892548,0.32758620381355286,0.3857142925262451,0.760869562625885,0.14705882966518402,0.1304347813129425
geoId-KTM,201700,6.323004245758057,0.5131579041481018,10.0,1.4918032884597778,0.2967033088207245,0.15625,0.125,0.3125,0.2631579041481018,0.75,0.24137930572032928,0.16129031777381897
geoId-LCU,201700,5.817353248596191,0.5820895433425903,14.5,1.6190476417541504,0.26582279801368713,0.2586206793785095,0.12068965286016464,0.3448275923728943,0.4032258093357086,0.7209302186965942,0.2571428716182709,0.3181818127632141
Lâm Đồng,201700,6.227060317993164,0.554347813129425,15.0,1.6172839403152466,0.23762376606464386,0.12987013161182404,0.09090909361839294,0.2467532455921173,0.19736842811107635,0.8016529083251953,0.2631579041481018,0.24390244483947754
geoId-LSN,201700,5.575026035308838,0.52173912525177,30.0,1.7611939907073975,0.24731183052062988,0.30000001192092896,0.3142857253551483,0.2857142984867096,0.26229506731033325,0.7755101919174194,0.20000000298023224,0.1666666716337204
geoId-LCI,201700,6.408992767333984,0.4848484992980957,15.0,1.7400000095367432,0.24390244483947754,0.19354838132858276,0.20967741310596466,0.29032257199287415,0.26530611515045166,0.8510638475418091,0.25,0.0833333358168602
geoId-LAN,201700,7.341063976287842,0.662162184715271,30.0,1.5714285373687744,0.28205129504203796,0.1785714328289032,0.1964285671710968,0.2142857164144516,0.3333333432674408,0.8695651888847351,0.4444444477558136,0.09677419066429138
Nam Định,201700,6.496739387512207,0.5604395866394043,15.0,1.4935065507888794,0.14942528307437897,0.13513512909412384,0.09459459781646729,0.37837839126586914,0.3194444477558136,0.8073394298553467,0.28125,0.14000000059604645
geoId-NAN,201700,6.161351680755615,0.3978494703769684,15.0,1.702380895614624,0.21311475336551666,0.09375,0.2083333283662796,0.2604166567325592,0.2409638613462448,0.8139534592628479,0.2199999988079071,0.15217390656471252
geoId-NBH,201700,6.3714423179626465,0.6142857074737549,30.0,1.529411792755127,0.2804878056049347,0.1355932205915451,0.11864406615495682,0.3050847351551056,0.25757575035095215,0.8414633870124817,0.23999999463558197,0.21875
geoId-NTN,201700,6.200376987457275,0.6363636255264282,15.0,1.5308642387390137,0.27000001072883606,0.232876718044281,0.09589041024446487,0.27397260069847107,0.25641027092933655,0.6666666865348816,0.23076923191547394,0.15000000596046448
geoId-PTO,201700,6.184208869934082,0.49253731966018677,20.0,1.4500000476837158,0.25641027092933655,0.17241379618644714,0.13793103396892548,0.32758620381355286,0.26229506731033325,0.7244898080825806,0.34285715222358704,0.2222222238779068
geoId-PYN,201700,5.7150444984436035,0.5517241358757019,15.0,1.4500000476837158,0.20512820780277252,0.11290322244167328,0.20967741310596466,0.32258063554763794,0.2931034564971924,0.6463414430618286,0.23333333432674408,0.25806450843811035
geoId-QBH,201700,6.078396320343018,0.5925925970077515,30.0,1.621212124824524,0.20481927692890167,0.12121212482452393,0.1515151560306549,0.25757575035095215,0.23076923191547394,0.7802197933197021,0.2432432472705841,0.2368421107530594
geoId-QNM,201700,6.706821441650391,0.53125,15.0,1.5076923370361328,0.24242424964904785,0.1733333319425583,0.1733333319425583,0.3333333432674408,0.26229506731033325,0.8230088353157043,0.26829269528388977,0.02631578966975212
geoId-QNI,201700,6.327739715576172,0.5138888955116272,30.0,1.6271185874938965,0.25,0.17391304671764374,0.260869562625885,0.2753623127937317,0.32758620381355286,0.7708333134651184,0.2777777910232544,0.125
geoId-QNH,201700,6.432663440704346,0.37078651785850525,25.0,1.545454502105713,0.2616822421550751,0.10126582533121109,0.2278480976819992,0.26582279801368713,0.260869562625885,0.7938931584358215,0.3103448152542114,0.13793103396892548
geoId-QTI,201700,6.048230171203613,0.7333333492279053,17.5,1.563380241394043,0.27848100662231445,0.21052631735801697,0.19298245012760162,0.31578946113586426,0.3333333432674408,0.7931034564971924,0.3125,0.3333333432674408
geoId-STG,201700,7.26204776763916,0.6785714030265808,30.0,1.621212124824524,0.44736841320991516,0.1190476194024086,0.02380952425301075,0.261904776096344,0.35483869910240173,0.7954545617103577,0.3055555522441864,0.14705882966518402
geoId-SLA,201700,5.2513427734375,0.5733333230018616,30.0,1.5507246255874634,0.17171716690063477,0.2804878056049347,0.2926829159259796,0.24390244483947754,0.26153847575187683,0.761904776096344,0.21739129722118378,0.34210526943206787
geoId-HCM,201700,6.113005638122559,0.39416059851646423,30.0,1.521276593208313,0.21658986806869507,0.11176470667123795,0.11764705926179886,0.34117648005485535,0.2235294133424759,0.7330677509307861,0.1818181872367859,0.09333333373069763
geoId-TTH,201700,6.457467079162598,0.725806474685669,20.5,1.462686538696289,0.25,0.190476194024086,0.190476194024086,0.30158731341362,0.3384615480899811,0.7938144207000732,0.29411765933036804,0.2068965584039688
geoId-TNH,201700,6.9140214920043945,0.6310679316520691,15.0,1.3809523582458496,0.2708333432674408,0.10000000149011612,0.0714285746216774,0.2571428716182709,0.350649356842041,0.7288135886192322,0.3055555522441864,0.17073170840740204
geoId-TBH,201700,5.203760147094727,0.5671641826629639,30.0,1.9438202381134033,0.24038460850715637,0.2531645596027374,0.2151898741722107,0.4556961953639984,0.302325576543808,0.8288288116455078,0.20408163964748383,0.3076923191547394
geoId-TNN,201700,6.450301170349121,0.574999988079071,25.0,1.4871795177459717,0.27184465527534485,0.20000000298023224,0.18666666746139526,0.3733333349227905,0.37837839126586914,0.7731092572212219,0.2631579041481018,0.11764705926179886
geoId-THA,201700,6.958902835845947,0.6769230961799622,30.0,1.4225351810455322,0.1666666716337204,0.15714286267757416,0.20000000298023224,0.3571428656578064,0.41791045665740967,0.7956989407539368,0.3488371968269348,0.06060606241226196
geoId-TGG,201700,6.261459827423096,0.7439024448394775,45.0,1.6081081628799438,0.23255814611911774,0.12121212482452393,0.13636364042758942,0.24242424964904785,0.2054794579744339,0.7978723645210266,0.21052631735801697,0.20588235557079315
geoId-TVH,201700,7.3053483963012695,0.7746478915214539,15.0,1.5942028760910034,0.3857142925262451,0.09302325546741486,0.09302325546741486,0.23255814611911774,0.3188405930995941,0.790123462677002,0.34375,0.13793103396892548
geoId-TQG,201700,6.056535720825195,0.5087719559669495,30.0,1.75,0.29230770468711853,0.21739129722118378,0.21739129722118378,0.239130437374115,0.18518517911434174,0.800000011920929,0.25925925374031067,0.16129031777381897
geoId-VLG,201700,6.692112922668457,0.6760563254356384,10.0,1.6363636255264282,0.26229506731033325,0.20000000298023224,0.08888889104127884,0.24444444477558136,0.28125,0.8048780560493469,0.22727273404598236,0.11428571492433548
geoId-VPC,201700,5.767177581787109,0.516853928565979,30.0,1.7317073345184326,0.17924527823925018,0.12643678486347198,0.19540229439735413,0.27586206793785095,0.1756756752729416,0.7711864113807678,0.20000000298023224,0.190476194024086
geoId-YBI,201700,5.359017848968506,0.5230769515037537,15.0,1.5499999523162842,0.29729729890823364,0.25,0.23076923191547394,0.4038461446762085,0.35087719559669495,0.6741573214530945,0.23999999463558197,0.3142857253551483
