Tỉnh/Thành phố,Thời gian,CSTP 3: Tính Minh bạch,Tiếp cận tài liệu quy hoạch (1=Không thể; 5=Rất dễ),Tiếp cận tài liệu pháp lý  (1=Không thể; 5=Rất dễ),Các tài liệu về ngân sách đủ chi tiết để DN sử dụng cho hoạt động kinh doanh (%),Thông tin mời thầu được công khai(%),"Tỉ lệ DN nhận được thông tin, văn bản sau khi đề nghị CQNN của tỉnh cung cấp (%)","Số ngày để nhận được thông tin, văn bản sau khi đã đề nghị cung cấp (trung vị)",Cần có 'mối quan hệ' để có được các tài liệu của tỉnh (%),'Thỏa thuận' khoản thuế phải nộp với CB thuế là công việc quan trọng(%),Dự liệu được việc thực thi của tỉnh đối với QĐPL của TW (% chắc chắn),"Vai trò HHDN trong việc xây dựng chính sách, quy định của tỉnh (% lớn/rất lớn)",Điểm số về độ mở và chất lượng trang web của tỉnh (Nhóm nghiên cứu PCI),Tỉ lệ DN truy cập vào website của tỉnh (%)
geoId-AGG,201700,6.92063045501709,2.3509469032287598,3.170412063598633,0.9166666865348816,0.3333333432674408,0.761904776096344,1.0,0.5806451439857483,0.5487805008888245,0.17142857611179352,0.5490196347236633,33.0,0.75
geoId-BR-VT,201700,6.355464935302734,2.337275981903076,2.9640350341796875,0.800000011920929,0.6000000238418579,0.5555555820465088,7.0,0.7200000286102295,0.5930232405662537,0.05000000074505806,0.644444465637207,35.0,0.7592592835426331
geoId-BGG,201700,6.727784633636475,2.38741135597229,2.9768049716949463,0.8666666746139526,0.4375,0.8399999737739563,3.0,0.6483516693115234,0.49275362491607666,0.04109589010477066,0.5,34.5,0.795918345451355
geoId-BKN,201700,6.646235466003418,2.558720827102661,3.156256914138794,0.800000011920929,0.48571428656578064,0.8571428656578064,5.0,0.7108433842658997,0.4722222089767456,0.04477611929178238,0.3191489279270172,34.5,0.8470588326454163
geoId-BLU,201700,6.468497276306152,2.530978202819824,3.140500783920288,0.75,0.5714285969734192,0.6785714030265808,5.0,0.7111111283302307,0.612500011920929,0.09459459781646729,0.6122449040412903,29.0,0.7628865838050842
geoId-BNH,201700,5.925251007080078,2.4513635635375977,3.009220838546753,0.8461538553237915,0.37142857909202576,0.739130437374115,5.0,0.7452830076217651,0.5747126340866089,0.06976744532585144,0.5370370149612427,32.5,0.6486486196517944
geoId-BTE,201700,6.212129592895508,2.5099616050720215,3.1043338775634766,0.8235294222831726,0.6071428656578064,0.699999988079071,3.0,0.6593406796455383,0.4871794879436493,0.0533333346247673,0.4047619104385376,33.5,0.6063829660415649
Bình Định,201700,6.665336608886719,2.52805757522583,3.1053786277770996,0.800000011920929,0.5538461804389954,0.7142857313156128,3.5,0.6241135001182556,0.5538461804389954,0.05982905998826027,0.46666666865348816,34.5,0.767123281955719
geoId-BDG,201700,6.516243934631348,2.3384459018707275,3.013259172439575,0.800000011920929,0.4749999940395355,0.6153846383094788,7.0,0.6416184902191162,0.49295774102211,0.014388489536941051,0.5,42.0,0.7977527976036072
geoId-BPC,201700,6.361875534057617,2.4393258094787598,3.0160512924194336,0.6666666865348816,0.34285715222358704,0.7368420958518982,3.0,0.695652186870575,0.43589743971824646,0.0422535203397274,0.4888888895511627,39.5,0.7263157963752747
geoId-BTN,201700,6.42302131652832,2.269259214401245,2.953125,0.9333333373069763,0.45945945382118225,0.7857142686843872,3.0,0.75,0.4838709533214569,0.07894736528396606,0.4523809552192688,31.0,0.7572815418243408
geoId-CMU,201700,5.813065052032471,2.418181896209717,3.002329111099243,0.7368420958518982,0.5666666626930237,0.6153846383094788,2.0,0.7916666865348816,0.6373626589775085,0.06666667014360428,0.35555556416511536,36.0,0.6060606241226196
geoId-CTO,201700,6.3152594566345215,2.5578525066375732,3.2505459785461426,0.8333333134651184,0.4067796468734741,0.6800000071525574,4.0,0.6173912882804871,0.5789473652839661,0.04545454680919647,0.6410256624221802,34.5,0.6521739363670349
geoId-CBG,201700,5.724135875701904,2.31748366355896,3.0057990550994873,0.8235294222831726,0.48148149251937866,0.5833333134651184,3.0,0.7843137383460999,0.4642857015132904,0.05376344174146652,0.22448979318141937,25.5,0.7843137383460999
Đà Nẵng,201700,6.46422004699707,2.509136438369751,3.1712300777435303,0.8235294222831726,0.48571428656578064,0.5199999809265137,2.0,0.6158192157745361,0.5555555820465088,0.05263157933950424,0.37974682450294495,36.5,0.7759562730789185
Đắk Lắk,201700,6.33875036239624,2.47349214553833,2.9742586612701416,1.0,0.5769230723381042,0.8461538553237915,4.0,0.7663551568984985,0.6344085931777954,0.02247191034257412,0.4897959232330322,33.0,0.6880733966827393
Đắk Nông,201700,5.940401077270508,2.439542531967163,2.905301809310913,0.7727272510528564,0.3333333432674408,0.6296296119689941,4.0,0.6699029207229614,0.6020408272743225,0.060975611209869385,0.3400000035762787,35.0,0.7647058963775635
Điện Biên,201700,6.355293273925781,2.345613956451416,3.114987373352051,0.804347813129425,0.5254237055778503,0.75,2.0,0.8217821717262268,0.4482758641242981,0.07407407462596893,0.5,24.5,0.7900000214576721
Đồng Nai,201700,6.23653507232666,2.358772039413452,2.9677071571350098,0.8571428656578064,0.3928571343421936,0.46875,7.0,0.6115702390670776,0.4941176474094391,0.058139536529779434,0.5714285969734192,44.0,0.6666666865348816
Đồng Tháp,201700,7.251398086547852,2.530590772628784,3.2348179817199707,0.7058823704719543,0.6590909361839294,0.699999988079071,3.0,0.6705882549285889,0.41333332657814026,0.0714285746216774,0.6428571343421936,37.0,0.7906976938247681
geoId-GLI,201700,6.456360340118408,2.389967679977417,3.0186915397644043,0.7931034564971924,0.5,0.8846153616905212,4.0,0.7685185074806213,0.53125,0.034090910106897354,0.3877550959587097,34.0,0.8018018007278442
geoId-HGG,201700,6.177398681640625,2.5727083683013916,3.028749942779541,0.8888888955116272,0.4444444477558136,0.7916666865348816,3.0,0.773809552192688,0.5694444179534912,0.08064515888690948,0.5,27.5,0.7037037014961243
geoId-HNM,201700,6.352303981781006,2.4894957542419434,3.068765163421631,0.8918918967247009,0.4883720874786377,0.7083333134651184,7.0,0.699999988079071,0.44897958636283875,0.0714285746216774,0.4727272689342499,35.0,0.71074378490448
geoId-HNI,201700,6.312302589416504,2.2612853050231934,2.9980430603027344,0.8358209133148193,0.48275861144065857,0.7058823704719543,5.0,0.7142857313156128,0.573122501373291,0.0569395013153553,0.45528456568717957,40.5,0.7018072009086609
geoId-HTH,201700,6.1605730056762695,2.584042549133301,3.151503801345825,0.7307692170143127,0.4166666567325592,0.7692307829856873,2.25,0.7111111283302307,0.5287356376647949,0.07894736528396606,0.3265306055545807,30.0,0.7419354915618896
geoId-HDG,201700,5.449549198150635,2.2694666385650635,2.834270715713501,0.8666666746139526,0.32608696818351746,0.6551724076271057,5.0,0.689393937587738,0.5051546096801758,0.0,0.4693877696990967,31.0,0.6307692527770996
geoId-HPG,201700,5.731616973876953,2.3453099727630615,2.977642297744751,0.7906976938247681,0.41999998688697815,0.6060606241226196,5.0,0.6729857921600342,0.5,0.016574585810303688,0.4021739065647125,36.0,0.6435185074806213
geoId-HGG,201700,6.109206199645996,2.393693685531616,3.105137825012207,0.875,0.48275861144065857,0.7058823704719543,10.0,0.6111111044883728,0.5352112650871277,0.0357142873108387,0.5600000023841858,30.5,0.7407407164573669
geoId-HBH,201700,6.7723894119262695,2.400850296020508,2.986147165298462,0.9375,0.625,0.75,3.0,0.6800000071525574,0.5098039507865906,0.0357142873108387,0.46296295523643494,34.0,0.7766990065574646
geoId-HYN,201700,5.618994235992432,2.2588436603546143,3.0546910762786865,0.807692289352417,0.380952388048172,0.6470588445663452,5.0,0.6822429895401001,0.5529412031173706,0.02469135820865631,0.4901960790157318,30.5,0.6513761281967163
geoId-KHA,201700,6.662719249725342,2.279710054397583,2.9442248344421387,1.0,0.6129032373428345,0.75,3.0,0.800000011920929,0.6000000238418579,0.06849315017461777,0.5128205418586731,36.0,0.7373737096786499
geoId-KGG,201700,5.776294231414795,2.446180582046509,2.983161449432373,0.9285714030265808,0.39393940567970276,0.78125,3.5,0.7171717286109924,0.6111111044883728,0.027027027681469917,0.45098039507865906,28.5,0.6538461446762085
geoId-KTM,201700,6.330351829528809,2.443939447402954,3.0370657444000244,0.8571428656578064,0.568965494632721,0.5925925970077515,3.0,0.7407407164573669,0.5959596037864685,0.09090909361839294,0.3541666567325592,31.0,0.7946428656578064
geoId-LCU,201700,6.159566879272461,2.665201425552368,3.1564440727233887,0.8823529481887817,0.5,0.8095238208770752,3.0,0.7263157963752747,0.5199999809265137,0.0694444477558136,0.3913043439388275,22.5,0.7340425252914429
Lâm Đồng,201700,6.653237819671631,2.453252077102661,3.1664745807647705,0.8611111044883728,0.5090909004211426,0.6875,4.5,0.6976743936538696,0.5169491767883301,0.07476635277271271,0.4769230782985687,33.0,0.8167939186096191
geoId-LSN,201700,6.13412618637085,2.525163412094116,3.1184065341949463,0.8529411554336548,0.4878048896789551,0.8333333134651184,3.0,0.7102803587913513,0.41111111640930176,0.04651162773370743,0.38596490025520325,24.5,0.7064220309257507
geoId-LCI,201700,6.343939304351807,2.6270174980163574,3.2916667461395264,0.9333333373069763,0.5365853905677795,0.6428571343421936,6.0,0.686274528503418,0.534246563911438,0.06172839552164078,0.45614033937454224,32.0,0.7211538553237915
geoId-LAN,201700,6.5158185958862305,2.527543783187866,3.2014577388763428,0.75,0.6000000238418579,0.5625,3.0,0.6739130616188049,0.5,0.09459459781646729,0.4871794879436493,36.0,0.6800000071525574
Nam Định,201700,5.326850414276123,2.271698236465454,2.8575797080993652,0.8999999761581421,0.4444444477558136,0.6470588445663452,3.5,0.7241379022598267,0.5612244606018066,0.05882352963089943,0.4464285671710968,22.0,0.5950413346290588
geoId-NAN,201700,6.3826093673706055,2.377126455307007,3.02823805809021,0.9117646813392639,0.5652173757553101,0.7272727489471436,4.0,0.748344361782074,0.6176470518112183,0.01550387591123581,0.47826087474823,37.5,0.7215189933776855
geoId-NBH,201700,6.090926170349121,2.387152671813965,2.966466188430786,0.75,0.5161290168762207,0.75,2.5,0.6808510422706604,0.5903614163398743,0.06666667014360428,0.5,32.0,0.6299999952316284
geoId-NTN,201700,6.435301303863525,2.42201828956604,3.171558380126953,0.8260869383811951,0.53125,0.7368420958518982,3.0,0.6554622054100037,0.573913037776947,0.06930693238973618,0.3968254029750824,32.5,0.7416666746139526
geoId-PTO,201700,5.954417705535889,2.4016501903533936,3.0589568614959717,0.5833333134651184,0.5135135054588318,0.6000000238418579,4.5,0.6792452931404114,0.47058823704719543,0.0714285746216774,0.4107142984867096,31.0,0.7142857313156128
