Tỉnh/Thành phố,Thời gian,CSTP 9: Đào tạo lao động,Tỉ lệ DN đánh giá Giáo dục phổ thông tại tỉnh có chất lượng Tốt(%),Tỉ lệ DN đánh giá Giáo dục dạy nghề tại tỉnh có chất lượng Tốt(%),DN từng sử dụng dịch vụ Giới thiệu việc làm (GTVL) tại tỉnh (%),DN đã sử dụng nhà cung cấp tư nhân cho dịch vụ GTVL (%),DN có ý định tiếp tục sử dụng dịch vụ GTVL (%),Phần trăm tổng chi phí kinh doanh dành cho Đào tạo lao động (%),Phần trăm tổng chi phí kinh doanh dành cho Tuyển dụng lao động (%),Lao động tại tỉnh đáp ứng được nhu cầu sử dụng của DN (%),"Tỉ lệ lao động qua đào tạo /số lao động chưa qua đào tạo(%, BLĐTBXH)","Tỉ lệ lao động qua đào tạo trên tổng lực lượng lao động (%, BLĐTBXH)",Tỉ lệ lao động qua đào tạo đang làm việc tại DN (%)
geoId-AGG,201700,5.693673610687256,0.699999988079071,0.47826087474823,0.5384615659713745,0.5,0.7142857313156128,7.487377049180328,6.664262295081967,0.9404761791229248,0.04683159664273262,0.046030931174755096,49.175
geoId-BR-VT,201700,7.287605285644531,0.6074766516685486,0.3669724762439728,0.6153846383094788,0.6666666865348816,0.5833333134651184,4.972380952380952,6.09378048780488,0.8969072103500366,0.13222968578338623,0.11199162900447845,48.6722972972973
geoId-BGG,201700,6.323853492736816,0.557894766330719,0.35789474844932556,0.517241358757019,0.6000000238418579,0.46666666865348816,6.513692307692307,3.1060000000000003,0.9512194991111755,0.06224760040640831,0.08376796543598175,52.616417910447765
geoId-BKN,201700,6.0937180519104,0.5185185074806213,0.2857142984867096,0.5454545617103577,0.5,0.6666666865348816,3.3748437499999997,2.745079365079365,0.8589743375778198,0.03436620533466339,0.07917289435863495,49.357343750000005
geoId-BLU,201700,5.249959468841553,0.6236559152603149,0.4421052634716034,0.5714285969734192,0.625,0.375,5.24765625,5.644062499999999,0.8987341523170471,0.009750748053193092,0.02828197181224823,45.45186440677966
geoId-BNH,201700,7.558465957641602,0.6415094137191772,0.44859811663627625,0.5744680762290955,0.8888888955116272,0.4444444477558136,4.732467532467533,5.085616438356165,0.9191918969154358,0.11971504986286163,0.11836032569408417,52.621428571428574
geoId-BTE,201700,6.448807239532471,0.6813187003135681,0.47252747416496277,0.5925925970077515,0.5,0.5,2.9177611940298505,3.6764999999999994,0.9756097793579102,0.044662389904260635,0.047005847096443176,48.039344262295074
Bình Định,201700,6.506535530090332,0.6597222089767456,0.49295774102211,0.6499999761581421,0.5769230723381042,0.6153846383094788,4.920000000000001,5.847285714285715,0.9435483813285828,0.06629256159067154,0.06915327161550522,46.44799999999999
geoId-BDG,201700,6.350505828857422,0.5722891688346863,0.488095223903656,0.6714285612106323,0.6595744490623474,0.6382978558540344,7.889253731343283,6.13883211678832,0.9419354796409607,0.06671173125505447,0.06580638885498047,45.07008196721311
geoId-BPC,201700,5.600905418395996,0.5416666865348816,0.28125,0.4054054021835327,0.7333333492279053,0.6000000238418579,7.120253164556962,6.4601408450704225,0.8928571343421936,0.04275358468294144,0.06084142252802849,45.2
geoId-BTN,201700,6.181112289428711,0.49462366104125977,0.36082473397254944,0.75,0.6000000238418579,0.6000000238418579,5.120125000000001,4.6948,0.8709677457809448,0.04188426584005356,0.07412736117839813,39.10902777777778
geoId-CMU,201700,5.089122772216797,0.5714285969734192,0.30434781312942505,0.5199999809265137,0.4615384638309479,0.3076923191547394,3.873150684931507,4.4176056338028165,0.8588235378265381,0.017967354506254196,0.030430356040596962,46.54827586206896
geoId-CTO,201700,6.537461757659912,0.6936936974525452,0.4821428656578064,0.6279069781303406,0.6666666865348816,0.7407407164573669,6.145127906976744,4.631772151898733,0.8942307829856873,0.057232823222875595,0.060240618884563446,56.171723684210534
geoId-CBG,201700,6.893688201904297,0.5,0.2989690601825714,0.7575757503509521,0.7599999904632568,0.6000000238418579,4.743333333333334,3.8819230769230764,0.8510638475418091,0.04857872053980827,0.11921139806509018,46.409473684210525
Đà Nẵng,201700,8.07180404663086,0.6850828528404236,0.5524861812591553,0.6478873491287231,0.804347813129425,0.782608687877655,7.277570512820512,5.767739726027397,0.9349112510681152,0.14338424801826477,0.1353265941143036,54.811693548387105
Đắk Lắk,201700,6.140086650848389,0.5981308221817017,0.380952388048172,0.7297297120094299,0.6296296119689941,0.6666666865348816,6.623647058823529,7.988641975308641,0.9711538553237915,0.04215211048722267,0.06630336493253708,52.43734939759035
Đắk Nông,201700,5.152195930480957,0.44680851697921753,0.2526315748691559,0.65625,0.7142857313156128,0.5714285969734192,7.638192771084338,7.058536585365855,0.79347825050354,0.022051652893424034,0.05033562704920769,46.24626865671642
Điện Biên,201700,5.701584815979004,0.5157894492149353,0.20618556439876556,0.65625,0.4285714328289032,0.8095238208770752,5.837763157894738,4.228082191780822,0.7684210538864136,0.025384077802300453,0.08080346137285233,44.22478260869565
Đồng Nai,201700,6.730181694030762,0.5163934230804443,0.34166666865348816,0.5151515007019043,0.8823529481887817,0.7058823704719543,6.176428571428571,4.954069767441861,0.9042553305625916,0.07974673062562943,0.09093773365020752,44.93333333333334
Đồng Tháp,201700,5.928436279296875,0.6582278609275818,0.5121951103210449,0.6153846383094788,0.5,0.6875,5.473870967741934,5.677049180327869,0.9305555820465088,0.03850947692990303,0.05326177179813385,42.62472727272727
geoId-GLI,201700,5.556551933288574,0.6095238327980042,0.26923078298568726,0.6410256624221802,0.6399999856948853,0.6399999856948853,6.243956043956043,7.009294117647057,0.8666666746139526,0.02861003763973713,0.050912678241729736,50.78125
geoId-HGG,201700,5.093918800354004,0.4615384638309479,0.3125,0.4285714328289032,0.5555555820465088,0.7777777910232544,5.280555555555555,4.460754716981133,0.8082191944122314,0.007811466697603464,0.053975723683834076,44.07807017543859
geoId-HNM,201700,6.626865863800049,0.582608699798584,0.3781512677669525,0.604651153087616,0.6538461446762085,0.692307710647583,6.463737373737375,4.650224719101123,0.9137930870056152,0.06507813185453415,0.1032215803861618,43.44261363636363
geoId-HNI,201700,8.094335556030273,0.4920634925365448,0.3249211311340332,0.6267605423927307,0.9101123809814453,0.7528089880943298,6.998976377952754,4.620759999999999,0.8956229090690613,0.16289040446281433,0.1353265941143036,51.46137440758293
geoId-HTH,201700,7.0392656326293945,0.5,0.3052631616592407,0.692307710647583,0.6666666865348816,0.6111111044883728,7.09918918918919,3.6248611111111106,0.8965517282485962,0.10981399565935135,0.09926910698413849,49.40769230769231
