Tỉnh/thành phố,2010,2015,2016,2017,2018,2019,2020,2021
geoId-AGG,3633.0,5738.0,5568.0,5815.0,6127.12,6310.42,6556.27,6493.76
geoId-BR-VT,8182.0,9476.0,9873.0,10401.0,10780.27,11512.61,11988.21,12127.66
geoId-BDG,3687.0,6955.0,7544.0,8189.0,8645.26,9488.36,9769.9,10355.92
geoId-BPC,4680.0,5549.0,6333.0,6903.0,7013.16,7400.75,7843.13,8840.89
geoId-BTN,2793.0,4261.0,4628.0,5348.0,5936.11,6199.96,6314.28,7749.77
geoId-BDH,2645.0,4958.0,4994.0,5423.0,5747.82,6250.15,6886.19,7322.92
geoId-BLU,1897.0,3937.0,4719.0,4174.0,5260.53,5641.94,5781.58,6182.26
geoId-BGG,2628.0,5494.0,7168.0,7807.0,7466.45,8134.03,8643.5,8302.78
geoId-BKN,2465.0,4520.0,5084.0,5632.0,6512.92,6811.74,7190.92,6798.06
geoId-BNH,3016.0,7807.0,8305.0,8982.0,9456.01,9972.74,10542.04,11165.96
geoId-SCC,2789.0,5177.0,5521.0,5953.0,6316.81,6607.81,6815.41,7616.34
geoId-BTE,2670.0,5639.0,6127.0,6220.0,6642.04,6920.45,6620.77,7257.3
geoId-CBG,3244.0,5161.0,5666.0,6086.0,6284.77,6366.72,6996.06,7528.22
geoId-CMU,2815.0,5628.0,6197.0,6843.0,7002.66,7004.95,6758.51,7860.64
geoId-VNM,4124.0,6966.0,7514.0,8269.0,8836.18,9324.78,9546.5,10261.08
geoId-CTO,2825.0,5416.0,5850.0,5602.0,6383.25,6474.31,6968.59,7217.67
geoId-GLI,3329.0,5156.0,5050.0,6011.0,6004.74,6030.18,6553.91,7665.9
geoId-HGG,2917.0,4594.0,5257.0,5472.0,5881.37,6234.98,6152.19,6208.93
geoId-HNM,2720.0,5439.0,6219.0,6810.0,6808.34,7693.68,7602.41,8560.95
geoId-HNI,4944.0,7965.0,7879.0,9192.0,10111.14,10461.59,10229.5,11449.85
geoId-HTH,2651.0,4730.0,5893.0,6130.0,6506.76,7068.71,7259.08,7582.03
geoId-HBH,2508.0,5911.0,5886.0,6048.0,6521.33,6573.7,6368.9,7020.03
geoId-HYN,2984.0,6150.0,6445.0,7603.0,8155.07,8202.07,8736.25,10122.99
geoId-HDG,2968.0,5985.0,6714.0,6944.0,7595.96,8375.21,8202.94,9193.85
geoId-HPG,3151.0,6329.0,6853.0,7037.0,8181.1,8198.53,9213.51,10621.45
geoId-HGG,3264.0,4824.0,4998.0,5759.0,5749.57,6027.42,6442.01,6195.29
geoId-KHA,3229.0,5551.0,5669.0,6557.0,7418.1,6982.27,7914.55,7903.35
,10153.0,13109.0,17315.0,17584.0,17014.87,20631.43,23468.04,23765.35
geoId-KGG,2699.0,5660.0,5308.0,6200.0,7101.16,7172.95,7611.64,7494.89
geoId-KTM,3869.0,4706.0,4971.0,5046.0,5787.46,5864.02,6173.93,7430.46
geoId-LCU,2994.0,5001.0,5712.0,5460.0,5734.98,5744.67,6017.42,6826.25
geoId-LAN,2945.0,5824.0,6612.0,7181.0,7315.25,7788.08,8490.99,8742.18
geoId-LCI,3571.0,6560.0,6692.0,6795.0,7927.96,9037.17,7746.09,8483.29
geoId-LDG,3045.0,5938.0,6010.0,6280.0,6938.32,7092.84,7289.02,8200.25
geoId-LSN,2853.0,5345.0,5569.0,5560.0,5647.8,5771.54,6137.76,7147.77
