Tỉnh/thành phố,2015,2016,2017,2018,2019,2020,2021,Sơ bộ 2022
geoId-AGG,125034,131158,126936,127370,130670,121688,120049,123070
geoId-BR-VT,56922,58115,60277,62551,67486,64585,61434,57133
geoId-BDG,94527,100503,111544,118827,125290,128441,127956,137919
geoId-BPC,45172,48527,50314,51590,55023,52097,51877,54183
geoId-BTN,52173,55449,60948,64091,64947,62270,63493,65761
geoId-BDH,95338,96861,98295,97127,99013,99404,99735,101288
geoId-BLU,55460,55470,57684,57144,63047,46889,46856,46772
geoId-BGG,66473,69134,74753,75713,75694,78052,77975,77549
geoId-BKN,12614,11934,13135,12925,13073,13168,13496,13834
geoId-BNH,101580,108028,116775,120846,127637,122714,125343,133068
geoId-SCC,1095881,1126098,1184012,1201809,1233100,1201000,1187605,1191339
geoId-BTE,74183,74658,80029,79628,81324,79560,78336,78401
geoId-CBG,16214,16751,17754,17797,18357,19042,19412,20206
geoId-CMU,56609,58904,60023,58272,63895,65445,66575,66328
geoId-VNM,4754826,4909827,5142978,5198735,5377699,5200323,5067365,5177222
geoId-CTO,78140,81569,83805,84943,88186,88126,85827,86127
geoId-GLI,48890,50734,50983,55491,56732,56727,59575,60026
geoId-HGG,20089,20779,23367,24324,25537,25840,25277,26515
geoId-HNM,51677,52538,53624,52597,53430,53313,52559,51940
geoId-HNI,351105,360149,378541,378111,385223,377072,360072,363604
geoId-HTH,70597,67628,71488,72853,78424,76381,75581,73119
geoId-HBH,32260,33567,34575,33064,34123,34470,35591,36797
geoId-HYN,71838,74059,78400,78864,85384,77810,76500,76480
geoId-HDG,112288,113018,116242,113304,115257,110928,108573,104503
geoId-HPG,94542,93758,100741,96630,98337,102471,97740,102299
geoId-HGG,39586,41212,43201,43439,47075,44873,44414,46248
geoId-KHA,61089,64158,66386,68040,69626,64010,57636,58260
geoId-KGG,79612,87846,85328,85031,98583,94997,90010,91157
geoId-KTM,22349,23171,25126,25876,27316,26672,26164,27243
geoId-LCU,9007,9672,11080,11048,12379,11248,10784,12039
geoId-LAN,63133,64471,68991,68779,73429,70465,65901,71123
geoId-LCI,21528,22603,25399,25294,26730,26494,27418,27478
geoId-LDG,63205,68757,67990,69155,76835,71604,71576,73305
geoId-LSN,30348,29420,31216,30492,31174,31081,30862,30719
geoId-NDH,98051,101557,102796,102370,100303,102935,105438,104626
geoId-NAN,148051,149771,158375,158998,158916,157516,154705,153166
geoId-NBH,94821,95287,99136,99331,100743,92366,90916,91404
geoId-NTN,33682,34392,36068,36801,38977,39238,39757,40151
geoId-PTO,65605,66528,68642,64909,65222,63406,64671,63819
geoId-PYN,55144,58121,59172,59406,63873,60884,60559,61800
geoId-QBH,66245,67141,70334,71965,73161,70847,71756,70734
geoId-QNM,81220,84766,89408,92946,94111,95069,94361,94967
geoId-QNI,75100,77289,80427,80796,83387,82592,82719,83047
geoId-QNH,69609,70893,79521,81708,87295,76808,73763,71709
geoId-QTI,41609,43388,45233,47146,48759,47792,48626,47934
geoId-STG,59201,60364,55811,53534,56146,56010,55681,57166
geoId-SLA,28202,29356,32742,32809,32604,30931,32415,31222
geoId-THA,172104,174864,192331,191643,193864,185837,183450,179295
geoId-TBH,117408,124200,134715,131570,131587,119349,120389,119833
geoId-TNN,64325,66584,73854,73133,75160,70640,69222,68792
geoId-TTH,72809,76762,81025,81534,84280,78584,76078,76534
geoId-TGG,76312,78502,84482,83568,89919,86445,84549,88278
geoId-HCM,412820,431867,453304,476079,488085,465329,387563,441599
geoId-NT,440335,450591,488972,481628,493655,485706,489497,490929
geoId-TVH,62061,66822,65779,68495,64078,66485,65731,66995
geoId-TQG,29362,29479,34425,33262,33813,31048,31672,32264
geoId-TNN,226380,236493,244767,252844,271946,260185,264774,270631
geoId-TNH,68082,72733,72745,74738,78120,74628,75596,77933
geoId-VLG,66933,70151,69040,70764,69691,71393,71990,73925
geoId-VPC,65123,63247,68876,69046,71873,69847,67688,67236
geoId-YBI,29050,28926,31044,31121,33364,32994,32744,32193
geoId-DBN,15258,15858,16986,15737,16425,17292,17958,17502
geoId-DNG,70720,75508,74522,78463,81762,80576,79149,85283
geoId-ST,820102,856301,902104,942680,978383,945654,861025,929898
geoId-DLK,71145,72016,76217,77012,84697,78958,80970,82723
geoId-DNG1,20791,21815,24451,25310,26366,26224,26489,27334
geoId-MRD,944086,983610,993756,995397,1043546,1002165,985483,1007723
geoId-RRD,1228042,1256734,1329367,1324377,1357069,1305613,1278981,1286702
geoId-DNI,142579,144556,153920,158895,164379,160574,156599,161131
geoId-DTP,107822,112483,112647,114430,117503,109789,109564,112133
