Tỉnh/thành phố,2017,2018,2019,2020,2021,2022
geoId-AGG,4414,4470,4449,4794,4856,5058
geoId-BR-VT,8956,9611,10097,10946,11393,11934
geoId-BDG,22976,27566,31599,34836,37668,40736
geoId-BPC,4046,4471,5108,5831,6216,6615
geoId-BTN,4182,4455,4843,5220,5466,5810
geoId-BDH,5891,6200,6394,6742,7058,7745
geoId-BLU,1587,1779,1882,2078,2194,2182
geoId-BGG,4715,5451,5881,6549,7117,7901
geoId-BKN,660,662,612,602,655,708
geoId-BNH,5674,9915,11349,12769,13944,14894
geoId-SCC,88222,95558,100725,107158,111849,117899
geoId-BTE,2925,3169,3065,3326,3473,3572
geoId-CBG,945,998,1067,1147,1182,1222
geoId-CMU,3400,3406,3406,3573,3659,3842
geoId-VNM,654633,714755,758610,811538,857551,895876
geoId-CTO,7465,7824,8471,9088,9622,10060
geoId-GLI,3482,3611,3871,4502,4837,5238
geoId-HGG,1136,1138,1167,1224,1248,1273
geoId-HNM,3352,3751,4105,4497,4800,5148
geoId-HNI,133981,143119,155940,165875,178493,187007
geoId-HTH,4166,4448,4555,4836,5199,5556
geoId-HBH,2001,2169,2312,2464,2659,2892
geoId-HYN,5820,6602,7173,7669,8324,8968
geoId-HDG,7427,8208,8981,9687,10126,10605
geoId-HPG,21598,21613,19918,20195,19806,20730
geoId-HGG,1843,1899,1998,2236,2349,2532
geoId-KHA,9405,10401,11040,11215,11144,11198
geoId-KGG,6782,7375,7276,7777,8071,8637
geoId-KTM,1551,1571,1644,1840,1972,2051
geoId-LCU,1097,1125,1067,1086,1090,1212
geoId-LAN,7831,8883,9694,10476,11088,11493
geoId-LCI,2578,2582,2578,2862,3052,3230
geoId-LDG,5507,5878,6319,6969,7380,7686
geoId-LSN,1608,1746,1905,2015,2220,2347
geoId-NDH,5044,5475,5676,5982,6455,6848
geoId-NAN,11456,11706,10855,11636,12414,13154
geoId-NBH,3550,3950,4277,4610,4745,5162
geoId-NTN,1949,2079,2342,2701,2813,2981
geoId-PTO,4273,4722,4912,5302,5587,6103
geoId-PYN,2456,2607,2720,2991,3088,3304
geoId-QBH,3809,4034,4161,4467,4734,5029
geoId-QNM,5973,6481,7252,7723,7905,8257
geoId-QNI,4306,4723,5087,5297,5415,5543
geoId-QNH,8622,8455,8907,9231,9468,9908
geoId-QTI,2495,2619,2698,2862,3059,3273
geoId-STG,2136,2324,2412,2676,2813,2895
geoId-SLA,1643,1728,1805,1977,2084,2132
geoId-THA,9557,11127,11763,13152,14088,15494
geoId-TBH,4480,4838,4991,5152,5481,5933
geoId-TNN,4045,4235,4526,4789,5167,5437
geoId-TTH,4160,4303,4449,4650,4763,5136
geoId-TGG,4165,4347,4512,4853,5060,5530
geoId-HCM,204918,228267,239623,254699,268465,274067
geoId-NT,28302,30370,31812,34271,36614,39341
geoId-TVH,1765,1878,2037,2301,2436,2627
geoId-TQG,1168,1275,1329,1460,1590,1755
geoId-TNN,17533,18489,19777,22298,23637,24914
geoId-TNH,3665,3842,3996,4352,4560,4930
geoId-VLG,2419,2454,2483,2663,2792,2877
geoId-VPC,7828,6398,7069,7758,8322,9100
geoId-YBI,1423,1513,1609,1726,1887,2020
geoId-DBN,1010,1026,1042,1068,1076,1109
geoId-DNG,18417,20375,22566,23666,24703,25419
geoId-ST,263426,294940,312821,334934,353357,364129
geoId-DLK,5129,5473,5947,6766,7087,7373
geoId-DNG1,1864,1956,1996,2221,2361,2566
geoId-MRD,49774,53074,55089,59452,62130,65290
geoId-RRD,207376,222324,238386,253425,269964,284303
geoId-DNI,18865,21183,22398,24270,25055,25847
geoId-DTP,3042,3266,3404,3611,3717,3985
