Tỉnh/thành phố,năm,Tổng số,"Dưới 0,5 tỷ đồng","Từ 0,5 đến dưới 1 tỷ đồng",Từ 1 đến dưới 5 tỷ đồng,Từ 5 đến dưới 10 tỷ đồng,Từ 10 đến dưới 50 tỷ,Từ 50 đến dưới 200,Từ 200 đến dưới 500 tỷ,Từ 500 tỷ đồng trở lên
geoId-AGG,2020,4282,871,218,48,38,871,218,48,38
geoId-BR-VT,2020,10412,2328,672,173,184,2328,672,173,184
geoId-BDG,2020,31086,7557,2539,775,550,7557,2539,775,550
geoId-BPC,2020,5134,1399,533,121,102,1399,533,121,102
geoId-BTN,2020,4584,1074,283,83,83,1074,283,83,83
geoId-BDH,2020,6302,1147,335,86,71,1147,335,86,71
geoId-BLU,2020,2026,491,99,19,25,491,99,19,25
geoId-BGG,2020,6376,1508,548,123,100,1508,548,123,100
geoId-BKN,2020,547,119,40,8,1,119,40,8,1
geoId-BNH,2020,10983,2927,1136,261,190,2927,1136,261,190
geoId-SCC,2020,97452,17168,4383,1103,1046,17168,4383,1103,1046
geoId-BTE,2020,3327,583,139,36,33,583,139,36,33
geoId-CBG,2020,977,245,62,13,7,245,62,13,7
geoId-CMU,2020,3459,594,143,37,17,594,143,37,17
geoId-VNM,2020,718697,153272,42502,10744,9678,153272,42502,10744,9678
geoId-CTO,2020,9356,1650,418,112,69,1650,418,112,69
geoId-GLI,2020,3977,1091,219,56,71,1091,219,56,71
geoId-HGG,2020,1003,284,91,17,21,284,91,17,21
geoId-HNM,2020,4039,1150,489,117,98,1150,489,117,98
geoId-HNI,2020,147454,32976,8809,2157,2028,32976,8809,2157,2028
geoId-HTH,2020,4328,999,208,42,39,999,208,42,39
geoId-HBH,2020,2080,591,194,55,36,591,194,55,36
geoId-HYN,2020,7054,1771,671,189,177,1771,671,189,177
geoId-HDG,2020,8522,1951,612,150,147,1951,612,150,147
geoId-HPG,2020,17499,4001,1252,305,282,4001,1252,305,282
geoId-HGG,2020,2054,523,114,34,22,523,114,34,22
geoId-KHA,2020,8881,1446,396,123,122,1446,396,123,122
,2020,137,3,11,18,103,3,11,18,103
geoId-KGG,2020,7252,1491,487,82,64,1491,487,82,64
geoId-KTM,2020,1573,352,96,28,20,352,96,28,20
geoId-LCU,2020,854,261,57,19,18,261,57,19,18
geoId-LAN,2020,9067,2442,1053,301,238,2442,1053,301,238
geoId-LCI,2020,2523,725,210,54,46,725,210,54,46
geoId-LDG,2020,6107,1273,285,63,45,1273,285,63,45
geoId-LSN,2020,1827,537,186,26,12,537,186,26,12
geoId-NDH,2020,6393,1829,476,80,45,1829,476,80,45
geoId-NAN,2020,11182,2268,558,137,95,2268,558,137,95
geoId-NBH,2020,3970,1112,371,101,86,1112,371,101,86
geoId-NTN,2020,2504,575,142,23,58,575,142,23,58
geoId-PTO,2020,5110,1126,316,77,56,1126,316,77,56
geoId-PYN,2020,2606,400,100,28,21,400,100,28,21
geoId-QBH,2020,4079,777,202,54,43,777,202,54,43
geoId-QNM,2020,7416,1119,330,89,102,1119,330,89,102
geoId-QNI,2020,4767,739,170,45,50,739,170,45,50
geoId-QNH,2020,8201,2038,568,156,172,2038,568,156,172
geoId-QTI,2020,2676,498,124,21,35,498,124,21,35
geoId-STG,2020,2491,493,128,35,25,493,128,35,25
geoId-SLA,2020,1822,503,125,35,29,503,125,35,29
geoId-THA,2020,13352,2709,660,169,115,2709,660,169,115
geoId-TBH,2020,5108,1247,340,87,54,1247,340,87,54
geoId-TNN,2020,4343,1116,366,95,81,1116,366,95,81
geoId-TTH,2020,4382,620,182,47,55,620,182,47,55
geoId-TGG,2020,4659,762,193,61,55,762,193,61,55
geoId-HCM,2020,213721,42211,10636,2612,2415,42211,10636,2612,2415
geoId-NT,2020,31318,8021,2438,577,454,8021,2438,577,454
geoId-TVH,2020,2104,313,75,18,20,313,75,18,20
geoId-TQG,2020,1362,345,67,12,11,345,67,12,11
geoId-TNN,2020,19832,4528,939,208,186,4528,939,208,186
geoId-TNH,2020,4109,889,333,118,105,889,333,118,105
geoId-VLG,2020,2397,364,89,27,19,364,89,27,19
geoId-VPC,2020,7409,1708,486,140,133,1708,486,140,133
geoId-YBI,2020,1531,374,109,28,20,374,109,28,20
geoId-DBN,2020,963,287,67,15,16,287,67,15,16
geoId-DNG,2020,20393,2797,693,156,157,2797,693,156,157
geoId-ST,2020,287407,59641,16214,4229,3806,59641,16214,4229,3806
geoId-DLK,2020,6282,1325,247,46,39,1325,247,46,39
geoId-DNG1,2020,1893,487,92,15,11,487,92,15,11
geoId-MRD,2020,55919,11201,3307,866,671,11201,3307,866,671
geoId-RRD,2020,226632,52710,15210,3743,3412,52710,15210,3743,3412
geoId-DNI,2020,22945,5257,1501,430,450,5257,1501,430,450
geoId-DTP,2020,3445,624,151,56,46,624,151,56,46
