Tỉnh/thành phố,2010,2015,2016,2017,2018,2019,2020,2021
geoId-AGG,153.1,227.6,198.7,307.1,240.83,250.65,304.63,311.72
geoId-BR-VT,912.9,1255.1,1366.8,1299.5,1127.33,742.39,898.62,1242.66
geoId-BDG,150.4,168.9,175.5,194.1,215.6,233.11,271.02,298.72
geoId-BPC,151.2,168.3,200.9,239.3,270.54,288.98,392.96,529.22
geoId-BTN,163.3,199.5,258.6,262.0,511.35,857.26,1090.0,1135.47
geoId-BDH,111.5,185.0,202.7,232.8,249.18,256.39,309.16,360.07
geoId-BLU,155.5,159.6,180.7,357.1,320.97,323.82,286.81,522.99
geoId-BGG,155.4,201.8,217.0,232.2,246.76,252.75,277.54,298.42
geoId-BKN,115.7,227.4,263.5,259.2,324.89,344.86,388.37,415.94
geoId-BNH,255.4,327.7,354.0,444.3,555.09,544.25,502.1,460.22
geoId-SCC,189.9,315.0,343.3,389.0,520.67,617.06,714.26,748.56
geoId-BTE,120.1,151.6,148.8,156.8,141.72,191.67,205.65,232.4
geoId-CBG,137.9,176.9,256.9,334.0,332.93,386.87,409.69,513.36
geoId-CMU,453.1,522.8,448.5,404.9,323.82,331.58,557.38,474.66
geoId-VNM,253.9,286.5,297.7,338.3,356.97,381.41,436.83,459.9
geoId-CTO,234.1,407.8,392.7,375.9,404.06,396.98,554.61,374.45
geoId-GLI,220.1,311.8,390.3,401.8,527.53,565.37,638.19,893.62
geoId-HGG,179.5,321.6,455.0,643.0,772.1,921.05,833.11,815.14
geoId-HNM,274.5,280.3,286.0,371.6,394.74,486.67,512.15,514.1
geoId-HNI,200.0,290.9,283.9,348.1,343.9,341.62,406.44,389.25
geoId-HTH,158.4,526.1,1030.2,1814.6,2708.33,3573.59,3600.39,3341.36
geoId-HBH,175.5,305.8,277.0,267.2,266.57,315.14,353.36,339.24
geoId-HYN,175.8,292.6,253.0,271.2,302.17,302.16,346.2,361.96
geoId-HDG,204.1,213.7,191.8,212.9,217.09,227.38,298.12,362.78
geoId-HPG,287.2,369.8,355.0,358.6,388.61,476.25,614.81,626.06
geoId-HGG,147.6,155.9,186.8,282.0,405.66,420.85,438.55,451.61
geoId-KHA,188.2,264.1,262.9,294.0,407.31,343.17,581.85,680.46
,912.0,454.5,1041.8,1039.3,924.94,830.38,929.46,909.74
geoId-KGG,145.2,238.1,237.3,305.3,358.84,433.65,623.15,745.54
geoId-KTM,116.4,149.8,183.1,212.6,292.77,454.04,729.21,876.53
geoId-LCU,144.9,189.1,364.7,574.7,597.86,1041.89,1370.69,1523.65
geoId-LAN,168.0,206.1,163.0,240.7,259.38,284.17,348.05,397.78
geoId-LCI,149.1,454.0,629.8,612.5,666.81,842.83,1020.86,1091.62
geoId-LDG,152.5,307.0,363.9,418.1,432.1,417.56,588.12,594.12
geoId-LSN,143.7,251.4,274.6,299.5,300.01,333.12,376.34,386.52
geoId-NDH,132.0,189.3,180.0,174.4,187.15,197.09,210.76,223.65
geoId-NAN,157.5,249.6,281.9,305.4,341.7,337.37,411.14,428.83
geoId-NBH,203.2,344.4,371.2,475.8,367.65,401.8,512.36,491.09
geoId-NTN,189.6,313.4,327.2,348.7,409.03,837.98,1957.19,2642.36
geoId-PTO,137.9,195.0,188.1,222.9,240.01,252.4,279.5,288.04
geoId-PYN,198.5,289.8,297.7,297.7,295.94,314.97,368.8,402.19
geoId-QBH,210.9,510.4,471.0,519.2,549.8,572.36,612.13,678.9
geoId-QNM,164.4,266.5,258.5,258.8,316.65,327.13,400.93,478.2
geoId-QNI,831.1,1039.2,972.1,873.3,845.45,873.36,1196.04,1238.66
geoId-QNH,376.6,717.0,722.7,933.6,831.42,862.81,808.33,813.7
geoId-QTI,143.7,296.0,302.4,345.2,385.53,442.05,634.39,1066.73
geoId-STG,127.7,221.5,208.3,224.5,221.43,223.84,250.49,282.95
geoId-SLA,191.1,507.2,627.0,677.3,773.93,829.71,1165.16,1231.7
geoId-THA,135.2,307.8,282.7,331.8,637.98,840.06,791.48,727.52
geoId-TBH,159.9,139.4,171.8,192.0,237.59,179.62,194.73,202.98
geoId-TNN,157.7,623.5,701.6,692.0,632.66,607.65,605.78,589.32
geoId-TTH,205.3,353.5,350.5,363.3,310.86,317.79,353.28,364.79
geoId-TGG,105.5,128.5,133.1,157.3,155.92,169.45,192.38,204.0
geoId-HCM,202.8,224.1,153.9,189.2,207.61,238.67,273.46,289.69
geoId-NT,151.7,347.7,408.5,422.0,432.48,437.48,458.48,457.9
geoId-TVH,86.4,76.6,391.7,879.2,104.93,1191.55,1446.51,2098.01
geoId-TQG,117.7,369.0,491.0,489.9,510.72,459.94,410.23,361.21
geoId-TNN,153.5,278.6,335.6,346.5,394.01,437.48,581.04,783.92
geoId-TNH,162.9,223.3,244.1,312.3,362.81,399.15,509.84,573.96
geoId-VLG,112.4,112.4,93.9,107.6,149.01,149.8,165.14,188.63
geoId-VPC,205.6,125.2,236.9,322.5,275.91,299.85,334.43,335.63
geoId-YBI,160.6,333.0,381.6,386.4,418.41,426.31,516.84,508.65
geoId-DBN,127.0,256.7,306.4,326.9,739.83,368.51,487.78,593.47
geoId-DNG,174.8,261.6,297.0,272.4,305.95,321.49,388.18,404.32
geoId-ST,226.2,256.7,225.8,250.1,263.75,275.66,318.82,354.27
