Tỉnh/thành phố,2010,2015,2016,2017,2018,2019,2020,2021
geoId-AGG,19492,25203,25684,28345,29655,31391,30752,35567
geoId-BR-VT,65728,70999,73626,81448,83312,81450,79989,81339
geoId-BDG,385210,517158,543685,558652,556359,559351,566288,513774
geoId-BPC,31186,57429,63820,62563,64369,72393,70392,65242
geoId-BTN,21622,33498,34300,35482,36790,36045,31900,33351
geoId-BDH,42147,49759,48502,51028,52708,53884,55941,62398
geoId-BLU,5543,9026,13361,11261,12611,14790,13467,13232
geoId-BGG,50360,97035,116206,127322,138953,156964,177680,197478
geoId-BKN,2457,2320,2226,2033,2134,2352,2095,2378
geoId-BNH,56905,168514,194551,234927,218140,229780,256548,254953
geoId-SCC,451711,624110,700682,739534,762453,816029,767223,847835
geoId-BTE,14729,36144,40857,42295,46452,45900,42210,39150
geoId-CBG,4861,4496,4588,4536,4619,4900,5009,4919
geoId-CMU,19601,19008,18457,19824,18557,17912,16880,17490
geoId-VNM,4165546,5915853,6451356,6699179,6918219,7172423,6864676,7050071
geoId-CTO,37608,38450,42469,43848,44659,47448,44802,49992
geoId-GLI,22561,24171,21900,19938,19345,20028,18510,19364
geoId-HGG,5826,6102,5617,4862,4679,4871,5381,5350
geoId-HNM,24440,58090,66751,72287,75959,75986,82578,88290
geoId-HNI,555355,856564,891257,921914,976421,981161,916988,940754
geoId-HTH,14987,21336,21379,22057,21766,23864,24670,26480
geoId-HBH,12142,22535,23245,25492,24907,24351,24440,30609
geoId-HYN,52324,93128,103626,105006,111789,118965,114784,125791
geoId-HDG,107587,160024,178367,188845,192216,207452,198358,213256
geoId-HPG,138410,188040,217343,228548,238164,242853,242703,253916
geoId-HGG,6355,19018,20956,23667,24058,25002,25520,27148
geoId-KHA,41866,53772,60471,64375,71806,68944,58828,54932
,128682,98810,141180,152504,174524,190323,194585,199654
geoId-KGG,12545,16760,21063,23047,29657,29893,29476,30427
geoId-KTM,7897,8089,7504,7548,8830,8419,8351,8904
geoId-LCU,2691,3476,2894,3010,2892,2737,2792,3112
geoId-LAN,86398,132228,141271,152664,169452,177779,163293,164087
geoId-LCI,10234,13725,14383,15802,15288,15170,12777,11889
geoId-LDG,19829,21694,24781,25796,27474,27723,22698,27317
geoId-LSN,6219,6225,7561,7424,7276,7555,7246,7449
geoId-NDH,51206,76225,87285,99479,109184,118181,117246,126965
geoId-NAN,41371,68616,76334,79752,81478,87956,82881,102659
geoId-NBH,34530,62044,63246,69915,76574,79870,78651,85046
geoId-NTN,7960,10023,9882,10392,10515,11063,9876,11595
geoId-PTO,52184,67694,70642,76133,80647,85602,89727,96920
geoId-PYN,23253,15467,15456,16410,17246,18283,18979,20268
geoId-QBH,13288,13870,14594,15274,15879,16572,15021,16047
geoId-QNM,40009,60550,72615,75852,82917,89017,79679,89846
geoId-QNI,14885,19562,23886,26518,27829,30700,34104,40886
geoId-QNH,56493,69865,77722,74353,75516,78358,69348,71548
geoId-QTI,8559,9379,9253,9462,9689,11201,10383,11753
geoId-STG,14791,14089,16376,16687,17176,20692,21247,23445
geoId-SLA,8323,8464,8805,8872,9259,8566,7317,7385
geoId-THA,69024,114417,148512,164014,168599,195750,189106,218141
geoId-TBH,63944,97613,107793,105844,108840,115993,111511,113318
geoId-TNN,23742,101096,111303,125486,124187,119615,105606,109242
geoId-TTH,27999,40222,41489,42595,44715,46020,43171,47732
geoId-TGG,31338,95448,101671,108512,115518,115605,84286,96662
geoId-HCM,993165,1191242,1283695,1267661,1292888,1320284,1215412,1190617
geoId-NT,198457,363050,401025,435283,448943,467983,478744,518853
geoId-TVH,19938,41119,36897,34940,30134,32968,18988,30001
geoId-TQG,6546,11889,12590,11577,11653,12604,16980,20371
geoId-TNN,76943,80277,84550,84571,83893,88099,81600,84759
geoId-TNH,48539,102594,102544,104305,109321,112784,112145,108098
geoId-VLG,21008,32793,36953,36837,37507,42846,41718,41136
geoId-VPC,32302,70388,89767,103020,108013,114109,119660,124650
geoId-YBI,8533,9015,11376,13008,12720,13435,13675,14242
geoId-DBN,4339,8978,9589,9726,9729,9261,8019,7509
geoId-DNG,84741,113639,124009,126323,120516,126730,112684,111747
geoId-ST,1824474,2343601,2501499,2510286,2552007,2611528,2469849,2395402
geoId-DLK,23205,21136,22919,23847,23182,24608,24517,21072
geoId-DNG1,3451,5187,7446,7442,5062,7321,7524,8102
geoId-MRD,311783,505510,544712,572863,605583,635753,564300,605602
geoId-RRD,1173496,1900495,2077708,2204138,2290816,2362708,2308375,2398487
geoId-DNI,300646,404179,434129,435657,445758,465266,425623,436332
geoId-DTP,22437,26224,28697,30936,30147,33527,31661,37265
