Tỉnh/thành phố,2010,2015,2016,2017,2018,2019,2020,2021
geoId-AGG,128,126,127,130,119,136,154,192
geoId-BR-VT,20,45,48,38,58,58,61,71
geoId-BDG,66,62,66,82,87,102,111,125
geoId-BPC,12,29,38,51,51,66,67,82
geoId-BTN,128,120,124,108,109,96,105,120
geoId-BDH,234,197,193,179,196,194,193,206
geoId-BLU,73,58,66,82,77,84,142,166
geoId-BGG,222,268,289,304,355,353,474,547
geoId-BKN,40,23,42,62,74,107,131,156
geoId-BNH,601,616,415,418,405,390,387,391
geoId-SCC,3253,3592,3788,3791,3919,3903,4026,4223
geoId-BTE,52,41,40,45,51,74,91,119
geoId-CBG,189,180,144,145,153,170,181,191
geoId-CMU,101,55,58,62,71,78,92,136
geoId-VNM,11924,12866,13012,13226,13958,14388,15306,16454
geoId-CTO,102,93,107,125,106,119,118,139
geoId-GLI,55,67,70,88,116,150,177,182
geoId-HGG,213,292,265,255,236,255,324,376
geoId-HNM,183,177,177,187,187,181,202,212
geoId-HNI,1301,1435,1329,1295,1314,1297,1332,1254
geoId-HTH,299,830,1004,971,1034,902,730,704
geoId-HBH,217,199,128,116,148,164,177,197
geoId-HYN,241,252,251,258,239,257,229,247
geoId-HDG,554,502,467,470,458,437,458,465
geoId-HPG,311,293,289,268,293,273,242,246
geoId-HGG,81,129,142,119,101,101,159,183
geoId-KHA,99,84,79,82,71,69,78,90
geoId-KGG,111,202,260,255,349,355,444,465
geoId-KTM,28,27,29,39,37,39,59,65
geoId-LCU,134,114,108,97,120,102,115,127
geoId-LAN,40,61,60,52,62,83,107,134
geoId-LCI,74,78,80,92,76,108,131,153
geoId-LDG,66,90,104,135,185,191,209,239
geoId-LSN,37,46,63,72,78,75,89,141
geoId-NDH,410,390,368,365,378,388,375,396
geoId-NAN,489,469,456,494,507,503,583,595
geoId-NBH,323,290,291,296,295,289,288,292
geoId-NTN,36,35,36,34,40,38,62,72
geoId-PTO,190,307,287,305,314,329,287,329
geoId-PYN,128,110,107,104,101,112,114,128
geoId-QBH,267,197,204,210,208,226,252,277
geoId-QNM,151,130,150,194,211,270,319,391
geoId-QNI,217,188,176,170,180,201,214,232
geoId-QNH,91,126,144,205,212,285,231,249
geoId-QTI,286,283,275,265,293,297,293,298
geoId-STG,74,70,83,90,105,105,163,161
geoId-SLA,45,81,149,160,254,265,257,336
geoId-THA,654,693,728,719,715,725,804,815
geoId-TBH,512,484,473,418,430,424,431,439
geoId-TNN,69,78,115,145,159,177,216,262
geoId-TTH,212,207,207,205,202,212,218,228
geoId-TGG,82,81,86,102,115,151,176,194
geoId-HCM,367,361,395,415,459,466,460,430
geoId-NT,1750,2072,2061,2160,2376,2540,2869,3383
geoId-TVH,75,67,73,81,85,109,121,131
geoId-TQG,156,182,191,210,213,223,241,265
geoId-TNN,338,378,460,535,643,726,791,861
geoId-TNH,46,69,63,74,80,77,91,109
geoId-VLG,71,81,78,80,88,97,100,109
geoId-VPC,291,288,307,286,296,290,306,309
geoId-YBI,128,149,139,138,144,159,180,218
geoId-DBN,36,75,61,59,52,53,66,85
geoId-DNG,53,49,49,56,52,58,61,67
geoId-ST,632,743,861,906,1038,1057,1095,1155
geoId-DLK,152,152,214,235,253,294,274,287
geoId-DNG1,37,42,43,38,52,52,72,88
geoId-MRD,1133,1228,1331,1368,1475,1651,2044,2332
geoId-RRD,4818,4853,4511,4466,4507,4511,4481,4500
geoId-DNI,121,177,251,246,303,288,305,338
geoId-DTP,143,164,151,145,146,159,177,203
