Tỉnh/thành phố,2017,2018,2019,2020,2021,2022
geoId-AGG,2.26,2.31,2.33,2.52,2.54,2.65
geoId-BR-VT,7.95,8.44,8.76,9.37,9.69,10.12
geoId-BDG,10.32,11.75,12.86,13.5,14.51,14.74
geoId-BPC,4.16,4.54,5.12,5.77,6.07,6.39
geoId-BTN,3.43,3.63,3.93,4.21,4.39,4.64
geoId-BDH,3.96,4.17,4.3,4.53,4.68,5.15
geoId-BLU,1.77,1.97,2.07,2.27,2.39,2.37
geoId-BGG,2.71,3.07,3.25,3.56,3.8,4.18
geoId-BKN,2.13,2.12,1.95,1.9,2.02,2.18
geoId-BNH,4.37,4.78,5.13,5.47,9.53,10.01
geoId-SCC,4.42,4.76,4.98,5.27,5.43,5.71
geoId-BTE,2.28,2.46,2.38,2.57,2.68,2.75
geoId-CBG,1.8,1.89,2.01,2.15,2.18,2.25
geoId-CMU,2.84,2.85,2.85,2.99,3.03,3.18
geoId-VNM,6.94,7.49,7.86,8.32,8.71,9.01
geoId-CTO,6.11,6.37,6.85,7.32,7.72,8.03
geoId-GLI,2.37,2.41,2.55,2.92,3.08,3.29
geoId-HGG,1.36,1.34,1.36,1.41,1.41,1.43
geoId-HNM,3.99,4.43,4.8,5.22,5.48,5.86
geoId-HNI,17.31,18.08,19.27,20.11,21.43,22.17
geoId-HTH,3.27,3.47,3.53,3.73,3.96,4.22
geoId-HBH,2.37,2.55,2.7,2.86,3.05,3.3
geoId-HYN,4.74,5.31,5.71,6.04,6.48,6.95
geoId-HDG,4.01,4.37,4.73,5.05,5.23,5.45
geoId-HPG,10.79,10.72,9.8,9.83,9.56,9.93
geoId-HGG,2.5,2.58,2.73,3.06,3.22,3.47
geoId-KHA,7.73,8.49,8.96,9.04,8.93,8.93
geoId-KGG,3.96,4.29,4.22,4.5,4.61,4.93
geoId-KTM,2.98,2.95,3.03,3.31,3.47,3.54
geoId-LCU,2.47,2.48,2.31,2.31,2.28,2.51
geoId-LAN,4.71,5.29,5.72,6.11,6.43,6.63
geoId-LCI,3.64,3.58,3.52,3.83,4.01,4.19
geoId-LDG,4.3,4.55,4.86,5.32,5.58,5.77
geoId-LSN,2.09,2.25,2.43,2.55,2.79,2.93
geoId-NDH,2.82,3.07,3.19,3.36,3.52,3.65
geoId-NAN,3.53,3.56,3.25,3.46,3.64,3.85
geoId-NBH,3.68,4.05,4.34,4.64,4.71,5.11
geoId-NTN,3.33,3.53,3.96,4.55,4.72,4.98
geoId-PTO,2.99,3.26,3.35,3.58,3.71,4.02
geoId-PYN,2.82,2.99,3.12,3.42,3.53,3.77
geoId-QBH,4.3,4.53,4.64,4.95,5.2,5.5
geoId-QNM,4.03,4.35,4.84,5.13,5.21,5.43
geoId-QNI,3.5,3.84,4.13,4.29,4.35,4.45
geoId-QNH,6.71,7.6,8.57,9.55,7.01,7.27
geoId-QTI,3.99,4.16,4.26,4.49,4.72,5.04
geoId-STG,1.75,1.92,2.01,2.24,2.33,2.42
geoId-SLA,1.35,1.4,1.44,1.56,1.62,1.64
geoId-THA,2.65,3.06,3.23,3.59,3.79,4.16
geoId-TBH,2.43,2.61,2.68,2.75,2.92,3.16
geoId-TNN,3.22,3.33,3.51,3.66,3.91,4.07
geoId-TTH,3.7,3.82,3.94,4.1,4.13,4.43
geoId-TGG,2.38,2.47,2.55,2.74,2.84,3.1
geoId-HCM,23.69,25.81,26.51,27.6,29.29,29.19
geoId-NT,2.31,2.45,2.53,2.69,2.83,3.02
geoId-TVH,1.75,1.86,2.02,2.28,2.39,2.58
geoId-TQG,1.52,1.64,1.69,1.84,1.98,2.18
geoId-TNN,3.06,3.19,3.37,3.76,3.92,4.09
geoId-TNH,3.18,3.31,3.41,3.69,3.86,4.15
geoId-VLG,2.37,2.4,2.43,2.6,2.71,2.8
geoId-VPC,5.05,5.62,6.12,6.62,6.98,7.6
geoId-YBI,1.76,1.86,1.95,2.08,2.24,2.38
geoId-DBN,1.74,1.74,1.73,1.74,1.72,1.75
geoId-DNG,16.78,18.28,19.78,20.24,20.66,20.83
geoId-ST,15.38,16.83,17.45,18.26,19.29,19.36
geoId-DLK,2.77,2.94,3.18,3.59,3.71,3.84
geoId-DNG1,3.08,3.18,3.19,3.48,3.55,3.83
geoId-MRD,2.88,3.07,3.19,3.43,3.57,3.75
geoId-RRD,9.44,9.97,10.54,11.06,11.62,12.12
geoId-DNI,6.28,6.93,7.19,7.64,7.91,7.94
geoId-DTP,1.89,2.03,2.13,2.26,2.32,2.49
