Tỉnh/thành phố,2010,2015,2016,2017,2018,2019,2020,2021
geoId-AGG,3147,3327,3272,2605,2401,2442,2445,2486
geoId-BR-VT,469,765,681,720,722,443,410,388
geoId-BDG,3806,2588,2587,2392,2188,2094,1491,1490
geoId-BPC,218,1517,1735,1295,1224,1223,680,723
geoId-BTN,3401,1404,1348,950,1015,974,896,996
geoId-BDH,4334,2889,2797,2504,2595,2402,2063,2022
geoId-BLU,5173,2721,3085,3463,3940,4637,3886,3650
geoId-BGG,2605,3764,3759,3776,3764,3496,3677,4231
geoId-BKN,414,356,329,491,605,802,922,896
geoId-BNH,7983,6084,4549,4217,3822,3419,2685,2952
geoId-SCC,55440,47928,46906,43090,42258,41720,38350,38823
geoId-BTE,1027,746,752,712,690,713,1046,1223
geoId-CBG,2472,1596,1669,1599,1589,1573,1644,1238
geoId-CMU,2262,962,1286,934,1065,1173,1124,1495
geoId-VNM,251541,212939,200925,188612,185714,179938,167033,166214
geoId-CTO,3308,2273,2259,3341,2876,1884,1156,1237
geoId-GLI,3118,873,894,1170,1302,1348,1177,1520
geoId-HGG,2897,3232,3052,3142,3061,3229,3479,3424
geoId-HNM,4614,1927,1867,1733,1731,1637,1845,1879
geoId-HNI,23304,21291,21285,19858,18510,15167,14614,12613
geoId-HTH,4196,9010,10869,10105,9966,9087,6539,6192
geoId-HBH,2631,1233,1359,1128,1265,1096,1176,1264
geoId-HYN,5664,5573,4434,4823,4413,3768,1734,1819
geoId-HDG,9718,8308,7099,7358,6857,5845,6564,6508
geoId-HPG,8501,5294,4554,4118,4389,3635,3054,2746
geoId-HGG,849,1017,1245,1558,1356,1233,1683,1775
geoId-KHA,3204,4427,2288,2161,1785,2095,1776,2664
geoId-KGG,927,1561,1846,1915,2733,2840,2939,3137
geoId-KTM,336,382,216,266,299,355,344,357
geoId-LCU,1541,1149,1434,1028,930,710,755,747
geoId-LAN,390,1110,637,440,487,852,1018,1063
geoId-LCI,1289,1507,1224,714,644,921,766,803
geoId-LDG,1222,1282,1585,1863,2260,1691,1649,1785
geoId-LSN,938,1063,1113,977,1015,999,854,1216
geoId-NDH,11392,8490,6981,6421,6033,5810,5387,5315
geoId-NAN,6811,4842,4534,4307,4440,4414,4845,5003
geoId-NBH,6226,5570,5598,6106,5826,5660,5029,4839
geoId-NTN,473,348,353,320,329,335,426,406
geoId-PTO,2733,3448,3410,3738,3392,3510,2824,3291
geoId-PYN,2977,1115,980,889,818,1004,986,930
geoId-QBH,3035,2257,2017,2098,2058,2315,2286,2158
geoId-QNM,2558,1905,1927,2069,2069,2504,2631,3113
geoId-QNI,2086,1565,1510,1352,1435,1579,1775,1557
geoId-QNH,2457,2181,2577,2750,3080,2392,1753,1756
geoId-QTI,2562,1956,1985,1851,2062,2090,1859,1876
geoId-STG,3047,885,962,965,1067,939,1510,1385
geoId-SLA,662,1049,1899,1695,2483,2825,2273,2748
geoId-THA,14154,12083,12119,10531,9797,9132,8980,8501
geoId-TBH,12231,9932,8999,8643,9035,8364,8233,8811
geoId-TNN,1932,1559,2105,2072,2214,2105,2142,2360
geoId-TTH,3936,2792,2867,2676,2624,2664,2383,2422
geoId-TGG,1834,2031,2134,2015,2300,3020,1911,2107
geoId-HCM,30256,24239,17371,13917,13231,14935,14923,11579
geoId-NT,25527,24673,25413,24290,24762,25399,24624,26863
geoId-TVH,1690,857,885,765,765,1065,774,988
geoId-TQG,2448,1807,1531,1408,1379,1631,1571,1785
geoId-TNN,9712,6441,7090,6760,7037,6689,5474,5710
geoId-TNH,786,1016,946,816,911,894,908,977
geoId-VLG,1222,1724,1516,1320,1580,1464,1254,1127
geoId-VPC,3197,3644,3792,3082,3029,2982,2720,2551
geoId-YBI,2168,2067,1728,1839,1750,1788,1744,2030
geoId-DBN,797,843,801,683,671,714,797,830
geoId-DNG,1713,1335,1312,1277,1265,1125,905,983
geoId-ST,38824,34473,28063,23498,22160,23432,22321,19483
geoId-DLK,4432,3426,3899,3067,2735,2983,1901,1628
geoId-DNG1,604,478,496,394,441,312,403,420
geoId-MRD,26751,21130,21718,21865,22772,24019,22646,23546
geoId-RRD,95287,78294,71735,69109,66725,58679,53618,51789
geoId-DNI,3289,4348,4743,4358,3884,3843,3909,4326
geoId-DTP,1875,1916,1839,1832,1512,1757,1900,1873
