Tỉnh/thành phố,Tổng số,Dưới 5 người,5-9 người,10-49 người,50-199 người,200-299 người,300-499 người,500-999 người,1000-4999 người,5000 người trở lên
geoId-AGG,4282,2628,985,560,62,12,12,12,9,2
geoId-BR-VT,10412,6708,1700,1477,354,69,39,45,18,2
geoId-BDG,31086,19871,4295,4143,1785,326,273,218,159,16
geoId-BPC,5134,2953,1065,835,211,25,20,8,14,3
geoId-BTN,4584,2934,856,622,120,17,18,9,8,0
geoId-BDH,6302,3157,1259,1378,403,36,29,25,15,0
geoId-BLU,2026,856,625,463,62,8,6,4,2,0
geoId-BGG,6376,3163,1256,1382,386,47,56,42,33,11
geoId-BKN,547,289,117,118,18,2,3,0,0,0
geoId-BNH,10983,5433,2130,2411,716,90,79,63,56,5
geoId-SCC,97452,56533,19693,16763,3400,350,324,218,144,27
geoId-BTE,3327,1936,588,631,123,17,9,9,12,2
geoId-CBG,977,461,205,245,58,5,2,1,0,0
geoId-CMU,3459,2034,797,505,98,11,4,6,3,1
geoId-VNM,718697,443845,130620,110706,24027,3048,2678,2027,1510,236
geoId-CTO,9356,5081,3029,1005,179,13,22,15,11,1
geoId-GLI,3977,2433,673,700,142,10,10,5,4,0
geoId-HGG,1003,389,208,285,102,12,4,3,0,0
geoId-HNM,4039,1828,749,1027,294,38,45,39,18,1
geoId-HNI,147454,83466,33225,25221,4278,434,366,265,173,26
geoId-HTH,4328,2181,937,960,206,13,20,8,2,1
geoId-HBH,2080,970,411,527,126,16,7,15,8,0
geoId-HYN,7054,3662,1283,1439,465,63,70,38,32,2
geoId-HDG,8522,4076,1711,1949,502,92,74,62,48,8
geoId-HPG,17499,9106,3869,3488,680,119,86,84,60,7
geoId-HGG,2054,1202,540,246,41,7,9,3,4,2
geoId-KHA,8881,5183,1820,1468,317,35,27,20,10,1
,137,2,1,4,25,12,18,21,30,24
geoId-KGG,7252,4238,1743,1073,153,14,18,6,6,1
geoId-KTM,1573,909,330,246,70,3,8,3,4,0
geoId-LCU,854,505,175,147,22,1,2,1,1,0
geoId-LAN,9067,5007,1346,1808,641,87,77,58,39,4
geoId-LCI,2523,1370,506,490,130,11,10,3,3,0
geoId-LDG,6107,4382,831,701,151,21,12,6,3,0
geoId-LSN,1827,1001,370,383,65,3,4,1,0,0
geoId-NDH,6393,3327,1359,1315,252,45,40,27,22,6
geoId-NAN,11182,5655,2650,2305,443,46,34,25,23,1
geoId-NBH,3970,1915,801,905,238,32,34,26,14,5
geoId-NTN,2504,1585,505,337,55,10,6,2,4,0
geoId-PTO,5110,2301,1096,1266,309,37,50,20,31,0
geoId-PYN,2606,1547,530,399,96,17,12,1,4,0
geoId-QBH,4079,2359,871,709,112,11,13,3,1,0
geoId-QNM,7416,4487,1297,1242,264,31,44,30,18,3
geoId-QNI,4767,2909,902,764,143,16,12,9,8,4
geoId-QNH,8201,4059,1959,1715,324,45,38,26,32,3
geoId-QTI,2676,1565,583,435,76,6,6,4,1,0
geoId-STG,2491,1302,666,433,64,8,5,6,7,0
geoId-SLA,1822,1029,440,296,46,5,2,3,1,0
geoId-THA,13352,7301,2965,2467,458,45,42,40,21,13
geoId-TBH,5108,2322,983,1272,348,58,51,45,28,1
geoId-TNN,4343,1841,1101,1084,222,28,25,19,18,5
geoId-TTH,4382,2265,1046,843,171,13,19,13,10,2
geoId-TGG,4659,2797,769,803,195,21,22,24,23,5
geoId-HCM,213721,159108,25735,22746,4543,538,444,344,222,41
geoId-NT,31318,14980,6712,7221,1774,198,191,122,104,16
geoId-TVH,2104,1309,469,247,56,3,6,6,7,1
geoId-TQG,1362,591,320,343,88,6,4,5,5,0
geoId-TNN,19832,13234,3226,2693,544,53,46,21,15,0
geoId-TNH,4109,2493,684,606,204,27,36,27,26,6
geoId-VLG,2397,1334,512,435,71,16,12,9,6,2
geoId-VPC,7409,4070,1627,1238,311,43,44,32,41,3
geoId-YBI,1531,619,326,424,122,19,15,5,1,0
geoId-DBN,963,451,181,231,80,6,7,4,3,0
geoId-DNG,20393,13405,3472,2834,536,54,42,29,19,2
geoId-ST,287407,204113,38475,33291,8032,1143,959,763,550,81
geoId-DLK,6282,4194,1065,836,151,13,14,7,2,0
geoId-DNG1,1893,1316,327,210,30,6,2,0,2,0
geoId-MRD,55919,31719,12817,8754,1844,233,213,175,143,21
geoId-RRD,226632,123264,49696,41980,8408,1059,927,707,524,67
geoId-DNI,22945,12980,4996,3484,935,158,147,121,111,13
geoId-DTP,3445,1995,748,545,99,16,11,17,14,0
