dia phuong,Năm,Tổng số,Tiểu học,Trung học cơ sở,Trung học phổ thông
geoId-VNM,2004,46430.0,19427.0,20917.0,6086.0
geoId-VNM,2005,41859.0,17274.0,18373.0,6212.0
geoId-VNM,2006,38628.0,16040.0,16582.0,6006.0
geoId-VNM,2007,36832.0,15953.0,15743.0,5136.0
geoId-VNM,2008,35244.0,15880.0,14168.0,5196.0
geoId-VNM,2009,35391.0,16302.0,13498.0,5591.0
geoId-VNM,2010,35499.0,17285.0,12321.0,5893.0
geoId-VNM,2011,35995.0,17959.0,12211.0,5825.0
geoId-VNM,2012,36134.0,18307.0,12348.0,5479.0
geoId-VNM,2013,38164.0,19758.0,12661.0,5745.0
geoId-VNM,2014,38896.0,20706.0,13227.0,4963.0
geoId-VNM,2015,40870.0,22041.0,13966.0,4863.0
geoId-VNM,2016,43428.0,23718.0,14452.0,5258.0
geoId-VNM,2017,45765.0,25368.0,14831.0,5566.0
geoId-VNM,2018,49615.0,28058.0,15906.0,5651.0
geoId-VNM,2019,64029.0,29368.0,16599.0,18062.0
geoId-VNM,2020,54649.0,30667.0,17741.0,6241.0
geoId-VNM,2021,57149.0,31303.0,19521.0,6325.0
