Địa phương,Năm,Tổng số,Tiểu học,Trung học cơ sở,Trung học phổ thông
geoId-AGG,2002,385298.0,217411.0,124148.0,43739.0
geoId-AGG,2003,386066.0,211355.0,127716.0,46995.0
geoId-AGG,2004,374617.0,198452.0,128010.0,48155.0
geoId-AGG,2005,358552.0,186459.0,123396.0,48697.0
geoId-AGG,2006,345258.0,181411.0,117918.0,45929.0
geoId-AGG,2007,331409.0,176887.0,110991.0,43531.0
geoId-AGG,2008,324895.0,173058.0,109428.0,42409.0
geoId-AGG,2009,324202.0,177594.0,104860.0,41748.0
geoId-AGG,2010,327591.0,182857.0,102852.0,41882.0
geoId-AGG,2011,334438.0,186167.0,104691.0,43580.0
geoId-AGG,2012,341073.0,188425.0,106962.0,45686.0
geoId-AGG,2013,348289.0,193255.0,111028.0,44006.0
geoId-AGG,2014,353415.0,196431.0,113789.0,43195.0
geoId-AGG,2015,357020.0,199045.0,114935.0,43040.0
geoId-AGG,2016,356255.0,192524.0,118338.0,45393.0
geoId-AGG,2017,357895.0,189176.0,122497.0,46222.0
geoId-AGG,2018,296899.0,163904.0,96304.0,36691.0
geoId-AGG,2019,366324.0,188619.0,128147.0,49558.0
geoId-AGG,2020,364527.0,180505.0,130961.0,53061.0
geoId-AGG,2021,358209.0,176816.0,125895.0,55498.0
geoId-BR-VT,2002,197200.0,100517.0,68827.0,27856.0
geoId-BR-VT,2003,195303.0,96285.0,68622.0,30396.0
geoId-BR-VT,2004,197248.0,91690.0,72113.0,33445.0
geoId-BR-VT,2005,195905.0,87509.0,72031.0,36365.0
geoId-BR-VT,2006,196066.0,85747.0,72598.0,37721.0
geoId-BR-VT,2007,193370.0,84427.0,71375.0,37568.0
geoId-BR-VT,2008,188713.0,84285.0,67850.0,36578.0
geoId-BR-VT,2009,186426.0,88051.0,63697.0,34678.0
geoId-BR-VT,2010,186813.0,90716.0,61076.0,35021.0
geoId-BR-VT,2011,187268.0,91387.0,61827.0,34054.0
geoId-BR-VT,2012,189906.0,92882.0,61827.0,35197.0
geoId-BR-VT,2013,191259.0,95720.0,63634.0,31905.0
geoId-BR-VT,2014,195880.0,98336.0,66679.0,30865.0
geoId-BR-VT,2015,198084.0,100255.0,66989.0,30840.0
geoId-BR-VT,2016,198072.0,98290.0,68220.0,31562.0
geoId-BR-VT,2017,204342.0,102399.0,69807.0,32136.0
