Địa phương,Năm,Tổng số,Tiểu học,Trung học cơ sở,Trung học phổ thông
geoId-AGG,2004,179307.0,95622.0,60702.0,22983.0
geoId-AGG,2005,172792.0,90124.0,59249.0,23419.0
geoId-AGG,2006,160518.0,85727.0,52897.0,21894.0
geoId-AGG,2007,164507.0,82864.0,59076.0,22567.0
geoId-AGG,2008,160974.0,83900.0,54620.0,22454.0
geoId-AGG,2009,158293.0,85418.0,50689.0,22186.0
geoId-AGG,2010,162795.0,88471.0,51426.0,22898.0
geoId-AGG,2011,165762.0,89747.0,52271.0,23744.0
geoId-AGG,2012,169336.0,91404.0,53279.0,24653.0
geoId-AGG,2013,172038.0,93762.0,54955.0,23321.0
geoId-AGG,2014,174096.0,94924.0,56320.0,22852.0
geoId-AGG,2015,176391.0,96221.0,56933.0,23237.0
geoId-AGG,2016,176506.0,92888.0,58890.0,24728.0
geoId-AGG,2017,177047.0,91344.0,60691.0,25012.0
geoId-AGG,2018,179013.0,92512.0,61528.0,24973.0
geoId-AGG,2019,180817.0,91092.0,63156.0,26569.0
geoId-AGG,2020,180627.0,87125.0,64454.0,29048.0
geoId-AGG,2021,177639.0,85694.0,61675.0,30270.0
geoId-BR-VT,2004,96496.0,43974.0,35325.0,17197.0
geoId-BR-VT,2005,96235.0,41932.0,35571.0,18732.0
geoId-BR-VT,2006,96344.0,41848.0,35882.0,18614.0
geoId-BR-VT,2007,95313.0,40554.0,34806.0,19953.0
geoId-BR-VT,2008,94621.0,40959.0,33356.0,20306.0
geoId-BR-VT,2009,93420.0,42497.0,31348.0,19575.0
geoId-BR-VT,2010,93581.0,43715.0,29953.0,19913.0
geoId-BR-VT,2011,93441.0,43899.0,30337.0,19205.0
geoId-BR-VT,2012,93779.0,44432.0,30047.0,19300.0
geoId-BR-VT,2013,94087.0,45851.0,30907.0,17329.0
geoId-BR-VT,2014,96596.0,46732.0,32757.0,17107.0
geoId-BR-VT,2015,98143.0,48048.0,32856.0,17239.0
geoId-BR-VT,2016,98041.0,46862.0,33553.0,17626.0
geoId-BR-VT,2017,101071.0,49077.0,34088.0,17906.0
geoId-BR-VT,2018,105217.0,52185.0,33956.0,19076.0
geoId-BR-VT,2019,107879.0,53684.0,35303.0,18892.0
geoId-BR-VT,2020,110883.0,54315.0,37006.0,19562.0
geoId-BR-VT,2021,113455.0,57243.0,36793.0,19419.0
geoId-BDG,2004,73681.0,32398.0,26848.0,14435.0
geoId-BDG,2005,75437.0,32902.0,27063.0,15472.0
geoId-BDG,2006,75196.0,33942.0,27451.0,13803.0
geoId-BDG,2007,76248.0,35023.0,26797.0,14428.0
geoId-BDG,2008,76391.0,37256.0,25927.0,13208.0
