dia phuong,Năm,Trường học (Trường),Lớp học (Lớp),Giáo viên (Người),Học sinh (Nghìn học sinh)
geoId-VNM,2002,,1075.0,1011.0,20.939
geoId-VNM,2003,,1237.0,1420.0,23.658
geoId-VNM,2004,90.0,1145.0,1357.0,21.768
geoId-VNM,2005,136.0,1259.0,1466.0,24.442
geoId-VNM,2006,147.0,1338.0,1550.0,25.9
geoId-VNM,2007,161.0,1240.0,1885.0,23.9
geoId-VNM,2008,177.0,1335.0,1834.0,25.9
geoId-VNM,2009,184.0,1562.0,2115.0,31.3
geoId-VNM,2010,189.0,1792.0,2746.0,33.5
geoId-VNM,2011,192.0,1692.0,2631.0,35.246
geoId-VNM,2012,197.0,1763.0,3143.0,38.761
geoId-VNM,2013,204.0,1857.0,3112.0,41.132
geoId-VNM,2014,208.0,1872.0,3343.0,42.971
geoId-VNM,2015,201.0,1918.0,3526.0,45.316
geoId-VNM,2016,200.0,1967.0,3424.0,47.473
geoId-VNM,2017,200.0,1996.0,3638.0,49.19
geoId-VNM,2018,195.0,1983.0,3510.0,50.586
geoId-VNM,2020,194.0,1887.0,3623.0,49.28
geoId-VNM,2021,197.0,1967.0,3661.0,47.984
