dia phuong,Năm,Tổng số,Tiểu học,Trung học cơ sở,Trung học phổ thông,Phổ thông cơ sở,Trung học
geoId-VNM,2002,557.0,315.0,203.0,35.0,,4.0
geoId-VNM,2003,553.0,315.0,198.0,38.0,,2.0
geoId-VNM,2004,551.0,313.0,195.0,41.0,1.0,1.0
geoId-VNM,2005,549.0,310.0,192.0,42.0,4.0,1.0
geoId-VNM,2006,549.0,309.0,197.0,43.0,,
geoId-VNM,2007,548.0,309.0,195.0,44.0,,
geoId-VNM,2008,548.0,309.0,194.0,45.0,,
geoId-VNM,2009,545.0,307.0,193.0,45.0,,
geoId-VNM,2010,540.0,306.0,188.0,46.0,,
geoId-VNM,2011,535.0,304.0,186.0,45.0,,
geoId-VNM,2012,499.0,280.0,174.0,45.0,,
geoId-VNM,2013,463.0,261.0,155.0,44.0,3.0,
geoId-VNM,2014,454.0,261.0,144.0,43.0,6.0,
geoId-VNM,2015,454.0,260.0,143.0,43.0,7.0,1.0
geoId-VNM,2016,454.0,259.0,143.0,42.0,8.0,2.0
geoId-VNM,2017,455.0,259.0,143.0,42.0,8.0,3.0
geoId-VNM,2019,437.0,241.0,135.0,42.0,15.0,4.0
geoId-VNM,2020,413.0,221.0,130.0,41.0,17.0,4.0
geoId-VNM,2021,413.0,221.0,130.0,41.0,17.0,4.0
