"Tỉnh, thành phố",2015,2016,2017,2018,2019,2020,2021
geoId-AGG,7.06,7.39,7.99,8.69,10.11,9.85,10.89
geoId-BR-VT,27.19,27.46,29.06,31.03,31.27,32.82,30.76
geoId-BDG,59.26,59.47,61.02,61.79,62.21,61.83,54.95
geoId-BPC,16.32,17.13,17.55,19.53,20.27,20.8,20.33
geoId-BTN,10.35,10.76,11.04,11.37,12.05,11.69,11.5
geoId-BDH,9.22,9.54,9.79,10.56,11.25,11.97,13.2
geoId-BLU,5.23,5.64,5.75,6.06,6.34,6.46,6.7
geoId-BGG,15.19,18.17,18.88,20.65,23.73,27.5,33.76
geoId-BKN,7.35,7.51,7.65,7.66,7.94,8.11,11.61
geoId-BNH,34.74,39.56,46.35,48.43,50.49,55.28,54.55
geoId-SCC,11.86,12.56,13.02,14.05,14.69,14.63,17.13
geoId-BTE,8.68,9.72,9.95,10.76,10.89,10.65,11.19
geoId-CBG,7.52,7.52,7.52,7.79,7.81,7.69,16.49
geoId-CMU,7.45,7.54,7.64,7.91,7.65,7.8,8.47
geoId-CTO,13.09,13.94,14.09,15.73,16.91,16.95,19.88
geoId-GLI,7.96,7.76,7.48,7.51,7.41,7.3,7.14
geoId-HBH,10.2,10.69,10.98,11.41,11.72,12.04,14.51
geoId-HGG,6.98,6.84,6.73,6.63,6.62,6.6,9.67
geoId-HNM,16.22,19.1,21.33,24.44,26.2,28.57,33.65
geoId-HNI,31.27,33.68,35.13,39.02,41.18,41.98,45.61
geoId-HTH,9.14,9.63,9.95,10.32,10.06,10.91,15.43
geoId-HYN,20.01,22.01,23.24,26.55,27.74,28.8,33.55
geoId-HDG,22.84,25.06,26.61,29.94,32.31,34.01,38.73
geoId-HPG,24.24,27.1,28.72,31.72,36.28,37.56,42.4
geoId-HGG,9.26,10.04,11.04,11.66,12.63,13.34,12.7
geoId-KHA,17.01,18.31,18.79,20.13,21.21,18.27,18.52
geoId-KGG,6.47,7.03,7.57,8.63,9.38,9.1,9.03
geoId-KTM,10.48,10.52,10.2,10.27,10.26,10.52,10.67
geoId-LCU,10.05,9.02,8.92,8.82,8.31,8.11,13.87
geoId-LAN,23.13,25.93,27.67,30.25,31.05,31.41,30.78
geoId-LCI,11.42,11.58,11.38,11.78,11.86,11.51,13.13
geoId-LDG,9.48,9.75,9.57,10.09,10.24,9.91,9.62
geoId-LSN,7.6,7.84,7.95,8.46,8.58,8.86,13.51
geoId-NDH,11.32,12.56,13.7,16.05,17.16,17.58,21.27
geoId-NAN,9.15,9.42,9.55,10.25,10.67,11.14,14.42
geoId-NBH,12.96,13.92,15.79,18.59,21.24,21.62,27.04
geoId-NTN,8.43,8.75,8.69,9.13,9.39,9.68,10.21
geoId-PTO,13.71,14.41,15.57,16.9,18.09,18.64,24.95
geoId-PYN,8.08,8.5,8.81,9.33,9.42,9.53,10.66
geoId-QBH,10.04,10.61,10.56,11.17,11.44,11.69,14.4
geoId-QNM,14.28,15.85,16.68,18.5,18.93,17.76,20.8
geoId-QNI,9.06,9.57,10.05,11.36,12.59,13.57,16.65
geoId-QNH,29.13,29.85,28.86,29.95,31.26,32.62,34.95
geoId-QTI,10.45,10.8,11.04,12.08,12.61,12.61,13.88
geoId-STG,6.55,6.75,7.06,7.59,8.51,8.98,9.49
geoId-SLA,6.72,6.69,6.71,6.77,6.54,6.47,8.89
geoId-THA,10.42,11.15,11.68,13.16,14.16,14.79,18.8
geoId-TBH,11.71,12.34,13.11,15.07,16.33,16.83,21.71
geoId-TNN,23.35,24.81,26.93,28.62,28.2,27.07,34.28
geoId-TTH,15.08,15.86,16.88,17.77,18.23,18.78,20.03
geoId-TGG,13.89,14.74,15.44,16.42,16.97,16.13,15.86
geoId-HCM,43.54,45.49,46.19,48.93,50.25,48.94,48.53
geoId-NT,11.43,12.1,12.54,13.22,13.75,14.29,19.4
geoId-TVH,11.65,11.44,11.08,11.87,11.52,8.91,10.8
geoId-TQG,8.44,8.58,8.43,8.58,8.81,9.23,13.39
geoId-TNN,8.33,8.41,8.27,8.51,8.44,8.43,8.27
geoId-TNH,25.3,25.26,25.31,27.47,28.52,29.36,29.19
geoId-VLG,10.47,11.44,11.61,12.73,14.07,14.69,15.07
geoId-VPC,20.41,23.6,26.9,29.8,29.59,32.7,37.85
geoId-YBI,7.57,7.92,7.89,8.33,8.21,8.28,11.99
geoId-DBN,8.81,8.82,8.63,8.69,8.31,8.44,9.84
geoId-DNG,34.26,36.19,37.15,38.81,39.81,36.43,36.92
geoId-ST,41.06,42.4,43.38,45.76,47.0,46.43,44.63
geoId-DLK,7.87,8.03,8.01,8.18,8.01,8.15,8.06
geoId-DNG1,6.52,6.72,6.72,7.22,7.0,7.16,6.93
geoId-MRD,10.31,11.08,11.58,12.5,13.43,13.3,13.69
geoId-RRD,23.75,25.95,27.68,30.74,32.78,34.22,38.36
geoId-DNI,38.94,40.78,41.88,44.01,46.02,45.31,43.62
geoId-DTP,7.13,7.56,7.72,7.68,9.31,9.62,9.49
