"Tỉnh, thành phố",2015,2016,2017,2018,2019,2020,2021
geoId-AGG,8.7,8.55,9.83,10.37,12.44,13.33,14.33
geoId-BR-VT,29.21,28.88,31.14,32.77,33.76,35.67,33.23
geoId-BDG,60.01,60.12,62.04,62.9,63.81,63.71,56.73
geoId-BPC,17.76,18.68,20.0,21.29,22.47,23.87,23.67
geoId-BTN,11.61,12.13,12.55,13.22,13.98,14.65,14.93
geoId-BDH,10.71,10.79,11.26,12.06,13.36,15.17,17.01
geoId-BLU,6.4,6.8,7.14,7.6,8.12,9.47,10.81
geoId-BGG,16.79,19.39,20.67,22.28,25.7,30.53,38.31
geoId-BKN,10.64,10.88,11.64,11.75,12.39,14.52,23.12
geoId-BNH,36.09,40.61,47.78,50.06,52.76,57.93,57.69
geoId-SCC,13.66,14.1,15.27,16.35,17.58,18.8,22.75
geoId-BTE,10.09,11.1,11.47,12.25,12.61,12.9,13.61
geoId-CBG,10.57,10.13,11.34,11.65,12.87,13.99,32.58
geoId-CMU,8.74,8.89,9.33,9.56,10.18,12.15,14.25
geoId-CTO,14.27,15.14,15.65,17.16,19.0,20.37,24.89
geoId-GLI,9.46,9.32,9.4,9.24,9.43,10.12,10.15
geoId-HBH,12.22,12.44,13.4,13.89,14.64,16.07,19.37
geoId-HGG,9.14,9.0,9.2,8.9,9.09,10.01,16.0
geoId-HNM,17.92,20.39,23.31,26.07,28.6,31.91,38.33
geoId-HNI,33.3,35.26,37.68,41.18,43.62,44.72,48.86
geoId-HTH,11.22,11.35,13.11,13.12,13.94,16.79,25.54
geoId-HYN,21.43,23.28,25.79,28.08,30.21,31.41,36.95
geoId-HDG,24.52,26.22,28.63,32.25,35.38,38.48,44.71
geoId-HPG,26.04,28.28,31.75,33.88,39.15,41.11,46.4
geoId-HGG,10.67,11.52,12.86,13.37,14.86,17.17,18.86
geoId-KHA,18.47,19.67,20.33,22.24,24.07,21.8,22.59
geoId-KGG,8.26,8.41,9.32,10.55,11.53,12.85,12.88
geoId-KTM,12.79,12.91,12.82,13.02,13.21,14.75,16.74
geoId-LCU,12.64,11.48,11.62,11.57,11.36,12.33,23.54
geoId-LAN,24.7,27.36,29.56,32.02,32.91,34.05,33.51
geoId-LCI,13.75,13.79,13.94,14.33,14.93,14.95,17.62
geoId-LDG,10.85,11.15,11.42,11.65,12.33,12.81,12.85
geoId-LSN,10.08,10.34,10.95,11.61,12.51,13.54,21.18
geoId-NDH,12.78,13.58,15.71,17.66,19.22,20.38,24.81
geoId-NAN,11.32,10.75,12.33,13.24,14.37,16.26,22.12
geoId-NBH,14.64,15.43,18.98,20.79,24.17,25.47,32.38
geoId-NTN,10.19,10.55,10.54,11.11,11.49,13.4,14.87
geoId-PTO,15.91,15.86,18.14,19.4,21.24,23.29,33.06
geoId-PYN,9.88,10.13,11.05,11.55,12.21,13.85,16.16
geoId-QBH,12.14,12.46,13.57,14.37,15.78,18.08,24.04
geoId-QNM,16.41,17.69,19.45,20.47,21.34,21.28,25.31
geoId-QNI,10.99,11.29,12.01,13.32,15.1,16.84,20.72
geoId-QNH,31.55,31.57,31.68,32.19,34.27,36.78,39.93
geoId-QTI,12.99,13.38,14.17,15.28,16.53,18.87,21.58
geoId-STG,7.81,8.14,8.65,9.23,10.37,12.43,13.18
geoId-SLA,8.45,8.42,8.81,8.99,9.75,11.15,17.15
geoId-THA,11.97,12.56,13.85,15.35,16.78,18.66,24.07
geoId-TBH,13.32,13.35,14.8,16.7,18.49,20.16,27.03
geoId-TNN,24.89,26.13,28.74,30.45,30.59,30.72,40.46
geoId-TTH,16.82,17.58,18.87,19.99,21.0,23.04,25.35
geoId-TGG,15.33,15.87,17.28,17.87,18.7,18.84,19.42
geoId-HCM,44.42,46.36,48.45,50.2,51.78,51.19,50.66
geoId-NT,13.53,13.98,15.03,15.69,16.83,18.57,26.38
geoId-TVH,13.01,12.8,12.87,13.59,13.84,12.79,15.75
geoId-TQG,10.26,10.3,10.93,10.96,11.73,13.81,20.0
geoId-TNN,9.8,9.94,10.15,10.28,10.55,11.38,11.77
geoId-TNH,27.05,26.67,27.97,29.89,30.78,32.36,32.02
geoId-VLG,11.78,12.8,13.55,14.43,16.16,18.21,19.93
geoId-VPC,22.25,24.85,28.87,31.41,32.9,35.89,42.86
geoId-YBI,9.86,10.02,10.75,11.02,11.71,13.15,20.69
geoId-DBN,11.46,11.72,11.85,12.12,12.61,13.96,17.54
geoId-DNG,35.7,37.46,38.63,40.63,42.18,39.31,40.98
geoId-ST,42.11,43.35,45.49,47.15,48.7,48.73,46.76
geoId-DLK,9.05,9.29,9.61,9.71,9.76,10.44,10.71
geoId-DNG1,8.31,8.5,8.83,9.47,9.68,11.42,12.49
geoId-MRD,11.75,12.37,13.29,14.11,15.46,16.54,17.61
geoId-RRD,25.54,36.29,38.99,32.7,35.34,37.4,42.43
geoId-DNI,39.92,41.65,44.16,45.32,47.6,47.43,45.31
geoId-DTP,8.52,8.74,9.17,9.05,11.25,12.48,12.83
