dia phuong,Năm,Tổng số,Cây hàng năm,Cây hàng năm: Cây lương thực có hạt,Cây hàng năm: Cây CN hàng năm,Cây lâu năm,Cây lâu năm: Cây CN lâu năm,Cây lâu năm: Cây ăn quả
geoId-VNM,1990,100.7,100.4,100.8,99.7,103.5,105.2,99.8
geoId-VNM,1991,104.1,104.6,104.3,106.8,99.6,100.8,96.7
geoId-VNM,1992,103.6,103.3,103.0,101.0,106.8,105.3,96.0
geoId-VNM,1993,102.8,101.6,101.5,102.5,113.7,108.7,113.5
geoId-VNM,1994,103.5,101.2,101.1,109.5,121.6,106.8,108.1
geoId-VNM,1995,101.1,102.5,102.6,109.3,92.2,111.4,108.2
geoId-VNM,1996,104.1,102.8,104.0,96.9,113.4,112.5,108.4
geoId-VNM,1997,103.5,102.1,101.9,104.9,113.4,113.6,113.5
geoId-VNM,1998,103.7,103.4,103.2,111.0,105.7,104.3,104.9
geoId-VNM,1999,104.9,104.6,104.1,110.0,107.1,104.6,114.7
geoId-VNM,2000,102.6,100.7,100.6,87.5,113.6,115.4,110.2
geoId-VNM,2001,98.9,98.2,97.9,101.0,102.4,101.7,107.9
geoId-VNM,2002,102.6,102.4,101.2,107.6,103.7,101.1,111.1
geoId-VNM,2003,101.2,100.8,100.5,98.7,103.0,101.3,106.9
geoId-VNM,2004,101.5,101.3,100.8,102.6,102.8,102.9,103.1
geoId-VNM,2005,100.8,100.0,99.4,100.5,104.3,105.1,102.8
geoId-VNM,2006,100.9,100.5,99.7,97.7,103.0,104.6,100.5
geoId-VNM,2007,101.1,100.2,99.3,100.5,104.7,106.6,100.9
geoId-VNM,2008,102.3,102.4,102.9,95.3,102.1,103.5,99.6
geoId-VNM,2009,99.5,99.0,99.8,93.5,101.6,102.7,99.8
geoId-VNM,2010,101.8,101.5,101.0,105.8,103.1,103.8,100.7
geoId-VNM,2011,102.2,101.8,101.9,98.8,103.4,103.4,99.1
geoId-VNM,2012,101.9,101.0,101.6,92.6,105.3,106.9,99.1
geoId-VNM,2013,101.1,101.5,101.7,100.1,99.4,95.0,92.3
geoId-VNM,2014,100.1,99.6,99.1,97.1,102.1,101.1,113.0
geoId-VNM,2015,100.9,100.3,100.1,95.3,103.2,101.0,103.2
geoId-VNM,2016,101.1,100.8,98.7,93.6,102.1,108.9,105.4
geoId-VNM,2017,98.6,97.5,99.1,96.6,102.7,94.6,106.8
geoId-VNM,2018,99.1,98.0,97.7,92.4,102.7,99.7,107.0
geoId-VNM,2019,99.6,99.0,98.3,92.0,101.4,98.9,107.4
geoId-VNM,2020,98.5,97.4,97.2,87.9,102.0,99.9,106.4
geoId-VNM,2021,99.6,98.9,99.0,93.0,101.7,100.7,103.2
geoId-VNM,Sơ bộ 2022,99.7,99.0,98.2,98.7,101.6,99.7,104.3
