"Tỉnh, thành phố",1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,Sơ bộ 2022
geoId-AGG,178.0,188.2,209.8,212.5,216.6,220.4,221.7,218.8,220.5,220.3,223.3,231.1,230.6,231.7,234.1,234.2,235.5,235.9,238.1,237.5,238.6,239.3,236.2,235.0,233.7,229.4,230.4,229.8
geoId-BR-VT,3.7,4.0,3.7,4.4,4.5,4.8,4.7,4.7,3.3,4.5,2.4,4.5,4.6,5.0,5.2,5.4,5.4,5.4,5.4,5.4,6.1,6.5,6.7,7.0,7.1,7.1,6.9,7.2
geoId-BDG,5.6,6.3,5.8,5.8,6.3,6.1,6.2,6.2,6.1,5.7,5.1,4.2,3.4,3.0,2.6,2.7,3.0,2.9,2.8,2.6,2.4,2.2,2.3,2.2,2.1,2.1,2.0,1.9
geoId-BPC,1.3,1.4,1.3,1.8,1.6,2.0,2.7,2.7,3.1,3.3,2.9,2.9,2.9,2.9,3.1,2.9,2.7,3.6,3.3,3.3,3.2,3.1,3.3,3.5,3.3,3.0,2.8,2.8
geoId-BTN,5.3,7.7,8.9,10.9,16.4,19.4,18.6,15.9,16.0,17.3,10.6,21.1,20.5,27.1,23.8,29.9,31.2,32.6,33.6,35.9,34.4,22.4,35.0,37.6,37.0,22.2,36.5,39.5
geoId-BDH,45.0,45.9,45.8,45.8,46.1,46.5,47.3,47.3,47.2,47.0,46.8,47.2,46.9,47.3,47.5,47.7,47.8,47.7,45.7,47.8,48.1,48.5,47.3,48.2,48.2,48.2,47.8,47.6
geoId-BLU,,1.1,7.1,20.6,28.7,34.4,25.7,19.0,19.2,11.3,18.6,28.0,33.9,40.0,42.2,44.6,45.8,54.6,49.3,46.2,46.6,45.6,46.3,48.4,48.3,47.5,48.8,48.2
geoId-BGG,49.4,49.2,50.7,50.8,49.4,50.7,52.1,52.6,52.7,52.3,52.0,52.8,51.7,50.1,52.2,52.9,53.2,53.2,53.2,53.8,53.6,53.2,51.8,50.5,49.9,49.1,48.5,47.7
geoId-BKN,3.6,3.5,4.0,4.3,4.8,5.3,5.9,6.4,6.5,6.7,7.0,7.0,7.1,7.1,7.5,7.4,7.6,7.7,7.9,8.7,9.1,9.3,9.0,8.9,8.8,8.7,8.6,8.6
geoId-BNH,39.5,39.3,40.5,40.8,41.0,41.5,41.8,41.6,41.2,40.4,39.8,39.5,39.2,38.0,37.3,37.1,36.8,36.5,36.4,36.3,36.0,35.6,34.9,33.7,33.1,31.9,31.1,30.4
geoId-SCC,498.5,501.5,512.0,513.8,512.0,529.5,537.7,536.5,538.2,535.1,515.8,539.1,534.7,544.2,551.1,561.6,567.4,572.0,575.1,586.2,585.7,573.9,587.7,589.1,586.6,563.1,580.7,583.4
geoId-BTE,22.1,21.8,23.6,23.6,23.7,23.2,23.8,24.9,23.6,22.5,21.8,20.7,20.7,20.6,21.1,21.1,20.2,20.0,19.0,18.1,17.2,15.1,15.7,13.8,12.8,5.3,11.0,0.8
geoId-CBG,3.3,2.6,2.8,2.8,3.2,3.4,3.4,3.1,3.4,3.5,3.6,3.5,3.7,3.7,3.8,3.0,3.3,3.2,3.4,3.3,3.3,3.6,3.6,3.6,3.6,3.6,3.6,3.7
