"Tỉnh, thành phố",1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,Sơ bộ 2022
geoId-AGG,8.8,8.6,4.7,4.3,5.1,5.1,7.2,7.7,9.1,9.6,9.8,10.0,10.5,11.5,9.2,9.8,10.4,10.7,11.3,9.6,8.6,8.1,8.3,7.5,6.0,5.7,5.2,6.2
geoId-BR-VT,14.3,15.7,16.1,16.5,17.2,19.3,19.0,18.4,18.4,18.5,18.4,19.0,19.3,18.9,18.9,18.1,17.2,16.2,15.9,15.9,15.4,14.4,13.7,13.5,13.6,13.2,10.0,7.4
geoId-BDG,0.6,1.9,1.1,1.2,1.3,1.3,1.3,1.3,1.2,1.1,1.0,0.8,0.6,0.6,0.5,0.5,0.5,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4
geoId-BPC,3.1,3.9,6.1,5.7,5.8,5.9,6.6,6.8,7.7,7.1,7.6,7.0,6.3,5.6,7.4,6.7,5.3,5.5,5.3,4.9,4.9,4.5,4.5,4.2,3.9,3.2,3.0,2.7
geoId-BTN,6.9,8.2,8.7,9.3,10.3,12.0,13.4,15.6,17.7,19.1,22.6,19.8,19.8,18.4,19.2,18.7,17.5,19.7,19.8,19.9,19.6,20.0,18.4,16.0,16.1,15.2,15.3,14.7
geoId-BDH,1.0,1.3,1.7,1.3,1.9,2.8,3.7,5.9,6.8,7.2,7.6,7.8,7.8,8.2,7.9,7.8,8.0,8.3,8.4,8.3,8.7,8.4,8.2,8.0,7.5,7.7,7.4,8.1
geoId-BLU,0.2,0.1,0.2,0.2,0.3,0.3,0.2,0.2,0.3,0.4,0.5,0.5,0.2,0.2,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
geoId-BGG,7.8,10.5,13.6,13.7,12.5,11.4,8.9,6.9,10.3,13.8,13.3,13.8,14.2,15.6,12.0,12.3,10.8,8.6,9.3,10.1,10.7,10.7,10.7,10.2,10.0,10.2,10.1,10.1
geoId-BKN,3.3,4.6,6.4,6.4,7.4,9.9,10.2,11.1,13.2,13.6,14.6,14.2,16.1,16.7,16.0,15.9,16.9,16.5,16.4,16.6,16.4,16.4,15.8,15.0,14.4,14.2,14.4,14.3
geoId-BNH,3.9,5.3,6.8,6.8,6.0,4.4,2.6,2.2,2.3,2.4,2.4,2.3,2.5,2.5,2.4,2.6,2.8,4.3,3.8,3.7,3.6,3.1,2.4,2.1,1.6,1.3,1.1,1.0
geoId-SCC,97.1,108.9,119.3,118.1,136.7,144.1,143.4,155.2,176.6,211.4,225.6,224.4,213.9,219.6,202.8,213.2,207.6,202.4,206.0,208.0,210.4,207.6,200.2,184.0,182.4,173.1,175.9,174.7
geoId-BTE,1.2,1.2,0.9,0.9,0.6,0.8,1.0,1.1,0.8,0.8,0.8,0.7,0.7,0.7,0.9,0.9,1.0,0.9,0.7,0.7,0.7,0.6,0.6,0.5,0.3,0.2,0.2,0.2
geoId-CBG,32.5,33.0,31.2,30.2,30.4,31.5,32.3,32.3,33.2,34.4,35.2,35.4,37.2,38.4,37.2,38.5,39.0,39.3,38.8,39.0,39.9,40.1,40.2,39.9,39.4,40.7,41.3,41.2
geoId-CMU,0.2,0.2,0.3,0.2,0.2,0.3,0.3,0.5,0.5,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.6,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.6,0.6,0.6,0.6
geoId-VNM,556.8,615.2,662.9,649.7,691.8,730.2,729.5,816.0,912.7,991.1,1052.6,1033.1,1096.1,1140.2,1089.2,1125.7,1121.3,1156.6,1170.4,1179.0,1178.9,1152.7,1099.5,1032.9,986.7,942.5,902.8,887.0
geoId-CTO,1.0,0.9,1.5,1.2,1.0,1.1,1.0,1.5,2.3,0.7,0.8,0.8,0.9,1.0,1.1,1.0,1.1,1.1,1.2,1.0,1.1,1.1,1.1,1.1,0.9,0.9,1.2,1.0
geoId-GLI,14.4,17.0,18.7,17.7,20.7,23.5,27.1,36.1,45.8,52.4,56.0,54.3,57.6,55.4,57.2,56.9,50.7,53.3,52.6,52.6,51.6,52.0,47.4,46.2,46.7,44.5,38.1,37.3
geoId-HBH,14.7,15.6,18.7,18.7,19.4,21.5,21.8,23.8,27.9,30.3,33.8,32.2,34.0,35.9,34.0,35.9,36.8,36.2,36.9,37.6,38.9,38.0,36.7,33.4,33.1,32.9,32.4,32.5
