"Tỉnh, thành phố",1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,Sơ bộ 2022
geoId-AGG,1.4,1.2,1.1,1.0,1.3,0.6,4.1,3.7,4.5,0.2,0.6,0.8,0.7,1.0,0.5,0.8,1.1,1.0,0.7,0.8,0.7,1.3,1.4,0.8,0.8,0.4,0.7,0.7
geoId-BR-VT,7.8,6.7,5.1,4.5,3.6,3.7,6.9,5.2,7.2,7.4,7.8,7.2,7.0,8.1,8.3,9.2,9.6,8.3,7.9,8.2,8.6,8.7,8.5,7.2,7.5,7.2,7.1,6.0
geoId-BDG,6.1,2.3,3.3,1.3,1.2,1.8,5.7,6.6,6.9,7.4,6.5,6.7,6.6,6.7,6.6,6.5,6.5,6.3,4.2,4.6,4.8,4.8,4.7,4.5,4.3,4.1,4.1,4.0
geoId-BPC,7.3,2.7,1.2,0.5,1.0,1.2,17.4,25.0,24.7,24.1,22.1,23.2,25.0,25.8,20.4,20.4,21.6,20.8,19.2,18.7,17.7,17.0,15.9,13.6,10.3,5.9,5.5,4.9
geoId-BTN,5.6,5.8,6.5,5.4,5.3,6.8,7.7,12.3,16.1,16.7,18.9,21.4,25.7,30.2,25.7,25.7,31.4,32.8,32.2,32.7,30.9,31.2,28.2,25.7,26.4,28.0,28.0,27.8
geoId-BDH,10.9,10.5,10.8,10.9,10.5,10.1,10.1,10.6,11.3,11.6,12.0,13.1,13.2,13.9,14.0,13.3,13.5,13.6,13.8,13.7,13.6,12.8,11.6,11.7,12.1,11.4,10.5,10.0
geoId-BGG,7.5,6.6,5.4,4.8,3.6,3.5,3.6,3.4,3.0,3.2,3.4,4.7,4.5,5.4,4.8,5.2,5.7,5.8,5.9,5.7,5.0,4.3,3.5,3.0,2.7,2.2,1.5,1.2
geoId-BKN,1.5,1.5,1.9,2.5,2.8,3.1,2.7,3.3,3.0,2.9,2.1,1.8,2.0,2.2,2.1,2.2,2.6,2.5,3.1,2.9,3.0,2.4,1.8,1.2,0.7,0.4,0.4,0.3
geoId-CBG,2.5,2.6,1.6,1.5,1.4,1.6,1.6,1.6,1.7,2.3,2.2,2.0,2.1,2.1,2.1,2.3,2.6,2.7,3.0,3.2,4.0,3.5,2.9,2.7,2.8,2.2,2.9,3.4
geoId-VNM,277.4,275.6,254.4,235.5,225.5,237.6,292.3,337.0,371.9,388.6,425.5,475.2,495.5,554.0,507.8,498.0,558.4,551.9,543.9,552.8,567.9,569.0,532.6,513.0,519.0,524.7,524.5,530.3
geoId-GLI,15.8,24.3,14.5,13.8,17.2,17.7,16.5,19.6,24.3,27.4,31.9,47.7,51.1,60.8,56.4,52.7,63.4,58.6,55.2,61.6,63.7,64.8,65.8,68.6,73.9,78.9,78.8,80.4
geoId-HBH,9.0,8.4,8.7,8.4,8.8,9.8,8.9,8.6,9.7,10.2,10.7,11.2,11.4,13.2,11.0,11.3,12.6,12.3,12.2,12.5,11.7,11.2,10.0,9.2,8.7,8.7,8.0,7.7
geoId-HGG,5.1,4.5,4.2,3.7,3.6,3.2,3.2,2.8,2.6,2.5,2.6,2.5,2.4,3.8,4.0,4.2,0.7,5.1,5.0,5.0,4.6,5.0,5.0,5.1,5.1,5.0,4.9,5.0
geoId-HNI,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.3,0.2,0.2,0.2,0.2,0.2,2.4,2.5,2.1,2.1,2.1,2.1,1.9,1.8,1.6,1.2,1.0,1.0,0.7,0.7,0.6
geoId-HTH,2.1,2.4,2.7,2.7,2.4,2.5,2.6,2.9,3.1,3.7,3.9,3.7,4.1,4.1,3.9,3.4,3.8,3.8,3.7,4.0,4.1,3.1,2.9,3.0,2.9,2.7,2.5,2.6
geoId-KHA,4.8,5.2,4.7,4.8,4.4,4.5,4.2,4.3,4.4,4.6,5.9,5.0,5.0,6.5,6.2,6.2,6.7,6.3,6.2,6.0,5.8,5.4,4.9,4.4,3.6,3.5,2.9,2.7
