dia phuong,Năm,Tổng diện tích (Nghìn ha),Diện tích Lúa đông xuân (Nghìn ha),Diện tích Lúa hè thu (Nghìn ha),Diện tích Lúa mùa (Nghìn ha),Tổng sản lượng (Nghìn tấn),Sản lượng Lúa đông xuân (Nghìn tấn),Sản lượng Lúa hè thu (Nghìn tấn),Sản lượng Lúa mùa (Nghìn tấn)
geoId-VNM,1990,6042.8,2073.6,1215.7,2753.5,19225.1,7865.6,4090.5,7269.0
geoId-VNM,1991,6302.8,2160.6,1382.1,2760.1,19621.9,6788.3,4715.8,8117.8
geoId-VNM,1992,6475.3,2279.0,1448.6,2747.7,21590.4,9156.3,4907.2,7526.9
geoId-VNM,1993,6559.4,2323.6,1549.1,2686.7,22836.5,9035.6,5633.1,8167.8
geoId-VNM,1994,6598.6,2381.4,1586.1,2631.1,23528.2,10508.5,5679.4,7340.3
geoId-VNM,1995,6765.6,2421.3,1742.4,2601.9,24963.7,10736.6,6500.8,7726.3
geoId-VNM,1996,7003.8,2541.1,1984.2,2478.5,26396.7,12209.5,6878.5,7308.7
geoId-VNM,1997,7099.7,2682.7,1885.2,2531.8,27523.9,13310.3,6637.8,7575.8
geoId-VNM,1998,7362.7,2783.3,2140.6,2438.8,29145.5,13559.5,7522.6,8063.4
geoId-VNM,1999,7653.6,2888.9,2341.2,2423.5,31393.8,14103.0,8758.3,8532.5
geoId-VNM,2000,7666.3,3013.2,2292.8,2360.3,32529.5,15571.2,8625.0,8333.3
geoId-VNM,2001,7492.7,3056.9,2210.8,2225.0,32108.4,15474.4,8328.4,8305.6
geoId-VNM,2002,7504.3,3033.0,2293.7,2177.6,34447.2,16719.6,9188.7,8538.9
geoId-VNM,2003,7452.2,3022.9,2320.0,2109.3,34568.8,16822.7,9400.8,8345.3
geoId-VNM,2004,7445.3,2978.5,2366.2,2100.6,36148.9,17078.0,10430.9,8640.0
geoId-VNM,2005,7329.2,2942.1,2349.3,2037.8,35832.9,17331.6,10436.2,8065.1
geoId-VNM,2006,7324.8,2995.5,2317.4,2011.9,35849.5,17588.2,9693.9,8567.4
geoId-VNM,2007,7207.4,2988.4,2203.5,2015.5,35942.7,17024.1,10140.8,8777.8
geoId-VNM,2008,7400.2,3013.1,2368.7,2018.4,38729.8,18326.9,11395.7,9007.2
geoId-VNM,2009,7437.2,3060.9,2358.4,2017.9,38950.2,18695.8,11212.2,9042.2
geoId-VNM,2010,7489.4,3085.9,2436.0,1967.5,40005.6,19216.8,11686.1,9102.7
geoId-VNM,2011,7655.4,3096.8,2589.5,1969.1,42398.5,19778.3,13402.9,9217.3
geoId-VNM,2012,7761.2,3124.3,2659.1,1977.8,43737.8,20291.9,13958.0,9487.9
geoId-VNM,2013,7902.5,3105.6,2810.8,1986.1,44039.1,20069.7,14623.4,9346.0
geoId-VNM,2014,7816.2,3116.5,2734.1,1965.6,44974.6,20850.5,14479.2,9644.9
geoId-VNM,2015,7828.0,3168.0,2869.1,1790.9,45091.0,21091.7,15341.3,8658.0
geoId-VNM,2016,7737.1,3128.9,2872.9,1735.3,43109.0,19646.6,15232.1,8230.4
geoId-VNM,2017,7705.2,3117.1,2876.7,1711.4,42738.9,19415.8,15461.2,7861.9
geoId-VNM,2018,7570.9,3102.8,2784.8,1683.3,44046.0,20603.0,15176.4,8265.0
geoId-VNM,2019,7469.9,3124.1,2733.8,1612.0,43495.4,20471.6,14923.1,8098.6
geoId-VNM,2020,7278.9,3024.0,2669.1,1585.8,42764.8,19874.4,14780.1,8106.2
geoId-VNM,2021,7238.9,3006.8,2673.5,1558.5,43852.6,20628.8,15163.5,8055.8
geoId-VNM,Sơ bộ 2022,7109.0,2992.3,2564.0,1552.6,42660.7,19976.0,14456.0,8223.6
