dia phuong,Năm,Tổng Diện tích (Nghìn ha ),Diện tích Lúa (Nghìn ha ),Diện tích Ngô (Nghìn ha ),Tổng Sản lượng (Nghìn tấn ),Sản lượng Lúa (Nghìn tấn ),Sản lượng Ngô (Nghìn tấn )
geoId-VNM,1990,6476.9,6042.8,431.8,19897.7,19225.1,671.0
geoId-VNM,1991,6752.7,6302.8,447.6,20295.8,19621.9,672.0
geoId-VNM,1992,6956.3,6475.3,478.0,22342.8,21590.4,747.9
geoId-VNM,1993,7058.3,6559.4,496.5,23720.5,22836.5,882.2
geoId-VNM,1994,7135.7,6598.6,534.6,24673.7,23528.2,1143.9
geoId-VNM,1995,7324.3,6765.6,556.8,26142.5,24963.7,1177.2
geoId-VNM,1996,7620.6,7003.8,615.2,27935.7,26396.7,1536.7
geoId-VNM,1997,7768.2,7099.7,662.9,29182.9,27523.9,1650.6
geoId-VNM,1998,8016.0,7362.7,649.7,30758.6,29145.5,1612.0
geoId-VNM,1999,8348.6,7653.6,691.8,33150.1,31393.8,1753.1
geoId-VNM,2000,8399.1,7666.3,730.2,34538.9,32529.5,2005.9
geoId-VNM,2001,8224.7,7492.7,729.5,34272.9,32108.4,2161.7
geoId-VNM,2002,8322.5,7504.3,816.0,36960.7,34447.2,2511.2
geoId-VNM,2003,8366.7,7452.2,912.7,37706.9,34568.8,3136.3
geoId-VNM,2004,8437.8,7445.3,991.1,39581.0,36148.9,3430.9
geoId-VNM,2005,8383.4,7329.2,1052.6,39621.6,35832.9,3787.1
geoId-VNM,2006,8359.7,7324.8,1033.1,39706.2,35849.5,3854.6
geoId-VNM,2007,8304.7,7207.4,1096.1,40247.4,35942.7,4303.2
geoId-VNM,2008,8542.2,7400.2,1140.2,43305.4,38729.8,4573.1
geoId-VNM,2009,8527.4,7437.2,1089.2,43323.4,38950.2,4371.7
geoId-VNM,2010,8615.9,7489.4,1125.7,44632.2,40005.6,4625.7
geoId-VNM,2011,8777.6,7655.4,1121.3,47235.5,42398.5,4835.6
geoId-VNM,2012,8918.9,7761.2,1156.6,48712.6,43737.8,4973.6
geoId-VNM,2013,9074.0,7902.5,1170.4,49231.6,44039.1,5191.2
geoId-VNM,2014,8996.2,7816.2,1179.0,50178.5,44974.6,5202.3
geoId-VNM,2015,9008.8,7828.0,1178.9,50379.5,45091.0,5287.2
geoId-VNM,2016,8890.6,7737.1,1152.7,48360.2,43109.0,5246.5
geoId-VNM,2017,8806.8,7705.2,1099.5,47852.2,42738.9,5109.6
geoId-VNM,2018,8605.5,7570.9,1032.9,48923.4,44046.0,4874.1
geoId-VNM,2019,8458.7,7469.9,986.7,48230.9,43495.4,4731.9
geoId-VNM,2020,8222.6,7278.9,942.5,47325.5,42764.8,4558.2
geoId-VNM,2021,8142.9,7238.9,902.8,48301.0,43852.6,4446.4
geoId-VNM,Sơ bộ 2022,7997.0,7109.0,887.0,47085.3,42660.7,4423.2
