dia phuong,Năm,Tổng số,Rừng sản xuất,Rừng phòng hộ,Rừng đặc dụng
geoId-VNM,2005,177.3,148.5,27.0,1.8
geoId-VNM,2006,192.7,162.3,28.4,2.0
geoId-VNM,2007,189.9,157.9,29.9,2.1
geoId-VNM,2008,200.1,159.3,39.8,1.0
geoId-VNM,2009,243.0,195.2,45.6,2.2
geoId-VNM,2010,256.5,220.8,31.1,4.6
geoId-VNM,2011,233.0,213.1,17.0,2.9
geoId-VNM,2012,229.2,208.9,18.5,1.8
geoId-VNM,2013,239.2,222.7,15.3,1.2
geoId-VNM,2014,249.7,223.2,25.0,1.5
geoId-VNM,2015,271.3,244.0,25.9,1.4
geoId-VNM,2016,264.8,240.8,22.6,1.4
geoId-VNM,2017,284.9,267.7,15.1,2.1
geoId-VNM,2018,282.4,268.0,12.5,1.9
geoId-VNM,2019,268.4,255.9,11.1,1.4
geoId-VNM,2020,269.9,260.3,7.8,1.8
geoId-VNM,2021,290.0,281.0,8.0,1.0
geoId-VNM,Sơ bộ 2022,306.5,294.5,10.1,1.9
