"Tỉnh, thành phố",1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,Sơ bộ 2022
geoId-AGG,0.7,1.0,2.4,2.0,1.6,1.5,1.7,1.6,1.3,1.5,1.5,0.5,0.4,0.4,3.5,1.0,0.1,,0.0,0.2,0.1,0.1,0.5,0.3,0.3,0.3,0.3,0.3
geoId-BR-VT,2.4,3.5,3.2,2.0,1.0,1.1,1.6,1.5,0.7,0.7,1.0,1.0,1.0,0.5,0.1,1.0,0.9,1.0,0.9,0.9,0.9,1.0,1.0,1.0,1.2,1.0,1.2,1.2
geoId-BDG,,0.0,0.1,0.2,0.4,0.1,0.3,0.1,0.7,0.6,0.5,0.2,0.2,,,,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.1,0.1
geoId-BPC,0.7,1.1,1.0,1.4,2.3,2.1,2.6,2.6,0.8,1.0,0.6,1.5,0.5,1.3,0.9,1.3,0.7,0.6,0.6,0.4,0.4,0.3,0.5,0.6,0.7,0.4,0.4,1.1
geoId-BTN,5.1,5.4,4.7,4.8,3.5,3.5,4.7,4.2,3.7,2.7,4.4,4.7,5.5,3.7,6.2,2.0,5.1,5.4,5.3,4.3,2.1,2.1,2.1,2.2,2.2,2.5,2.8,4.0
geoId-BDH,6.3,3.8,5.4,3.1,2.9,2.5,4.4,4.1,4.8,6.0,6.8,6.7,6.8,6.1,7.8,10.2,9.2,11.1,12.0,14.9,15.0,13.5,14.4,13.3,15.8,17.2,17.1,20.0
geoId-BLU,0.2,0.3,0.2,1.1,1.3,0.3,0.7,0.2,0.2,0.1,0.1,0.1,,0.1,0.5,,,0.1,,,,,0.7,,,,,
geoId-BGG,5.6,4.6,5.8,6.8,7.7,6.9,4.4,4.5,4.9,4.1,3.9,4.4,4.8,5.7,3.8,6.7,6.6,6.6,7.4,7.2,7.6,7.9,8.3,8.4,8.3,8.9,9.4,10.3
geoId-BKN,1.4,2.5,2.8,4.8,5.3,6.1,2.2,3.4,3.9,3.6,2.0,1.9,3.3,4.6,5.3,9.7,13.8,12.3,11.2,9.6,8.1,6.7,5.1,4.8,3.7,4.8,4.3,3.6
geoId-BNH,,0.0,0.2,0.2,0.1,0.2,0.2,0.1,0.1,,0.1,0.1,0.1,,,,,,,,,,,,,,,
geoId-SCC,80.8,70.6,66.5,49.8,66.9,62.4,69.6,57.8,59.7,63.2,73.8,69.9,71.2,72.7,83.7,97.6,90.7,92.6,103.6,115.3,118.0,118.3,130.6,136.6,137.2,142.3,149.2,161.8
geoId-BTE,0.3,0.5,0.4,0.2,0.2,0.2,0.3,0.1,,,,,0.1,0.2,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,,,,,,0.1
geoId-CBG,0.6,0.8,1.6,5.7,4.0,4.0,1.1,1.4,2.6,2.2,2.2,1.5,1.6,1.9,2.6,2.2,0.9,1.7,3.1,3.0,3.2,3.1,4.1,2.2,2.7,4.1,3.2,3.1
geoId-CMU,11.2,10.5,7.8,8.3,6.5,4.3,3.7,5.7,6.2,4.4,6.4,5.7,4.4,3.6,2.8,2.3,2.6,4.2,4.4,3.8,6.4,4.5,4.3,4.0,3.6,3.7,4.2,4.1
,,12.5,20.6,33.5,41.8,8.5,5.3,3.3,2.0,2.2,4.5,5.0,5.0,3.5,6.9,,25.4,1.9,1.7,1.4,,,,,,,,
geoId-VNM,209.6,203.0,221.8,208.6,230.1,196.4,190.8,190.0,181.3,184.4,177.3,192.7,189.9,200.1,243.0,256.8,233.2,229.3,239.3,249.7,271.4,264.9,284.2,282.1,267.9,269.9,290.0,306.5
geoId-CTO,,0.1,0.1,0.1,0.0,,,,,0.3,,,,,,,,,,,,,,,,,,
geoId-GLI,2.1,3.7,2.3,3.6,5.2,3.5,4.5,7.4,5.7,6.2,5.3,4.5,4.0,2.8,2.1,2.0,1.7,1.6,1.4,1.0,2.4,1.6,6.7,5.5,4.7,4.3,8.0,5.2
geoId-HBH,2.4,3.0,3.8,5.1,6.5,5.8,6.4,7.7,3.8,8.1,6.6,7.2,8.6,10.9,9.6,9.7,8.7,8.8,8.8,8.7,8.4,8.4,7.8,8.2,7.9,8.2,8.0,8.3
geoId-HGG,3.4,4.7,4.0,4.0,7.7,8.7,3.2,4.5,5.6,9.5,6.9,8.0,7.2,6.0,16.1,9.8,9.3,5.0,4.8,4.7,10.2,7.9,9.6,7.7,6.2,5.0,6.8,6.0
geoId-HNM,0.2,0.2,0.4,0.1,0.1,0.2,0.3,0.2,0.2,0.1,0.1,0.2,0.1,0.1,0.2,,,,0.1,,,,,,,,,
geoId-HNI,0.3,0.7,0.3,0.1,0.1,0.4,0.8,0.5,0.1,0.4,0.3,,,0.3,0.1,0.5,,,0.2,0.3,0.5,0.7,0.5,0.5,0.2,0.1,0.1,
geoId-HNI,1.0,0.9,0.4,0.6,0.2,0.3,0.4,1.1,0.3,0.5,0.4,0.4,0.4,,,,,,,,,,,,,,,
geoId-HTH,4.0,3.6,4.3,3.9,14.0,7.1,7.7,7.2,4.7,5.9,6.2,6.5,6.4,6.5,4.2,6.1,3.8,3.5,5.3,6.1,8.4,8.7,10.4,10.5,8.6,8.4,9.4,9.6
geoId-HDG,1.0,1.1,2.2,1.2,0.2,0.2,0.1,0.1,0.6,0.2,0.2,0.1,0.1,,,0.1,0.1,0.0,,,,0.2,,0.1,0.1,0.1,0.1,0.1
geoId-HPG,4.0,0.6,0.9,1.2,0.8,0.4,0.7,1.3,0.9,0.4,0.8,0.6,0.3,0.4,0.8,0.5,0.0,0.0,,,0.3,0.4,,,0.1,0.1,,0.1
geoId-HGG,,,,,,,0.3,0.1,0.1,,0.2,0.2,0.2,0.2,0.5,0.2,0.2,0.2,0.1,0.2,0.2,0.2,0.4,0.4,0.4,0.4,0.4,0.4
geoId-KHA,3.3,3.0,2.6,2.7,3.2,3.0,3.2,1.6,3.0,2.9,2.6,2.2,1.0,0.5,1.3,2.7,1.9,2.1,1.4,1.0,1.3,1.5,1.7,5.2,5.3,4.4,2.8,2.4
geoId-KGG,26.2,9.0,13.6,5.3,2.6,3.5,4.4,5.2,7.9,4.9,2.6,2.0,1.5,0.5,0.5,0.5,0.1,,,0.1,0.4,0.1,0.2,0.2,1.0,0.8,0.8,0.7
geoId-KTM,3.1,3.0,3.7,1.9,1.3,3.6,7.7,8.4,2.6,2.5,0.6,1.4,3.9,2.2,6.3,6.0,1.7,1.7,2.0,2.6,2.0,1.7,1.0,0.9,1.0,1.0,4.8,5.4
geoId-LCU,2.2,1.1,2.3,1.4,2.2,1.8,1.9,2.4,0.6,1.3,3.3,1.8,0.8,0.6,6.2,1.6,1.5,1.8,1.5,1.1,2.3,3.2,3.6,2.0,1.3,1.2,1.7,2.9
geoId-LAN,0.1,1.1,2.0,2.0,3.5,6.6,6.7,7.2,7.5,5.6,1.4,0.1,0.1,,0.5,0.1,0.1,0.1,,,2.0,1.0,1.0,1.4,1.5,1.3,0.7,0.6
geoId-LCI,4.1,4.1,4.6,3.3,2.9,2.4,2.7,2.2,2.2,2.0,2.0,4.6,5.6,4.5,7.5,5.7,5.8,6.0,7.4,8.7,10.6,10.6,9.7,7.6,5.8,6.2,10.1,8.1
