"Tỉnh, thành phố",1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,Sơ bộ 2022
geoId-AGG,11.7,19.4,15.2,15.2,18.0,23.0,28.0,20.0,26.3,27.2,30.5,32.2,23.6,38.3,37.5,43.1,43.1,50.3,50.7,47.6,36.2,40.2,34.4,30.0,39.6,42.3,45.6,42.2
geoId-BR-VT,24.1,27.6,23.7,30.8,23.5,27.3,27.9,27.5,28.8,27.3,31.9,28.2,33.3,33.4,37.2,34.7,36.5,36.6,38.6,42.1,43.6,44.6,44.8,48.6,54.8,49.2,56.4,56.0
geoId-BDG,22.2,22.8,23.7,23.7,24.5,23.1,23.6,24.6,25.1,25.0,27.5,23.7,27.8,30.6,33.6,36.0,35.7,36.3,36.2,37.3,38.6,38.9,39.4,39.1,38.8,40.0,40.7,41.5
geoId-BPC,14.8,15.0,16.4,16.3,17.2,17.3,22.6,23.3,24.7,25.5,28.4,22.8,30.7,27.9,30.3,30.9,31.3,31.8,32.4,32.6,32.7,33.2,32.4,34.0,32.9,37.1,35.3,36.9
geoId-BTN,27.2,29.2,30.4,32.6,29.2,29.4,32.3,36.4,34.6,31.5,35.3,32.0,40.9,42.1,46.3,45.3,46.7,50.3,52.1,52.5,55.7,56.0,54.1,54.1,55.3,55.8,55.6,57.1
geoId-BDH,24.8,27.9,25.3,30.9,30.7,33.2,35.1,33.1,35.5,41.2,35.3,40.9,41.7,43.4,35.1,42.9,44.6,46.0,46.2,46.6,44.4,44.2,46.3,46.2,39.0,41.0,43.0,45.3
geoId-BLU,38.7,42.6,33.1,41.8,36.9,39.2,39.2,36.8,39.8,41.9,45.2,44.9,46.5,45.1,46.2,47.6,48.2,50.0,50.4,50.3,43.6,41.8,47.6,48.1,49.4,56.0,60.9,60.7
geoId-BGG,27.7,27.2,31.3,32.3,36.7,39.6,40.1,43.5,42.9,44.6,46.4,46.0,50.1,50.1,49.2,50.8,52.6,53.2,46.9,53.3,52.1,54.8,53.9,54.3,55.0,55.8,56.4,56.5
geoId-BKN,27.9,29.6,33.3,32.9,33.4,33.0,37.3,37.8,39.0,37.8,40.6,43.2,42.7,42.7,42.2,40.3,39.3,43.2,42.8,44.2,43.5,44.6,41.9,44.5,47.2,48.4,47.7,48.7
geoId-BNH,31.2,30.6,34.8,42.8,47.1,49.4,50.2,52.5,50.3,51.7,50.0,50.5,53.1,53.1,54.8,54.0,56.5,56.0,50.0,57.8,57.8,59.0,55.6,57.4,59.4,62.6,63.4,63.3
geoId-SCC,25.5,22.3,26.2,28.1,29.0,29.3,32.3,34.1,35.8,38.2,35.4,40.2,41.9,41.9,42.4,42.6,44.0,46.5,46.0,48.6,48.1,47.9,47.7,46.7,48.4,49.6,51.0,52.3
geoId-BTE,30.5,32.4,25.8,27.4,27.7,26.5,33.1,36.1,37.0,36.3,41.0,39.7,27.3,40.9,39.7,43.1,44.3,45.9,44.5,45.0,42.8,20.7,35.5,31.0,35.9,36.3,30.0,40.8
geoId-CBG,26.9,29.0,30.9,30.9,31.8,28.3,32.6,32.2,33.8,33.7,35.1,37.0,37.9,37.9,37.5,40.2,37.4,38.8,40.0,40.6,41.4,42.1,42.7,42.8,44.2,44.3,44.9,46.4
geoId-CMU,26.2,28.8,21.9,29.8,32.4,29.5,29.8,30.7,32.1,27.7,32.2,34.2,34.1,35.4,35.2,38.3,40.1,41.2,43.0,43.4,34.7,38.1,38.1,47.0,37.2,24.5,18.9,41.0
geoId-VNM,29.7,29.5,29.9,33.1,35.2,35.3,37.3,39.2,39.6,41.1,39.6,42.6,43.6,43.6,44.8,46.3,46.8,48.0,47.1,49.1,48.3,47.4,45.9,49.1,50.2,51.1,51.7,53.0
