"Tỉnh, thành phố",1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,Sơ bộ 2022
geoId-AGG,61.2,60.2,62.3,61.6,58.1,61.0,55.6,65.4,64.1,65.2,69.3,68.1,71.1,73.1,71.6,73.0,75.1,74.0,73.5,77.4,75.6,71.9,70.3,73.5,71.0,71.7,76.9,73.4
geoId-BR-VT,35.9,36.8,36.2,35.9,37.4,37.1,37.7,31.9,35.5,38.0,39.2,40.4,42.2,42.8,46.5,48.0,48.1,51.5,50.9,54.3,57.5,57.5,60.1,59.3,61.3,61.4,64.8,68.1
geoId-BDG,31.8,33.0,32.6,31.6,32.4,33.1,33.7,33.9,34.3,35.3,36.9,37.1,38.5,41.0,43.5,43.7,45.7,46.2,47.1,48.1,47.9,49.5,48.7,48.2,50.0,49.5,51.0,51.2
geoId-BPC,24.6,27.1,26.2,14.4,27.6,28.0,27.4,23.3,26.5,26.4,22.4,28.6,29.0,33.4,32.6,33.8,34.8,33.9,34.8,33.3,34.4,29.7,32.7,38.3,40.3,37.3,38.7,39.9
geoId-BTN,40.4,40.3,39.2,38.2,42.4,38.8,41.6,42.1,43.9,45.3,49.0,46.0,49.7,51.7,53.3,57.6,61.3,59.8,59.9,61.6,63.3,63.9,62.4,64.9,65.3,66.8,67.1,66.8
geoId-BDH,38.9,38.2,44.8,41.0,46.5,46.8,48.1,52.6,50.6,50.1,56.8,56.0,54.8,55.6,58.7,61.9,62.4,63.0,63.4,67.9,68.6,66.0,67.7,68.9,69.8,70.3,71.5,69.7
geoId-BLU,,27.3,23.0,24.9,44.1,42.0,40.6,44.2,40.9,54.4,50.9,56.1,52.2,58.2,58.3,56.4,66.7,63.4,66.0,72.4,72.8,67.7,72.0,73.7,74.6,76.7,77.3,75.7
geoId-BGG,24.9,34.2,34.4,33.5,36.0,43.1,42.7,45.7,48.4,51.2,51.8,49.8,45.9,52.7,53.7,56.1,59.5,59.4,59.2,58.0,59.2,60.2,60.4,61.1,60.6,59.9,60.2,59.6
geoId-BKN,28.6,33.1,32.0,36.0,37.9,41.1,41.4,41.4,44.5,44.8,44.4,40.7,45.5,46.2,47.9,48.1,53.3,53.6,53.9,51.0,54.9,55.1,54.9,55.8,55.1,56.8,57.2,56.7
geoId-BNH,31.6,43.6,43.8,42.7,46.9,55.7,52.4,54.5,56.8,59.1,59.8,59.2,54.1,63.5,64.2,64.5,70.5,68.8,67.0,63.1,65.9,65.0,64.4,66.1,63.3,64.9,66.3,67.0
geoId-SCC,36.3,39.2,43.0,41.1,44.9,47.1,47.8,52.1,53.0,54.3,54.8,56.3,53.5,54.2,57.3,57.8,58.7,60.2,59.6,62.7,61.4,61.5,61.1,64.2,63.8,63.6,66.4,61.4
geoId-BTE,41.2,43.6,43.9,43.0,38.4,48.5,46.3,46.7,48.5,50.8,44.2,50.3,54.4,57.4,58.9,57.4,52.3,57.8,50.7,58.0,50.9,0.5,44.2,56.1,48.2,0.4,50.7,50.0
