dia phuong,Năm,Lúa,Ngô,Mía,Sắn,Lạc,Khoai lang
geoId-VNM,2000,103.4,108.4,96.5,,113.3,
geoId-VNM,2001,101.0,107.9,101.3,,102.1,
geoId-VNM,2002,107.1,103.9,106.1,,109.5,
geoId-VNM,2003,101.1,111.7,100.6,,103.1,
geoId-VNM,2004,104.7,100.7,101.7,,106.5,
geoId-VNM,2005,100.7,101.7,102.7,,104.7,
geoId-VNM,2006,100.0,103.6,103.4,,103.3,
geoId-VNM,2007,102.0,105.4,102.2,,107.0,
geoId-VNM,2008,104.8,102.0,100.6,,104.0,
geoId-VNM,2009,100.2,100.0,98.5,,100.5,
geoId-VNM,2010,101.9,102.5,102.2,102.6,101.0,103.4
geoId-VNM,2011,103.7,104.9,103.5,102.7,99.1,106.2
geoId-VNM,2012,101.8,99.8,101.4,99.5,102.4,108.5
geoId-VNM,2013,98.8,103.3,103.0,101.7,106.1,99.9
geoId-VNM,2014,103.2,99.3,100.2,103.0,95.6,107.1
geoId-VNM,2015,100.2,101.6,99.3,102.4,104.6,97.2
geoId-VNM,2016,96.7,101.6,99.7,101.4,101.8,100.8
geoId-VNM,2017,99.6,102.2,101.6,100.6,101.7,105.3
geoId-VNM,2018,104.9,101.5,101.9,99.6,104.7,105.0
geoId-VNM,2019,100.0,101.7,99.0,102.1,101.6,105.0
geoId-VNM,2020,101.0,100.8,94.3,102.1,100.4,103.3
geoId-VNM,2021,103.1,101.9,104.1,100.6,103.6,99.1
geoId-VNM,Sơ bộ 2022,99.0,101.2,101.0,99.5,98.5,90.3
