"Tỉnh, thành phố",1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,Sơ bộ 2022
geoId-AGG,65.7,65.3,38.1,39.5,19.0,20.6,57.6,59.1,68.7,75.3,78.4,76.0,76.3,74.4,70.8,69.8,73.8,70.8,72.5,80.7,74.1,75.2,76.0,81.3,73.5,78.1,80.0,84.7
geoId-BR-VT,22.9,31.8,32.2,34.2,32.8,35.3,35.1,36.7,37.1,39.0,40.4,41.1,41.6,42.5,42.9,42.9,43.7,42.3,45.1,45.7,46.6,47.3,46.6,52.0,51.9,55.5,59.2,62.0
geoId-BDG,8.3,7.4,16.4,15.8,16.2,16.2,16.2,17.7,18.3,20.0,20.0,20.0,21.7,20.0,24.0,24.0,20.0,22.5,20.0,17.5,17.5,20.0,20.0,20.0,20.0,20.0,21.9,21.8
geoId-BPC,8.7,21.8,27.7,24.2,27.4,26.3,26.7,27.8,29.5,29.4,31.8,31.1,32.2,32.7,31.5,31.3,31.5,34.2,36.6,37.6,38.2,38.2,38.0,39.0,38.5,38.8,39.4,39.1
geoId-BTN,25.4,23.7,28.6,29.4,27.3,28.8,37.5,40.2,48.2,46.0,41.2,51.1,52.9,54.5,55.8,58.6,59.5,59.3,60.4,61.8,63.0,62.9,62.3,64.6,64.9,66.0,67.2,65.5
geoId-BDH,31.0,33.1,36.5,30.8,22.6,33.9,35.9,35.4,39.1,39.7,44.2,47.1,49.7,51.0,48.7,51.8,54.6,55.4,56.2,55.9,57.2,58.8,59.8,61.0,60.8,60.3,60.8,63.2
geoId-BLU,20.0,30.0,25.0,25.0,26.7,26.7,30.0,60.0,36.7,57.5,42.0,42.0,45.0,35.0,70.0,70.0,70.0,60.0,45.0,40.0,40.0,40.0,40.0,50.0,50.0,50.0,55.8,57.5
geoId-BGG,17.8,24.6,28.1,25.7,26.8,25.8,25.1,28.0,28.2,33.1,33.3,31.1,35.0,32.7,34.1,36.5,37.7,39.1,38.0,39.0,39.5,40.2,40.2,40.4,41.3,42.0,42.1,41.6
geoId-BKN,15.5,20.2,23.3,25.2,20.8,21.4,23.6,24.8,26.5,26.6,27.3,24.9,34.5,35.0,34.8,36.0,38.3,37.5,40.8,38.6,41.3,40.5,40.5,42.3,42.4,43.6,43.4,43.5
geoId-BNH,18.7,25.7,27.9,20.4,26.5,26.1,26.5,27.7,28.3,31.7,28.3,31.7,36.0,39.2,36.7,41.2,44.6,43.0,48.2,47.6,48.6,50.0,51.7,49.0,53.8,53.1,52.8,54.4
geoId-SCC,17.6,19.9,21.8,21.9,22.6,24.5,29.1,29.9,33.9,36.4,35.5,36.7,38.2,38.4,38.3,39.9,40.3,40.8,43.3,41.5,44.2,45.3,45.7,46.0,47.1,48.3,48.7,49.0
geoId-BTE,25.8,25.8,26.7,27.8,31.7,27.5,31.0,30.9,32.5,35.0,36.3,27.1,32.9,30.0,34.4,38.9,39.0,37.8,37.1,38.6,37.1,38.3,35.0,40.0,43.3,30.0,38.8,40.0
geoId-CBG,17.0,17.9,20.4,20.1,20.8,24.1,24.4,24.9,26.0,25.8,27.3,22.7,29.3,29.3,29.5,30.2,32.0,32.3,33.8,32.8,33.5,34.3,35.8,35.8,36.3,36.9,37.9,38.0
geoId-CMU,30.0,30.0,20.0,20.0,35.0,36.7,30.0,38.0,30.0,30.0,35.0,35.0,25.0,25.0,35.0,33.3,33.3,34.0,36.0,36.0,38.0,44.0,46.0,50.0,48.3,50.0,49.7,48.6
geoId-VNM,21.1,25.0,24.9,24.8,25.3,27.5,29.6,30.8,34.4,34.6,36.0,37.3,39.3,40.1,40.1,41.1,43.1,43.0,44.4,44.1,44.8,45.5,46.5,47.2,48.0,48.4,49.3,49.9
