"Tỉnh, thành phố",1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,Sơ bộ 2022
geoId-BR-VT,65.2,72.4,77.1,80.1,84.6,104.4,111.1,131.1,134.3,170.0,180.8,184.0,194.0,199.1,208.6,198.3,211.6,215.8,226.0,232.4,240.5,248.1,256.8,265.3,286.1,292.0,291.0,274.5
geoId-BTN,55.3,67.6,73.5,58.5,64.9,69.5,72.6,70.6,67.8,80.0,82.5,90.8,90.4,91.3,100.9,102.1,105.3,108.6,109.4,114.3,119.4,128.8,136.8,142.0,148.6,149.1,148.0,160.4
geoId-BDH,53.5,56.8,50.5,54.1,57.9,61.3,66.3,66.1,71.0,76.0,83.5,81.7,86.4,90.7,100.0,108.8,116.4,129.5,139.0,149.2,158.9,167.2,180.1,190.7,202.4,207.8,222.2,233.3
geoId-BLU,20.3,23.2,29.3,35.9,41.7,38.4,38.0,56.5,52.0,51.9,46.9,46.4,51.4,58.1,57.0,60.9,64.2,65.2,66.3,66.8,70.0,65.8,68.2,69.8,86.3,86.8,83.2,80.0
geoId-SCC,295.9,341.9,368.7,353.4,394.1,426.1,445.9,474.3,494.4,525.8,551.7,565.4,587.2,606.2,654.1,730.7,762.3,820.2,864.5,923.4,1005.9,1040.5,1136.1,1207.9,1274.8,1316.5,1354.0,1397.9
geoId-BTE,31.8,39.0,36.4,37.6,45.7,48.4,50.4,47.9,45.0,53.2,53.1,53.4,53.3,58.0,59.5,90.6,100.1,113.7,116.4,117.3,153.0,149.3,145.3,149.7,162.5,174.3,178.9,181.3
geoId-CMU,47.3,52.0,51.3,51.8,84.4,93.5,90.1,100.0,106.2,109.0,105.3,103.9,98.1,101.3,103.5,104.3,102.2,103.0,112.5,140.5,139.4,149.2,145.5,169.8,186.1,189.1,200.6,179.8
geoId-VNM,722.1,808.2,835.3,856.7,974.7,1075.3,1120.5,1189.6,1227.5,1333.8,1367.5,1396.5,1433.0,1475.8,1574.1,1664.8,1737.9,1844.8,1920.6,2057.2,2235.1,2310.7,2451.3,2636.8,2822.3,2884.3,2922.3,2860.6
geoId-CTO,9.3,1.6,0.2,0.0,,,,,,,,,,,,,,,,,,,,,,,,
geoId-HTH,10.6,9.5,10.2,10.3,12.4,15.6,16.5,15.4,16.2,15.9,14.3,15.0,14.8,15.8,17.1,17.1,18.5,19.2,19.3,20.1,21.3,16.4,17.7,19.3,21.1,23.2,22.7,23.4
geoId-HPG,10.5,9.6,8.0,9.0,10.0,11.4,14.8,16.7,16.8,19.8,19.2,18.2,19.2,19.5,23.3,25.7,25.8,25.3,25.5,29.7,40.6,40.3,44.3,53.3,53.0,64.8,66.9,68.4
geoId-KHA,17.9,38.1,42.7,41.4,44.1,47.5,50.4,54.6,53.6,53.2,56.2,57.6,59.2,59.0,66.3,68.7,68.7,71.9,73.2,76.1,79.7,83.6,85.6,87.4,87.7,86.5,86.6,87.8
geoId-KGG,131.1,134.0,140.4,150.8,155.3,168.9,179.6,189.4,201.0,231.3,238.3,246.9,249.0,253.0,276.7,252.6,260.0,277.6,285.3,314.1,342.3,366.4,393.4,429.2,441.6,421.0,405.4,355.6
geoId-LAN,7.4,6.8,7.6,9.5,8.3,5.0,6.5,7.5,5.1,4.5,2.1,2.1,2.2,2.3,1.8,1.7,2.1,2.4,2.5,3.0,3.0,3.1,3.2,2.9,2.9,3.5,1.9,1.7
geoId-NDH,5.5,7.6,8.9,12.2,16.9,20.3,20.9,22.7,24.3,23.5,23.5,23.0,24.7,25.8,27.2,27.4,27.9,28.0,28.2,30.3,30.9,28.6,29.8,32.3,33.6,34.6,35.1,35.6
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
