"Tỉnh, thành phố",1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,Sơ bộ 2022
geoId-AGG,34421.0,47993.0,41133.0,40728.0,60742.0,80032.0,83335.0,110157.0,136231.0,152507.0,179112.0,181137.0,262532.0,313739.0,295370.0,276941.0,301540.0,298395.0,291083.0,294530.0,324306.0,346280.0,377184.0,461573.0,521621.0,493676.0,544093.0,588740.0
geoId-BR-VT,814.0,1178.0,1073.5,682.0,967.2,955.0,1473.0,2115.0,2341.0,4592.0,5926.0,5910.0,4571.0,4817.0,5722.0,6679.0,7640.0,6867.0,7470.0,7936.0,8351.0,8769.0,9049.0,9317.0,4484.0,4746.0,5025.0,5271.0
geoId-BDG,194.0,207.0,221.0,225.0,229.0,232.0,246.0,267.0,323.0,2016.0,2854.0,3418.0,4019.0,4758.0,5063.0,5270.0,6484.0,6254.0,4149.0,3635.0,3680.0,3753.0,3828.0,3902.0,3970.0,4117.0,3380.0,3513.0
geoId-BPC,200.0,666.0,1097.1,914.0,1332.0,1175.0,1650.0,2033.0,2862.0,3305.0,3820.0,4508.0,5269.0,6102.0,6941.0,6514.0,6034.0,4637.0,4777.0,5327.0,5304.0,5040.0,5235.0,4952.0,4331.0,4322.0,2923.0,3734.0
geoId-BTN,50.0,150.0,378.0,0.0,726.0,1048.0,1105.0,840.0,1993.0,2135.0,1796.0,2551.0,2981.0,2902.0,4065.0,5172.0,5050.0,4912.0,4556.0,3991.0,4119.0,4523.0,5461.0,5632.0,5791.0,4787.0,7494.0,7374.0
geoId-BDH,682.0,722.0,827.0,840.0,881.0,751.0,746.0,863.0,957.0,1166.0,1294.0,1537.0,1670.0,1860.0,2159.0,2289.0,2512.0,2686.0,3130.0,3414.0,3509.0,3543.0,1480.0,1713.0,1854.0,1979.0,3340.0,3538.0
geoId-BLU,891.0,3794.0,3873.0,4463.0,7397.0,11805.0,9167.0,9638.0,13772.0,18447.0,34430.0,46400.0,50469.0,51940.0,54985.0,63814.0,69069.0,69910.0,70916.0,71092.0,71425.0,67047.0,76572.0,80854.0,84666.0,88564.0,91936.0,96262.0
geoId-BGG,2121.0,2622.0,2780.0,2882.0,2897.0,2964.0,3109.0,3521.0,4812.0,5486.0,6028.0,6874.0,8922.0,10528.0,14873.0,17374.0,19694.0,24444.0,26198.0,29395.0,32445.0,35219.0,37888.0,40103.0,42499.0,44911.0,46407.0,49452.0
geoId-BKN,184.0,246.0,210.0,223.0,12.0,245.0,205.0,272.0,350.0,360.0,414.0,505.0,625.0,685.0,756.0,822.0,830.0,817.0,847.0,857.0,874.0,889.0,1050.0,1703.0,2041.0,2074.0,2677.0,2695.0
geoId-BNH,845.0,1453.0,4009.0,4514.0,4948.0,5201.0,6783.0,7993.0,10120.0,12627.0,15978.0,19013.0,22443.0,22765.0,25754.0,28659.0,31275.0,32212.0,33059.0,33750.0,34249.0,34773.0,35370.0,35595.0,36258.0,37157.0,38296.0,38762.0
geoId-SCC,14478.0,17773.1,18499.5,18716.0,20192.0,24149.0,26333.0,30353.0,42246.0,46755.0,52330.0,61932.0,71076.0,77664.0,83306.0,87343.0,93412.0,98992.0,103412.0,107803.0,113399.0,117748.0,118388.0,123680.0,131127.0,137154.0,146302.0,156434.0
