"Tỉnh, thành phố",1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,Sơ bộ 2022
geoId-AGG,30.0,41.5,44.0,41.4,43.5,45.9,43.6,44.2,55.7,55.5,58.4,60.3,61.6,68.9,31.1,31.1,35.7,35.8,36.9,40.5,40.6,41.4,43.4,34.0,34.1,34.1,34.3,34.3
geoId-BR-VT,6.0,4.0,0.7,0.2,0.2,8.1,1.5,0.6,1.1,1.5,2.2,2.2,2.2,23.8,69.2,69.2,76.0,76.1,70.6,79.1,81.5,78.4,82.6,78.2,76.8,82.1,82.3,84.8
geoId-BDG,,6.2,3.6,3.8,4.0,0.6,2.2,1.9,1.7,1.5,1.3,0.6,0.7,0.7,2.6,2.6,11.5,11.7,12.7,5.1,10.1,10.5,10.9,11.1,11.3,11.7,9.8,11.4
geoId-BPC,9.0,19.8,17.3,16.7,8.5,15.3,18.4,11.1,20.4,9.3,7.1,6.1,11.0,8.7,31.6,31.6,50.2,16.6,15.8,11.3,12.5,31.3,38.5,10.7,11.0,11.3,12.4,44.4
geoId-BTN,38.0,39.5,26.5,19.4,18.3,39.9,31.7,27.5,26.2,26.3,36.7,37.1,38.4,36.7,199.6,199.6,146.9,161.4,152.5,169.0,172.3,164.8,242.1,263.7,253.5,331.5,320.0,234.4
geoId-BDH,43.0,56.8,82.4,70.1,68.7,78.4,79.2,102.2,110.9,125.2,127.3,138.8,152.1,167.4,228.5,228.5,308.1,527.9,554.3,748.4,909.2,963.8,1099.9,1240.2,1340.2,1453.4,1495.3,1617.7
geoId-BLU,,4.8,0.0,2.7,2.8,4.2,3.4,3.2,3.1,2.9,2.9,2.8,2.8,2.9,2.0,2.0,1.9,1.8,1.7,1.9,1.9,3.8,4.0,4.1,4.2,4.3,4.4,4.2
geoId-BGG,65.6,57.6,46.2,42.8,32.7,35.5,34.8,35.4,37.8,38.6,39.1,39.3,50.3,59.7,64.6,64.6,67.1,130.5,271.3,331.4,400.1,502.1,578.9,603.6,649.4,683.6,801.8,848.4
geoId-BKN,22.3,32.8,27.4,27.0,23.0,22.0,22.7,23.0,25.7,27.3,27.5,32.4,55.1,51.7,56.0,56.0,87.6,127.7,131.7,141.1,148.5,157.0,153.4,161.2,200.0,218.9,294.0,305.3
geoId-BNH,12.4,6.6,5.5,5.6,5.5,6.8,6.9,6.8,6.2,5.3,4.9,4.6,4.7,4.8,4.0,4.0,4.9,4.8,4.8,4.8,4.8,4.7,4.3,4.2,4.0,3.9,3.7,3.6
