"Tỉnh, thành phố",1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,Sơ bộ 2022
geoId-AGG,770.0,795.7,649.8,710.5,814.5,807.0,849.4,1139.2,1250.6,1546.8,1568.7,1327.0,1486.3,1788.0,1715.8,1920.9,2064.7,2165.8,2244.6,2161.4,2250.1,2234.6,2202.0,2199.1,2241.0,2348.6,2350.8,2242.8
geoId-BR-VT,13.8,13.0,9.5,12.2,16.0,17.9,18.7,15.5,16.3,17.9,17.9,19.2,16.6,22.4,27.2,18.3,29.6,32.0,31.5,32.9,36.4,37.8,39.2,42.6,42.3,42.6,44.4,48.2
geoId-BDG,10.5,9.4,11.9,11.2,11.7,12.5,12.8,12.2,12.4,12.7,10.6,9.7,8.9,7.9,7.7,7.9,7.3,7.1,6.8,6.7,6.4,6.1,6.0,5.6,5.3,5.0,4.9,4.6
geoId-BTN,77.2,76.8,86.9,89.2,84.3,117.7,120.9,110.5,133.0,144.2,138.2,131.6,168.4,181.2,189.9,188.5,224.7,223.9,224.4,234.1,224.1,231.3,259.7,229.2,212.8,248.0,247.6,229.6
geoId-BDH,132.5,152.8,146.2,129.7,167.4,174.2,176.6,153.4,181.1,173.6,151.5,206.0,203.4,237.2,238.2,234.3,252.1,256.6,231.1,250.2,259.9,259.4,280.3,280.5,271.8,246.0,266.5,280.5
geoId-BLU,62.3,85.9,121.6,221.2,285.8,363.2,311.3,322.4,259.4,262.0,277.4,227.0,224.9,234.6,257.6,287.3,301.1,299.4,309.0,310.1,584.8,563.7,582.6,596.7,605.6,585.4,609.5,580.9
geoId-SCC,981.5,1029.6,1147.4,1003.0,1256.5,1269.2,1280.3,1211.1,1372.0,1475.0,1289.4,1503.5,1465.0,1713.8,1710.7,1549.8,1781.3,1812.4,1737.9,1840.6,1782.5,1859.1,1951.4,1914.2,1785.2,1793.8,1994.0,1982.5
geoId-BTE,77.0,95.5,81.8,98.2,100.6,115.1,113.6,110.1,101.4,103.4,90.3,86.4,97.1,103.4,96.3,91.0,107.7,105.2,87.9,82.5,71.8,66.5,128.0,134.5,128.0,37.1,95.7,86.3
geoId-CMU,87.4,116.1,149.7,199.5,237.6,361.2,116.6,138.8,119.3,137.9,150.5,132.3,122.2,141.0,141.8,153.6,160.2,170.8,161.0,158.5,152.1,166.2,156.3,150.6,169.0,138.8,171.3,163.5
geoId-VNM,6500.8,6878.5,6637.8,7522.6,8758.3,8625.0,8328.4,9188.7,9400.8,10430.9,10436.2,9693.9,10140.8,11395.7,11212.2,11686.1,13402.9,13958.0,14623.4,14479.2,15341.3,15232.1,15461.2,15176.4,14923.1,14780.1,15163.5,14456.0
geoId-CTO,824.1,855.6,741.3,898.8,1018.0,853.7,935.6,1065.0,1057.2,556.2,582.4,530.9,505.3,577.6,531.7,562.6,654.6,679.8,733.1,721.6,762.8,782.0,830.5,835.4,800.3,820.6,838.9,802.7
geoId-HTH,93.0,101.4,119.8,88.4,132.8,133.4,156.0,171.7,169.3,177.6,155.3,176.6,115.0,186.1,188.2,142.6,180.6,183.3,171.5,189.7,203.9,199.9,199.8,200.5,174.3,207.9,229.8,224.1
geoId-HGG,,,,,,,,,,555.9,563.1,540.3,448.5,517.3,475.0,541.7,572.2,625.7,623.6,621.9,674.6,675.0,729.5,676.1,683.6,698.2,672.3,657.7
geoId-KHA,58.3,69.7,71.8,68.3,77.6,83.5,83.9,44.9,84.8,86.1,38.1,84.1,68.4,93.2,97.2,92.7,105.3,106.3,107.3,97.9,50.1,79.9,106.1,105.2,101.7,38.9,106.0,106.2
geoId-KGG,629.1,620.0,617.2,813.9,909.0,1032.5,977.9,1160.7,1030.6,1199.4,1282.0,1081.8,1230.5,1338.0,1300.0,1367.9,1723.6,1950.5,2112.8,2044.3,2135.2,2203.7,2122.7,1950.0,1983.2,2084.4,2085.0,1954.1
geoId-LAN,350.0,363.5,304.4,366.3,516.3,442.6,435.2,496.2,544.8,680.0,622.9,533.6,703.5,834.5,810.7,828.8,1031.5,1030.6,1307.4,1247.9,1331.0,1390.2,1327.0,1354.4,1295.9,1349.4,1417.2,1397.9
geoId-LDG,,,19.0,13.4,11.4,17.0,14.4,13.2,18.6,21.4,24.5,21.9,25.5,26.0,26.8,24.7,27.9,30.7,30.2,30.7,32.0,29.1,32.2,33.1,29.0,32.0,32.2,29.7
geoId-NAN,143.8,112.2,181.0,157.7,199.0,208.4,208.9,232.5,234.0,264.3,218.4,271.7,281.0,292.7,285.8,201.3,251.9,268.2,271.3,281.6,275.0,270.2,289.8,263.8,242.5,264.2,318.0,309.9
geoId-NTN,36.7,40.8,46.2,45.2,55.0,51.4,40.0,30.3,43.1,53.6,27.8,52.7,58.9,68.3,79.3,60.0,84.7,86.0,78.8,81.6,73.5,75.5,100.4,86.2,88.5,69.7,90.4,96.8
geoId-PYN,109.3,112.1,118.6,113.4,125.1,128.9,134.9,115.0,140.5,146.7,137.6,146.8,138.4,156.1,151.7,153.7,167.2,158.4,162.5,157.7,162.8,174.5,171.3,171.8,160.1,176.1,167.5,173.2
geoId-QBH,31.1,45.1,46.8,22.8,58.1,68.9,71.8,72.9,71.0,80.9,79.2,84.4,71.5,91.8,93.9,82.5,94.8,93.8,84.8,97.6,94.6,99.7,99.8,99.3,75.4,90.0,102.4,95.3
geoId-QNM,75.9,78.0,74.7,66.2,63.1,31.2,4.1,1.1,0.8,0.6,,,,,,,,,,,,,,,,,,
geoId-QNI,90.6,97.9,97.7,93.2,105.3,102.9,101.0,106.6,128.3,148.7,151.0,151.7,152.4,178.0,165.0,175.4,183.1,188.4,186.7,187.9,188.9,200.0,201.0,201.0,193.6,182.7,196.2,200.6
geoId-QTI,48.3,50.7,60.7,35.7,77.7,81.6,78.7,81.7,81.5,86.2,76.3,84.5,87.4,97.0,89.0,89.0,91.9,105.5,94.8,113.6,99.0,114.9,95.2,121.6,119.3,121.2,119.3,126.8
geoId-STG,445.4,501.6,516.6,629.0,700.2,737.0,705.4,751.9,756.7,721.4,764.1,757.4,798.9,821.4,852.2,995.1,1102.9,1214.6,1128.2,1150.8,858.2,864.5,855.1,821.0,821.1,833.8,818.2,766.3
geoId-TTH,75.1,82.3,87.9,85.2,104.1,84.0,101.8,88.0,104.2,112.5,116.0,113.4,120.2,132.2,132.5,129.8,145.0,142.0,124.7,148.7,150.7,153.8,148.0,155.1,145.2,149.1,150.3,139.5
geoId-TGG,714.0,741.1,757.1,789.1,804.7,754.5,741.0,730.9,745.1,787.0,775.6,712.4,775.5,769.8,772.9,783.4,792.4,807.7,801.2,812.8,803.4,765.1,778.8,741.2,656.5,427.2,469.0,488.4
geoId-HCM,47.0,53.8,43.2,45.3,49.9,51.5,41.7,37.1,35.2,32.5,22.0,20.9,26.6,28.4,26.8,25.0,24.4,24.8,26.4,27.3,31.5,28.1,27.5,26.1,28.0,29.8,29.6,30.7
geoId-TVH,220.5,231.2,249.8,261.4,338.2,363.3,326.7,345.3,362.9,361.2,340.5,341.8,384.6,396.4,396.2,379.0,431.9,434.8,418.1,407.0,859.1,667.9,773.4,815.0,795.0,716.7,759.7,640.3
geoId-TNN,0.0,0.0,19.0,13.4,11.4,17.0,14.4,13.2,18.6,21.4,24.5,21.9,25.5,26.0,26.8,24.7,27.9,30.7,30.2,30.7,32.0,29.1,32.2,33.1,29.0,32.0,32.2,29.7
geoId-TNH,77.4,97.2,93.2,99.1,143.8,163.7,139.9,163.2,184.4,194.7,164.4,175.2,197.8,230.2,243.3,232.0,253.1,249.3,249.2,247.6,250.7,254.5,264.9,272.7,266.3,266.8,272.3,264.1
geoId-VLG,446.7,457.6,433.2,509.8,540.4,492.2,497.5,509.4,503.4,532.7,535.3,507.4,392.0,464.8,483.9,475.0,597.5,645.1,641.7,651.3,657.7,548.2,588.4,597.7,562.6,534.8,482.6,354.9
geoId-DNG,9.7,9.8,9.1,8.0,7.0,3.1,1.7,2.5,0.4,,,,,,,,,,,,,,,,,,,
geoId-ST,222.9,250.7,221.3,230.3,289.7,334.3,295.2,314.5,345.8,361.8,325.8,329.2,359.2,402.8,418.6,391.0,435.2,437.9,432.5,434.8,444.7,439.8,450.9,465.4,454.7,456.8,462.5,457.8
geoId-MRD,5296.4,5598.2,5250.1,6275.9,7200.7,7004.5,6738.5,7649.9,7664.4,8572.7,8796.5,7839.3,8291.1,9253.1,9056.1,9720.6,11158.5,11677.0,12422.8,12173.1,13082.1,12904.1,13026.7,12763.7,12654.2,12497.5,12674.8,11985.9
geoId-DNI,74.2,77.3,63.5,62.5,68.3,88.7,82.1,86.5,97.5,104.0,110.9,104.2,109.3,113.9,113.6,107.8,120.8,124.7,118.6,120.3,119.7,113.3,113.3,118.4,112.8,112.6,111.2,110.3
geoId-DTP,669.9,734.4,627.6,778.2,935.4,682.2,728.3,880.0,933.0,1128.8,1243.7,1061.0,1121.8,1266.3,1222.0,1334.3,1618.2,1547.0,1854.2,1803.0,1941.3,1976.5,1952.4,1892.0,1912.4,1922.5,1904.7,1850.2
