"Tỉnh, thành phố",2018,2019,2020,2021,Sơ bộ 2022
geoId-AGG,5964.0,4865.8,3865.4,2111.2,2149.4
geoId-BR-VT,1537.2,1449.6,1417.9,1733.6,2274.0
geoId-BDG,590.7,587.7,596.9,586.0,611.7
geoId-BPC,199.8,171.0,115.2,115.1,115.1
geoId-BTN,7780.2,9770.6,8556.3,10575.5,11887.0
geoId-BDH,34207.5,34959.6,34476.9,37674.0,39177.3
geoId-BGG,26880.7,25498.6,25126.3,22565.0,21334.7
geoId-BKN,1005.0,1034.0,1049.7,1068.6,1059.4
geoId-BNH,1469.2,1312.4,1317.9,1313.9,1305.8
geoId-SCC,202209.9,197581.4,190518.9,198995.6,185515.1
geoId-BTE,907.0,832.0,426.1,499.5,471.2
geoId-CBG,2850.6,2725.7,3062.0,2848.9,2573.8
geoId-VNM,456761.8,442558.6,425519.1,430366.5,408084.0
geoId-CTO,63.0,78.0,52.0,69.6,62.3
geoId-GLI,2207.4,2283.4,2941.7,3232.0,3879.8
geoId-HBH,8478.7,8934.8,9394.9,9713.9,9588.5
geoId-HGG,22958.0,23743.8,23180.1,26958.1,25615.5
geoId-HNM,1118.1,1332.7,1260.5,1436.5,1216.1
geoId-HNI,6118.6,6000.9,5329.5,5573.8,5361.3
geoId-HTH,36267.2,31619.3,27695.5,29129.7,22268.4
geoId-HYN,2942.0,2607.2,2368.6,2213.2,2150.0
geoId-HDG,2379.1,2605.7,1888.5,2150.1,1972.8
geoId-HPG,346.7,288.5,302.5,358.1,402.2
geoId-KHA,1263.2,1342.8,1272.9,1147.9,1035.6
geoId-KGG,51.0,46.0,34.0,35.7,37.5
geoId-KTM,253.0,311.5,280.0,268.3,271.2
geoId-LCU,1864.5,1713.1,1713.6,1400.3,1057.2
geoId-LAN,9714.4,2527.6,867.8,841.1,516.8
geoId-LCI,1868.0,2030.0,2006.9,1957.7,1581.5
geoId-LDG,539.4,698.0,899.9,1077.2,1108.1
geoId-LSN,5691.0,5284.2,5711.1,5792.3,5111.0
geoId-NDH,20804.0,22023.0,23061.4,20930.5,21525.0
geoId-NAN,36597.6,38374.3,34284.8,33546.4,31936.7
geoId-NBH,8870.4,8044.8,7679.0,7551.5,7240.3
geoId-NTN,997.0,1067.8,1174.1,1114.1,1069.8
geoId-PTO,8183.5,7966.0,7345.2,7227.0,6746.8
geoId-PYN,1895.4,1583.5,1625.0,1101.3,1224.5
geoId-QBH,10465.8,10797.0,9643.5,10122.1,9342.3
geoId-QNM,21292.0,19467.0,22254.0,24921.0,23388.0
geoId-QNI,13761.4,13810.3,14118.1,14761.4,14510.5
geoId-QNH,3796.8,3721.6,3580.2,3992.5,3162.8
geoId-QTI,7330.1,7058.3,6827.2,7755.0,5591.8
geoId-STG,703.0,532.0,405.0,375.0,383.3
geoId-SLA,1480.0,1402.0,1552.0,1636.8,1504.0
geoId-THA,22286.6,21484.2,20735.0,20717.5,19732.0
geoId-TBH,6778.3,7620.9,7055.9,7235.5,7492.6
geoId-TNN,6262.9,5952.5,5618.2,5773.7,6083.7
geoId-TTH,7361.8,5520.5,7214.4,5714.7,3811.2
geoId-TGG,1350.3,809.1,635.1,618.8,673.1
geoId-HCM,361.7,439.3,274.7,225.9,221.5
geoId-NT,105323.5,103916.1,104000.7,105222.3,100088.0
geoId-TVH,22349.6,23205.2,21436.0,21841.3,21334.0
geoId-TQG,12532.2,12772.0,13498.1,13455.2,12990.3
geoId-TNN,22159.9,23509.8,23873.6,22517.3,22522.4
geoId-TNH,20602.5,17662.9,14497.6,13848.7,12197.5
geoId-VLG,131.5,117.4,132.6,156.3,157.8
geoId-VPC,4872.6,5067.9,4908.1,4730.7,4081.6
geoId-YBI,3346.5,3319.0,3282.1,3368.6,3476.0
geoId-DBN,1922.1,1540.4,1460.3,1456.0,1365.8
geoId-DNG,704.1,726.2,641.3,714.8,540.0
geoId-ST,26045.8,23628.4,20279.9,19409.9,18039.5
geoId-DLK,8474.2,11266.0,8375.0,9496.6,9116.6
geoId-DNG1,10686.0,8951.0,11377.0,8443.2,8146.8
geoId-MRD,41526.8,33297.3,28094.0,26735.1,26008.6
geoId-RRD,59495.9,60625.5,58752.0,57486.4,55910.4
geoId-DNI,2753.7,3317.9,3377.7,2900.5,2619.8
geoId-DTP,293.0,273.5,240.0,182.0,221.5
