dia phuong,Năm,Lúa,Ngô,Mía,Sắn,Lạc,Khoai lang
geoId-VNM,2000,110.4,114.4,84.7,,111.7,
geoId-VNM,2001,99.4,107.8,97.4,,102.2,
geoId-VNM,2002,108.0,116.2,116.8,,110.3,
geoId-VNM,2003,100.6,124.9,98.5,,101.4,
geoId-VNM,2004,101.5,109.4,92.8,,115.5,
geoId-VNM,2005,99.1,110.4,95.5,,104.3,
geoId-VNM,2006,100.0,101.8,111.8,,94.5,
geoId-VNM,2007,100.3,111.6,104.1,,110.3,
geoId-VNM,2008,107.8,106.3,92.8,,104.0,
geoId-VNM,2009,100.6,95.6,96.7,,96.4,
geoId-VNM,2010,102.7,105.8,103.5,100.8,95.4,138.8
geoId-VNM,2011,106.0,104.5,108.5,115.2,96.2,103.3
geoId-VNM,2012,103.2,102.9,108.4,98.4,100.0,104.8
geoId-VNM,2013,100.7,104.4,105.9,100.2,105.0,95.2
geoId-VNM,2014,102.1,100.2,98.5,104.6,92.2,103.2
geoId-VNM,2015,100.3,101.6,92.5,105.2,100.2,95.3
geoId-VNM,2016,95.6,99.2,93.9,101.6,94.1,95.0
geoId-VNM,2017,99.1,97.4,106.7,94.1,107.6,106.6
geoId-VNM,2018,103.1,95.4,97.8,95.9,99.4,101.6
geoId-VNM,2019,98.7,97.1,87.4,103.3,96.9,104.2
geoId-VNM,2020,98.3,96.3,73.5,103.2,96.1,96.2
geoId-VNM,2021,102.5,97.5,93.1,100.6,101.1,89.4
geoId-VNM,Sơ bộ 2022,97.3,99.5,103.2,100.6,94.8,79.3
