"Tỉnh, thành phố",1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,Sơ bộ 2022
geoId-AGG,11.6,18.4,14.9,9.0,23.5,8.1,72.7,65.6,88.1,2.8,14.5,18.2,16.1,23.9,13.0,21.6,3.2,27.3,18.0,19.4,15.4,26.3,28.5,18.6,19.9,9.0,15.4,15.8
geoId-BR-VT,90.1,39.3,81.1,71.7,53.8,53.0,111.8,83.5,137.2,135.7,144.0,150.2,152.9,187.2,194.9,212.5,388.9,212.0,205.6,208.5,218.7,215.0,211.3,175.8,185.4,186.9,188.1,149.0
geoId-BDG,44.0,19.6,51.4,12.6,10.7,12.1,105.7,121.9,128.5,133.5,117.8,124.7,120.0,119.9,118.5,117.7,1325.9,112.3,74.7,82.6,87.0,89.0,87.1,85.4,80.1,78.4,78.0,74.4
geoId-BPC,65.5,29.1,15.6,2.7,11.1,13.9,370.6,542.4,534.9,528.0,493.8,505.9,553.9,564.5,469.4,464.2,80.2,470.0,440.0,431.7,413.8,403.6,378.7,327.5,224.5,144.5,124.9,111.5
geoId-BTN,35.5,40.0,52.7,43.8,57.3,52.2,66.0,126.2,165.1,191.0,216.9,308.5,383.1,467.4,434.5,481.7,584.5,511.4,501.2,521.3,521.4,495.1,477.9,455.7,497.7,516.8,515.6,535.0
geoId-BDH,61.3,66.0,81.3,96.5,78.5,88.6,103.4,121.6,151.3,186.1,212.2,239.0,253.7,295.9,314.0,296.0,317.8,319.5,333.6,329.8,334.0,323.7,306.3,314.6,325.7,309.6,284.1,273.3
geoId-BGG,58.0,49.5,45.7,40.8,30.4,32.2,33.3,32.0,28.7,33.0,36.6,50.8,54.1,67.7,62.9,70.1,80.4,81.1,82.3,82.9,71.7,63.2,52.3,45.2,40.3,33.1,23.0,18.5
geoId-BKN,14.6,10.1,18.7,22.0,26.7,26.8,26.6,34.5,31.3,29.9,21.2,19.4,21.9,24.0,21.1,22.6,27.8,27.0,33.2,31.3,32.1,25.7,19.5,13.2,7.2,4.7,4.1,3.7
geoId-BTE,8.5,8.5,5.1,5.5,5.0,5.2,4.7,4.9,4.4,3.7,3.7,2.1,2.5,2.2,2.0,,,,,,,,,,,,,
geoId-CBG,14.5,9.2,13.1,12.2,11.7,13.0,13.0,12.8,14.4,20.6,21.6,19.4,20.7,21.6,20.6,22.7,33.6,32.2,40.8,45.1,59.9,51.9,43.1,37.2,44.5,33.7,44.8,51.9
