dia phuong,Năm,Tổng số,Khai thác biển,Cá (Khai thác biển),Khai thác nội địa
geoId-VNM,1990,,,,
geoId-VNM,1991,110.0,106.3,99.8,142.0
geoId-VNM,1992,105.2,105.2,102.1,105.8
geoId-VNM,1993,108.2,107.6,105.2,111.9
geoId-VNM,1994,122.9,120.5,108.0,137.9
geoId-VNM,1995,106.6,104.6,101.3,117.4
geoId-VNM,1996,106.9,106.9,111.9,107.0
geoId-VNM,1997,103.0,103.8,103.4,99.0
geoId-VNM,1998,103.1,105.1,102.6,93.0
geoId-VNM,1999,112.5,113.8,113.8,104.8
geoId-VNM,2000,108.8,108.0,110.3,114.1
geoId-VNM,2001,103.8,104.3,104.2,101.0
geoId-VNM,2002,104.5,106.4,106.2,93.2
geoId-VNM,2003,103.0,104.5,103.2,92.1
geoId-VNM,2004,104.5,105.2,108.7,98.9
geoId-VNM,2005,102.5,103.3,102.5,95.3
geoId-VNM,2006,101.9,101.8,102.1,103.1
geoId-VNM,2007,102.4,102.9,102.6,97.7
geoId-VNM,2008,103.0,103.8,103.0,95.7
geoId-VNM,2009,106.7,107.4,106.7,99.5
geoId-VNM,2010,108.4,108.7,105.8,105.0
geoId-VNM,2011,105.0,104.8,104.4,106.8
geoId-VNM,2012,105.0,105.5,106.2,99.1
geoId-VNM,2013,104.0,104.5,104.1,98.2
geoId-VNM,2014,106.2,106.3,107.1,104.1
geoId-VNM,2015,105.5,106.9,108.6,87.8
geoId-VNM,2016,102.8,102.8,103.4,102.8
geoId-VNM,2017,106.1,105.9,106.1,110.2
geoId-VNM,2018,105.7,106.2,107.6,97.5
geoId-VNM,2019,104.6,105.3,107.0,94.3
geoId-VNM,2020,101.8,101.8,102.2,100.0
geoId-VNM,2021,101.1,101.2,101.3,99.4
geoId-VNM,Sơ bộ 2022,98.4,98.0,97.9,104.4
