dia phuong,Năm,Tổng số,Cá,Tôm
geoId-VNM,1990,98.3,93.7,121.7
geoId-VNM,1991,103.7,102.3,109.5
geoId-VNM,1992,102.9,102.4,104.5
geoId-VNM,1993,108.8,103.1,105.3
geoId-VNM,1994,182.9,127.7,113.5
geoId-VNM,1995,113.1,117.2,123.7
geoId-VNM,1996,108.7,122.4,89.9
geoId-VNM,1997,98.0,109.1,99.2
geoId-VNM,1998,102.5,102.3,111.4
geoId-VNM,1999,113.1,117.6,104.7
geoId-VNM,2000,122.6,116.4,162.6
geoId-VNM,2001,120.4,107.6,165.7
geoId-VNM,2002,119.0,115.5,120.2
geoId-VNM,2003,118.7,124.2,127.8
geoId-VNM,2004,119.9,126.0,118.5
geoId-VNM,2005,122.9,127.5,116.1
geoId-VNM,2006,114.6,119.1,108.3
geoId-VNM,2007,125.3,132.3,108.5
geoId-VNM,2008,116.1,121.8,101.0
geoId-VNM,2009,105.0,105.3,108.0
geoId-VNM,2010,105.5,105.4,109.4
geoId-VNM,2011,109.9,111.1,104.9
geoId-VNM,2012,105.9,105.3,101.7
geoId-VNM,2013,103.8,100.9,113.2
geoId-VNM,2014,103.4,101.2,112.2
geoId-VNM,2015,104.1,103.4,102.2
geoId-VNM,2016,103.1,101.7,104.2
geoId-VNM,2017,107.6,106.2,113.1
geoId-VNM,2018,107.3,107.2,108.9
geoId-VNM,2019,108.7,108.2,110.4
geoId-VNM,2020,103.2,102.1,104.9
geoId-VNM,2021,103.1,101.8,107.5
geoId-VNM,Sơ bộ 2022,107.1,105.4,112.8
