dia phuong,Năm,Tổng số,Khai thác,Nuôi trồng
geoId-VNM,1990,101.1,101.7,98.3
geoId-VNM,1991,108.8,110.0,103.7
geoId-VNM,1992,104.8,105.2,102.9
geoId-VNM,1993,108.3,108.2,108.8
geoId-VNM,1994,133.2,122.9,182.9
geoId-VNM,1995,108.2,106.6,113.1
geoId-VNM,1996,107.4,106.9,108.7
geoId-VNM,1997,101.7,103.0,98.0
geoId-VNM,1998,103.0,103.1,102.5
geoId-VNM,1999,112.6,112.5,113.1
geoId-VNM,2000,112.1,108.8,122.6
geoId-VNM,2001,108.2,103.8,120.4
geoId-VNM,2002,108.7,104.5,119.0
geoId-VNM,2003,108.0,103.0,118.7
geoId-VNM,2004,109.9,104.5,119.9
geoId-VNM,2005,110.3,102.5,122.9
geoId-VNM,2006,107.3,101.9,114.6
geoId-VNM,2007,112.8,102.4,125.3
geoId-VNM,2008,109.6,103.0,116.1
geoId-VNM,2009,105.8,106.7,105.0
geoId-VNM,2010,106.9,108.4,105.5
geoId-VNM,2011,107.6,105.0,109.9
geoId-VNM,2012,105.5,105.0,105.9
geoId-VNM,2013,103.9,104.0,103.8
geoId-VNM,2014,104.7,106.2,103.4
geoId-VNM,2015,104.8,105.5,104.1
geoId-VNM,2016,102.9,102.8,103.1
geoId-VNM,2017,106.9,106.1,107.6
geoId-VNM,2018,106.5,105.7,107.3
geoId-VNM,2019,106.8,104.6,108.7
geoId-VNM,2020,102.5,101.8,103.2
geoId-VNM,2021,102.2,101.1,103.1
geoId-VNM,Sơ bộ 2022,103.2,98.4,107.1
