"Tỉnh, thành phố",2018,2019,2020,2021,Sơ bộ 2022
geoId-AGG,6896.7,6505.7,7100.6,8489.8,7038.2
geoId-BR-VT,5664.5,5747.6,5939.8,6090.8,6215.4
geoId-BDG,3016.4,3090.0,3121.2,3224.0,3526.0
geoId-BPC,2753.6,2717.0,2787.0,2861.0,3008.0
geoId-BTN,7783.1,7798.5,8082.9,8229.7,8408.8
geoId-BDH,31637.7,33243.8,35361.5,36179.2,36763.7
geoId-BLU,144.0,147.0,154.0,156.0,152.0
geoId-BGG,6286.0,7328.7,5997.5,5575.0,5464.2
geoId-BKN,1290.0,1238.0,1157.0,1218.0,1224.0
geoId-BNH,2113.3,2005.2,2007.7,1987.8,1232.0
geoId-SCC,152207.5,157616.3,163632.0,166874.1,171539.1
geoId-BTE,19989.0,23599.0,28697.0,29920.0,31144.0
geoId-CBG,1969.5,2149.1,2349.7,2298.8,2300.2
geoId-CMU,20.4,19.1,20.3,20.8,21.3
geoId-VNM,413138.3,426951.1,441741.4,466201.2,481351.7
geoId-CTO,247.0,265.0,299.6,328.7,409.5
geoId-GLI,34960.0,36294.8,35574.7,44400.6,46250.0
geoId-HBH,2865.0,2977.8,3037.0,3110.0,3236.0
geoId-HGG,3505.0,3763.5,3987.0,4127.9,4162.7
geoId-HNM,2098.6,2228.0,2255.0,2280.0,2357.4
geoId-HNI,10660.0,10548.0,10571.0,10597.2,10611.0
geoId-HTH,9950.0,9707.0,10370.0,9815.0,9650.0
geoId-HYN,3150.0,3375.0,3521.0,3809.8,4105.0
geoId-HDG,1680.0,1701.2,1816.6,1723.7,1665.1
geoId-HPG,1422.7,1184.8,1009.4,1128.3,1012.9
geoId-HGG,195.4,211.1,218.9,212.1,212.6
geoId-KHA,3950.9,4006.1,3956.4,3921.7,4013.3
geoId-KGG,953.0,955.0,924.3,921.7,748.5
geoId-KTM,4532.0,4655.0,4818.2,5053.7,5324.2
geoId-LCU,384.4,430.2,441.0,452.0,454.5
geoId-LAN,4642.8,4344.9,4550.0,4470.3,9001.3
geoId-LCI,557.0,528.0,566.0,658.7,798.3
geoId-LDG,5207.3,5854.3,5722.7,5881.3,5685.2
geoId-LSN,1484.8,1525.1,1573.5,1399.8,1261.2
geoId-NDH,2908.0,2932.0,2935.0,2940.0,2953.0
geoId-NAN,18029.0,18914.0,19585.0,20525.0,21272.0
geoId-NBH,2550.6,2468.4,2465.2,2483.7,2567.4
geoId-NTN,4230.3,4790.5,5004.0,5295.4,5393.2
geoId-PTO,7313.2,7676.7,7695.9,8002.2,8289.3
geoId-PYN,17050.0,16530.0,15946.0,16076.6,16757.9
geoId-QBH,6377.9,6654.3,8267.1,9294.9,9815.4
geoId-QNM,10385.0,10995.0,11072.0,11020.0,11565.9
geoId-QNI,19039.3,19849.1,20787.0,20726.8,21419.7
geoId-QNH,2527.5,2670.5,2884.1,5686.3,5768.5
geoId-QTI,3030.0,2913.0,2925.1,2989.8,2989.8
geoId-STG,1557.0,1898.0,2254.7,2350.0,2100.9
geoId-SLA,5195.0,5577.0,6065.0,6254.0,6418.0
geoId-THA,18457.0,19929.0,20218.0,20694.0,21482.0
geoId-TBH,7883.0,8558.0,4446.0,9109.0,9530.0
geoId-TNN,2713.0,3153.0,5916.0,3947.7,4622.5
geoId-TTH,1489.3,1462.0,1222.0,1214.0,1196.0
geoId-TGG,22788.0,22798.3,20707.0,22500.0,21454.3
geoId-HCM,10217.9,10609.1,10720.0,9850.0,10559.8
geoId-NT,37413.3,40649.6,43414.7,41873.5,43403.5
geoId-TVH,10794.0,11270.0,12712.3,13075.3,13715.3
geoId-TQG,1299.3,1405.4,1473.1,1559.3,1755.4
geoId-TNN,59979.3,63866.1,65399.6,76797.7,79897.6
geoId-TNH,6336.1,3868.0,2824.8,2848.9,2936.9
geoId-VLG,11097.0,11504.0,14433.0,12943.4,13641.8
geoId-VPC,6008.9,5870.1,5624.3,5710.4,5647.9
geoId-YBI,779.3,956.2,1129.6,1185.9,1234.5
geoId-DBN,1771.8,1941.1,2026.3,2084.3,2182.9
geoId-DNG,798.0,824.0,835.0,892.0,811.4
geoId-ST,34416.5,30307.8,29789.4,29536.8,31026.6
geoId-DLK,13650.0,15131.0,17914.0,19253.1,20281.6
geoId-DNG1,1630.0,1931.0,1370.0,2209.0,2356.6
geoId-MRD,86119.2,90970.1,99970.6,103663.1,108034.7
geoId-RRD,43002.5,43541.2,39535.1,47456.1,47450.2
geoId-DNI,6428.0,4276.1,4396.5,4662.1,4780.5
geoId-DTP,6795.0,7453.0,7899.0,8275.0,8395.0
