"Tỉnh, thành phố",2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,Sơ bộ 2022
geoId-AGG,2492.0,3160.0,3237.0,3698.0,2606.0,2835.0,2953.0,4552.0,4802.0,4021.0,4067.2,4117.0,4072.8,4049.4,4362.8,4383.2,4425.8,4073.6,4126.1,4498.0,4640.3,5487.6,6440.3
geoId-BR-VT,1443.0,1480.0,1501.0,1993.0,1265.0,1644.0,1663.0,1501.0,1857.0,2257.0,2485.0,3101.8,2938.5,3191.7,3370.9,3435.3,3758.0,3939.2,4075.9,4916.2,5500.1,5502.3,6187.1
geoId-BDG,2225.0,2284.0,2360.0,2414.0,1707.0,1721.0,2022.0,2058.0,1901.0,2406.0,2826.0,3288.3,3267.0,5392.1,6373.7,7188.7,8723.3,9381.8,9848.8,11853.4,13110.9,13780.5,14733.6
geoId-BPC,999.0,1421.0,1465.0,1561.0,860.0,820.0,1465.0,1358.0,1475.0,1907.0,2623.0,3311.0,3585.6,4010.7,4283.6,4373.1,4765.7,4883.5,5261.1,6924.0,7343.0,7490.0,10085.2
geoId-BTN,3514.0,2727.0,3470.0,3488.0,2307.0,2593.0,1957.0,1781.0,2116.0,2271.0,2391.0,2720.2,3061.0,3174.0,2938.0,3195.0,3286.0,3360.0,3542.0,3650.0,4256.0,4723.3,6354.5
geoId-BDH,3462.0,3515.0,3998.0,3865.0,3321.0,3004.0,2992.0,3633.0,4269.0,5065.0,5657.0,6220.8,6719.0,6606.8,6728.6,6673.2,6694.6,6809.7,7320.8,8199.5,8501.5,8819.3,9548.6
geoId-BLU,3309.0,1988.0,2398.0,2192.0,1401.0,1116.0,1235.0,1360.0,1624.0,2089.0,2602.4,2211.7,2281.5,2459.7,2503.9,2606.9,2622.6,2745.1,2802.0,2861.0,3018.0,2953.0,3326.8
geoId-BGG,7077.0,7564.0,8102.0,9662.0,8257.0,9075.0,10280.0,10979.0,12067.0,14338.0,15420.0,15537.0,15596.0,16007.0,16106.0,16577.0,17007.0,17104.4,17488.3,17590.3,18458.1,19083.7,19751.7
geoId-BKN,1227.0,948.0,990.0,1208.0,1220.0,1205.0,1126.0,1012.0,1200.0,1208.0,1179.0,1206.0,1195.0,1872.2,1942.0,2020.5,2104.1,1984.8,2130.7,2054.1,1978.1,1983.0,2054.0
geoId-BNH,3038.0,3406.0,3802.0,3956.0,3388.0,3676.0,3312.0,3807.0,3924.0,3971.0,4229.0,4418.7,4126.0,4463.0,4556.4,4680.0,4768.2,5175.5,5275.9,5619.2,5768.4,6154.8,4636.6
geoId-SCC,40385.0,44870.0,49279.0,57005.0,53300.0,54392.0,48335.0,49889.0,52509.0,61094.0,64082.0,68611.8,71923.2,74022.8,75199.4,77644.9,84531.3,86564.9,90731.2,99666.6,108436.1,114138.9,121969.2
geoId-BTE,5045.0,4755.0,5052.0,5622.0,2705.0,2660.0,2617.0,2767.0,3565.0,3982.0,4667.0,5377.5,5085.0,5140.0,4992.0,4742.0,1465.9,5212.0,6149.0,7834.0,8550.0,8429.0,7570.0
