dia phuong,Năm,Trâu,Bò,Ngựa,"Dê, cừu",Lợn (*),Gia cầm (**) (Triệu con)
geoId-VNM,1990,99.4,97.4,99.4,96.1,100.4,102.5
geoId-VNM,1991,100.2,100.6,94.6,83.9,99.5,101.5
geoId-VNM,1992,101.0,102.1,99.6,99.9,113.9,114.2
geoId-VNM,1993,102.6,104.1,99.8,113.0,107.1,107.1
geoId-VNM,1994,100.6,104.0,98.6,121.2,104.8,103.3
geoId-VNM,1995,99.5,105.0,96.7,128.7,104.6,103.1
geoId-VNM,1996,99.7,104.4,99.2,93.2,103.8,106.5
geoId-VNM,1997,99.7,102.8,95.2,100.4,104.2,106.1
geoId-VNM,1998,100.3,102.1,102.5,99.9,102.8,103.6
geoId-VNM,1999,100.1,101.9,121.8,91.5,104.2,107.8
geoId-VNM,2000,98.0,101.6,84.6,115.5,106.9,109.4
geoId-VNM,2001,96.9,94.5,89.6,105.1,108.0,111.2
geoId-VNM,2002,100.2,104.2,97.8,108.7,106.3,107.0
geoId-VNM,2003,100.7,108.2,101.4,125.5,107.4,109.1
geoId-VNM,2004,101.2,111.7,98.5,131.1,105.1,85.7
geoId-VNM,2005,101.8,112.9,99.7,128.5,104.9,100.8
geoId-VNM,2006,100.0,117.5,79.0,116.1,97.9,97.6
geoId-VNM,2007,102.6,103.3,118.5,116.5,98.9,105.3
geoId-VNM,2008,96.7,94.2,117.1,83.4,100.5,109.9
geoId-VNM,2009,99.6,96.3,84.3,92.7,103.5,112.8
geoId-VNM,2010,99.7,95.2,91.1,93.7,99.1,107.2
geoId-VNM,2011,93.0,92.2,94.6,98.4,98.9,106.6
geoId-VNM,2012,96.8,95.6,,106.0,101.8,103.3
geoId-VNM,2013,97.6,99.4,,109.1,99.0,103.9
geoId-VNM,2014,100.8,104.1,,113.8,102.0,102.4
geoId-VNM,2015,101.5,106.8,,113.0,103.8,104.4
geoId-VNM,2016,100.5,108.2,,,106.9,107.0
geoId-VNM,2017,98.7,101.1,,,94.3,102.9
geoId-VNM,2018,95.5,100.6,,,102.5,107.1
geoId-VNM,2019,96.1,99.3,,,67.7,110.2
geoId-VNM,2020,97.7,100.8,,,109.0,106.7
geoId-VNM,2021,97.0,100.1,,,105.3,102.2
geoId-VNM,Sơ bộ 2022,98.6,100.2,,,106.4,104.0
