"Tỉnh, thành phố",Năm,Tổng số,Trang trại trồng trọt,Trang trại chăn nuôi,Trang trại nuôi trồng thuỷ sản,Trang trại khác(*)
geoId-AGG,2011,663.0,605.0,3.0,52.0,3.0
geoId-AGG,2012,571.0,533.0,8.0,30.0,
geoId-AGG,2013,539.0,510.0,10.0,19.0,
geoId-AGG,2014,758.0,715.0,17.0,26.0,
geoId-AGG,2015,697.0,653.0,18.0,26.0,
geoId-AGG,2016,1180.0,1122.0,13.0,28.0,17.0
geoId-AGG,2017,1052.0,1000.0,10.0,25.0,17.0
geoId-AGG,2018,1016.0,950.0,11.0,45.0,10.0
geoId-AGG,2019,1016.0,950.0,11.0,45.0,10.0
geoId-AGG,2020,878.0,811.0,2.0,50.0,15.0
geoId-AGG,2021,857.0,795.0,3.0,45.0,14.0
geoId-AGG,2022,836.0,755.0,,79.0,2.0
geoId-BR-VT,2011,199.0,68.0,120.0,7.0,4.0
geoId-BR-VT,2012,224.0,66.0,142.0,14.0,2.0
geoId-BR-VT,2013,235.0,66.0,153.0,14.0,2.0
geoId-BR-VT,2014,286.0,60.0,211.0,12.0,3.0
geoId-BR-VT,2015,298.0,62.0,221.0,12.0,3.0
geoId-BR-VT,2016,335.0,111.0,208.0,10.0,6.0
geoId-BR-VT,2017,505.0,127.0,42.0,336.0,
geoId-BR-VT,2018,302.0,97.0,194.0,8.0,3.0
geoId-BR-VT,2019,302.0,97.0,194.0,8.0,3.0
geoId-BR-VT,2020,266.0,63.0,195.0,2.0,6.0
geoId-BR-VT,2021,271.0,73.0,181.0,11.0,6.0
geoId-BR-VT,2022,319.0,91.0,203.0,21.0,4.0
geoId-BDG,2011,1223.0,879.0,341.0,2.0,1.0
geoId-BDG,2012,1131.0,793.0,335.0,2.0,1.0
geoId-BDG,2013,1149.0,751.0,395.0,3.0,
geoId-BDG,2014,1105.0,545.0,549.0,8.0,3.0
geoId-BDG,2015,1100.0,509.0,579.0,9.0,3.0
geoId-BDG,2016,901.0,129.0,761.0,9.0,2.0
geoId-BDG,2017,918.0,128.0,778.0,11.0,1.0
geoId-BDG,2018,846.0,128.0,709.0,8.0,1.0
geoId-BDG,2019,862.0,128.0,725.0,8.0,1.0
geoId-BDG,2020,759.0,125.0,627.0,7.0,
geoId-BDG,2021,804.0,139.0,664.0,1.0,
geoId-BDG,2022,803.0,135.0,667.0,1.0,
geoId-BPC,2011,1237.0,1146.0,88.0,,3.0
geoId-BPC,2012,1371.0,1280.0,89.0,,2.0
geoId-BPC,2013,1326.0,1197.0,121.0,,8.0
geoId-BPC,2014,945.0,798.0,147.0,,
geoId-BPC,2015,968.0,794.0,174.0,,
geoId-BPC,2016,853.0,625.0,183.0,,45.0
geoId-BPC,2017,862.0,645.0,213.0,,4.0
geoId-BPC,2018,829.0,591.0,235.0,,3.0
geoId-BPC,2019,822.0,585.0,234.0,,3.0
geoId-BPC,2020,487.0,301.0,185.0,,1.0
geoId-BPC,2021,496.0,302.0,193.0,,1.0
geoId-BPC,2022,505.0,288.0,216.0,,1.0
geoId-BTN,2011,386.0,334.0,34.0,14.0,4.0
geoId-BTN,2012,440.0,386.0,41.0,13.0,
geoId-BTN,2013,441.0,389.0,36.0,11.0,5.0
geoId-BTN,2014,561.0,497.0,55.0,9.0,
geoId-BTN,2015,665.0,601.0,55.0,9.0,
geoId-BTN,2016,462.0,382.0,69.0,9.0,2.0
