"Tỉnh, thành phố",2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,Sơ bộ 2022
geoId-AGG,8313.0,6080.0,6135.0,6182.0,8349,8403,6180,6180,7464.0,14500.0,17273.0,663.0,571.0,539.0,758.0,697.0,1179.0,1052.0,1016.0,1016.0,878.0,857.0,836.0
geoId-BR-VT,811.0,626.0,,1012.0,959,967,658,658,691.0,715.0,718.0,199.0,224.0,235.0,286.0,298.0,332.0,305.0,302.0,302.0,266.0,271.0,319.0
geoId-BDG,1459.0,1756.0,1742.0,1802.0,1928,1913,1876,1852,1747.0,1776.0,1873.0,1223.0,1131.0,1149.0,1105.0,1100.0,901.0,918.0,846.0,862.0,759.0,804.0,803.0
geoId-BPC,3111.0,4564.0,4532.0,5066.0,5568,5527,4438,4458,4468.0,5600.0,5657.0,1237.0,1371.0,1326.0,945.0,968.0,853.0,862.0,829.0,822.0,487.0,496.0,505.0
geoId-BTN,914.0,1168.0,1204.0,1284.0,1883,1896,1884,1916,2002.0,2002.0,2807.0,386.0,440.0,441.0,561.0,665.0,462.0,466.0,483.0,464.0,400.0,413.0,400.0
geoId-BDH,595.0,400.0,450.0,766.0,913,1124,993,1019,1019.0,1019.0,1039.0,17.0,30.0,39.0,61.0,84.0,121.0,124.0,142.0,123.0,114.0,110.0,117.0
geoId-BLU,6111.0,8554.0,8530.0,8701.0,13176,12386,13336,13281,13014.0,13760.0,13432.0,3613.0,3589.0,3536.0,3479.0,2953.0,510.0,505.0,519.0,519.0,343.0,345.0,335.0
geoId-BGG,752.0,377.0,386.0,1140.0,1146,1364,1406,1324,1785.0,1281.0,2369.0,137.0,256.0,310.0,445.0,487.0,659.0,676.0,652.0,652.0,463.0,427.0,523.0
geoId-BKN,1.0,12.0,12.0,14.0,21,24,21,40,10.0,8.0,8.0,,,,1.0,1.0,1.0,1.0,1.0,3.0,,,
geoId-BNH,43.0,33.0,33.0,214.0,1501,1757,1788,1859,1962.0,2477.0,2679.0,79.0,74.0,78.0,94.0,108.0,126.0,139.0,143.0,154.0,91.0,104.0,96.0
geoId-SCC,8527.0,7791.0,8120.0,13607.0,15873,16788,17378,18015,18202.0,20420.0,21491.0,1750.0,2266.0,2450.0,2900.0,3145.0,3627.0,3758.0,3777.0,3721.0,2941.0,3078.0,3189.0
geoId-BTE,813.0,637.0,658.0,3374.0,3206,3308,3479,3516,3777.0,4114.0,4855.0,82.0,318.0,279.0,410.0,550.0,625.0,701.0,506.0,530.0,216.0,143.0,189.0
geoId-CBG,18.0,12.0,13.0,14.0,58,54,55,57,57.0,49.0,55.0,,2.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,,,
geoId-CMU,3500.0,2494.0,2497.0,2533.0,3346,3450,3357,3407,3506.0,3477.0,3616.0,22.0,37.0,37.0,56.0,63.0,95.0,107.0,97.0,97.0,212.0,236.0,250.0
geoId-VNM,57069.0,61017.0,61787.0,86141.0,110832,114362,113699,116222,120699.0,135437.0,145880.0,20078.0,22655.0,23774.0,27114.0,29389.0,33477.0,33751.0,31668.0,31908.0,23680.0,23771.0,24075.0
geoId-CTO,6.0,15.0,43.0,45.0,22,35,305,309,315.0,373.0,651.0,28.0,36.0,36.0,39.0,35.0,56.0,43.0,36.0,36.0,71.0,72.0,72.0
geoId-GLI,1200.0,1439.0,1459.0,1807.0,2090,2107,2128,2144,2194.0,2349.0,2386.0,577.0,609.0,624.0,643.0,667.0,880.0,850.0,612.0,513.0,284.0,230.0,232.0
geoId-HBH,94.0,74.0,79.0,135.0,123,137,186,198,186.0,260.0,262.0,53.0,58.0,128.0,117.0,128.0,181.0,191.0,187.0,196.0,188.0,184.0,182.0
geoId-HGG,172.0,181.0,181.0,223.0,162,173,154,158,169.0,204.0,211.0,7.0,5.0,8.0,18.0,33.0,38.0,37.0,50.0,51.0,32.0,24.0,25.0
geoId-HNM,19.0,39.0,74.0,244.0,298,273,547,558,572.0,560.0,574.0,215.0,240.0,418.0,468.0,769.0,1071.0,1032.0,739.0,739.0,619.0,438.0,435.0
geoId-HNI,203.0,140.0,145.0,277.0,466,462,491,490,2511.0,3207.0,3561.0,1123.0,1233.0,1291.0,1637.0,2137.0,3189.0,3166.0,3075.0,3227.0,1942.0,1927.0,1972.0
geoId-HNI,88.0,181.0,190.0,491.0,596,844,1574,1782,,,,,,,,,,,,,,,
geoId-HTH,280.0,44.0,73.0,86.0,277,340,403,447,478.0,1237.0,1218.0,14.0,86.0,137.0,181.0,190.0,252.0,256.0,238.0,216.0,195.0,206.0,204.0
geoId-HYN,14.0,59.0,44.0,947.0,1535,1105,2186,2264,2402.0,2414.0,2384.0,189.0,353.0,416.0,584.0,659.0,648.0,994.0,861.0,861.0,751.0,782.0,778.0
geoId-HDG,126.0,171.0,177.0,240.0,489,619,717,927,1179.0,1229.0,2523.0,289.0,506.0,525.0,579.0,626.0,1138.0,1092.0,845.0,832.0,625.0,695.0,713.0
geoId-HPG,243.0,344.0,367.0,805.0,889,1043,1418,1474,1631.0,2011.0,2209.0,398.0,421.0,571.0,614.0,624.0,901.0,675.0,718.0,731.0,492.0,527.0,607.0
geoId-HGG,,,,,48,45,51,51,51.0,60.0,94.0,4.0,4.0,3.0,11.0,11.0,23.0,22.0,21.0,22.0,38.0,52.0,41.0
geoId-KHA,850.0,849.0,849.0,1951.0,2011,1784,2498,2449,2430.0,2430.0,1952.0,56.0,62.0,59.0,69.0,71.0,144.0,150.0,157.0,193.0,225.0,243.0,274.0
geoId-KGG,1343.0,4096.0,4684.0,5128.0,6523,6876,9060,9286,9269.0,9560.0,9855.0,568.0,576.0,608.0,625.0,634.0,1044.0,1048.0,993.0,993.0,1036.0,1068.0,1025.0
geoId-KTM,255.0,252.0,365.0,303.0,350,373,417,473,528.0,575.0,605.0,55.0,61.0,62.0,67.0,66.0,77.0,77.0,78.0,78.0,53.0,54.0,68.0
geoId-LCU,,,,,12,25,116,116,120.0,221.0,223.0,,,,3.0,4.0,5.0,5.0,8.0,8.0,14.0,11.0,10.0
geoId-LAN,8905.0,2502.0,2498.0,7685.0,7721,7691,2994,2992,3336.0,3435.0,3454.0,564.0,807.0,731.0,937.0,965.0,1090.0,1125.0,1077.0,1099.0,631.0,581.0,551.0
geoId-LCI,6.0,201.0,188.0,193.0,122,129,213,257,253.0,260.0,252.0,,12.0,10.0,21.0,76.0,243.0,264.0,295.0,230.0,119.0,144.0,118.0
geoId-LDG,716.0,355.0,367.0,452.0,1884,1978,791,797,897.0,916.0,948.0,376.0,457.0,484.0,759.0,817.0,932.0,954.0,964.0,925.0,491.0,512.0,534.0
geoId-LSN,5.0,77.0,77.0,158.0,127,126,27,31,26.0,31.0,25.0,2.0,2.0,4.0,6.0,3.0,6.0,6.0,6.0,7.0,9.0,10.0,11.0
geoId-NDH,261.0,344.0,344.0,580.0,761,1134,927,997,963.0,1170.0,1265.0,306.0,366.0,391.0,412.0,424.0,426.0,432.0,404.0,387.0,293.0,296.0,312.0
geoId-NAN,1336.0,306.0,316.0,772.0,853,1072,954,979,1133.0,1723.0,1859.0,159.0,230.0,239.0,314.0,327.0,464.0,496.0,503.0,526.0,397.0,400.0,436.0
geoId-NBH,379.0,294.0,294.0,411.0,571,693,635,630,723.0,744.0,797.0,15.0,30.0,56.0,108.0,110.0,152.0,159.0,162.0,159.0,115.0,125.0,177.0
geoId-NTN,407.0,706.0,757.0,972.0,1172,1048,930,930,756.0,756.0,814.0,45.0,52.0,50.0,55.0,67.0,57.0,64.0,62.0,60.0,82.0,95.0,97.0
geoId-PTO,179.0,192.0,192.0,450.0,457,489,470,470,555.0,892.0,935.0,65.0,112.0,124.0,136.0,167.0,280.0,278.0,304.0,335.0,261.0,290.0,282.0
geoId-PYN,1293.0,910.0,915.0,2502.0,2613,2701,2735,2750,2661.0,2661.0,2702.0,45.0,64.0,74.0,101.0,123.0,182.0,184.0,176.0,178.0,72.0,70.0,74.0
geoId-QBH,318.0,425.0,425.0,713.0,714,700,796,849,943.0,1325.0,1587.0,531.0,579.0,616.0,627.0,651.0,706.0,725.0,698.0,600.0,293.0,319.0,321.0
geoId-QNM,305.0,423.0,456.0,703.0,798,916,933,917,994.0,994.0,1165.0,86.0,98.0,111.0,117.0,117.0,139.0,140.0,139.0,139.0,122.0,129.0,124.0
geoId-QNI,43.0,63.0,74.0,304.0,349,353,322,337,363.0,376.0,377.0,,20.0,20.0,31.0,43.0,46.0,60.0,66.0,63.0,62.0,59.0,69.0
geoId-QNH,568.0,863.0,857.0,1277.0,1219,1323,1378,1352,1440.0,2161.0,2253.0,63.0,141.0,212.0,316.0,329.0,319.0,341.0,358.0,310.0,149.0,141.0,161.0
geoId-QTI,256.0,525.0,529.0,604.0,668,746,741,957,911.0,1060.0,902.0,5.0,24.0,26.0,32.0,39.0,50.0,70.0,57.0,64.0,62.0,79.0,90.0
geoId-STG,2246.0,2165.0,2167.0,2794.0,4757,4757,6186,6317,6442.0,6049.0,6130.0,325.0,328.0,380.0,370.0,452.0,513.0,501.0,495.0,495.0,414.0,431.0,431.0
geoId-SLA,94.0,38.0,48.0,110.0,126,120,92,89,111.0,114.0,114.0,29.0,29.0,29.0,37.0,48.0,271.0,273.0,337.0,460.0,235.0,250.0,257.0
geoId-THA,1874.0,1564.0,1661.0,2326.0,2882,3359,3384,3655,3687.0,3963.0,4146.0,374.0,530.0,587.0,697.0,710.0,914.0,934.0,966.0,998.0,871.0,900.0,925.0
geoId-TBH,155.0,105.0,125.0,347.0,543,1182,2875,2920,2989.0,3281.0,3376.0,524.0,600.0,650.0,721.0,781.0,969.0,1014.0,926.0,791.0,590.0,606.0,615.0
geoId-TNN,320.0,379.0,379.0,429.0,661,662,587,584,638.0,702.0,923.0,270.0,416.0,445.0,548.0,548.0,800.0,753.0,783.0,783.0,761.0,753.0,780.0
