"Tỉnh, thành phố",1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,Sơ bộ 2022
geoId-AGG,5562.7,5629.24,7004.23,7572.85,7275.6,7753.1,7665.0,9249.0,11068.8,13345.5,17225.2,19227.8,23665.7,28396.2,32135.0,51086.9,46722.9,52261.4,58605.0,65295.4,74284.2,85863.5,100149.5,110379.0,123309.74,125658.1,77346.0,92737.0
geoId-BR-VT,1747.3,2237.05,2889.63,2924.38,3377.7,4275.8,4924.0,5148.0,8973.7,9558.5,9296.2,8762.4,12723.7,14050.5,18808.6,22870.9,31752.5,37102.2,38184.6,43249.1,47521.8,55579.8,60992.1,66289.3,74974.33,73804.6,67662.44,87773.38
geoId-BDG,1941.7,2742.53,2905.58,3057.5,3319.7,4082.1,4773.0,5515.0,6756.5,8386.4,10683.9,13771.0,18126.3,26344.4,33699.9,43815.5,56589.5,73197.7,77487.4,90267.1,105472.4,118538.4,135769.1,156509.6,175772.75,186462.3,158641.98,187375.05
geoId-BPC,1048.9,737.52,825.39,1081.38,1202.7,1328.1,1501.0,1707.0,2108.1,2577.4,3271.8,4570.4,5692.8,7834.1,9380.8,12286.7,16725.3,18755.1,22589.3,25255.0,29765.4,31724.1,36702.0,41963.0,47704.66,47730.8,47114.43,56215.17
geoId-BTN,1197.8,1368.64,1607.39,2072.49,2125.5,2386.4,3008.0,3515.0,4444.5,5501.1,6752.9,8302.2,9825.0,12028.4,14004.5,16631.7,20666.4,24134.0,27843.0,31737.2,36301.1,38934.6,45121.8,50441.3,56470.61,59200.2,59470.1,74261.0
geoId-BDH,2707.0,3116.1,3312.79,3694.46,4121.3,4464.8,4798.0,5263.0,5740.3,6578.3,7968.4,9640.5,11772.2,15835.6,18797.3,23005.0,28708.5,32822.7,36779.4,41033.6,45815.2,51166.8,57181.0,64434.5,73410.6,75272.6,73877.61,86965.72
geoId-BLU,1008.5,1100.0,1180.0,1400.0,1446.5,2224.9,2300.0,2800.0,3400.0,3536.0,4950.1,6125.7,7154.0,9448.6,11600.0,13982.7,19970.1,24567.5,28385.3,42420.3,36915.1,40136.7,43205.9,50700.1,57508.8,61608.1,62507.58,77996.96
geoId-BGG,515.8,1028.03,1018.63,1437.5,1200.5,619.0,1561.0,1763.0,2012.4,2366.6,2799.7,3194.5,3881.4,4714.9,5996.2,7316.9,9342.9,11297.6,13220.2,14973.9,19717.1,22539.2,25989.9,29353.8,33155.4,35248.0,37370.35,39992.71
geoId-BKN,117.0,182.64,190.91,228.0,273.0,302.9,335.0,404.0,474.6,538.2,627.0,750.2,936.6,1202.2,1528.0,1832.5,2758.0,3289.5,3458.5,3715.5,4040.2,4106.4,4517.4,5011.8,5598.94,5694.5,6083.19,6936.53
geoId-BNH,2964.4,3163.08,3178.17,3203.58,3276.5,1490.5,1779.0,2090.0,2664.3,3400.9,4116.0,5050.1,6680.4,9888.2,13520.8,18701.0,19790.4,23069.8,26247.0,29379.1,34324.3,40809.1,46057.1,51898.9,57518.32,55501.1,50274.02,67983.43
geoId-SCC,20803.9,24336.96,27696.34,31109.53,33561.9,35433.5,40921.0,44666.0,53700.8,63516.3,76728.3,95477.0,119845.0,156810.4,194927.1,247026.1,306864.8,356184.2,409152.1,464501.1,522495.7,576094.5,640877.2,710326.6,794762.48,739088.0,727053.51,918285.36
geoId-BTE,786.5,1020.83,1344.65,1171.21,1408.7,1298.4,1600.0,1714.0,3694.5,4598.6,5458.0,6460.1,8261.6,10878.2,12587.0,16025.8,19325.1,20607.7,23323.7,25551.4,28161.4,30260.3,34583.6,38566.4,44025.46,46589.9,47255.0,53519.0
geoId-CBG,237.9,323.73,342.62,441.5,467.0,578.8,738.0,900.0,883.5,1090.1,1059.6,1465.6,1868.4,2374.9,3288.1,4007.4,6319.9,6488.2,5342.4,4962.0,5387.6,5460.6,5817.2,6846.8,7512.35,7167.0,7313.0,8477.85
geoId-CMU,1402.7,1776.0,1768.75,2102.97,2375.2,2787.5,3466.0,4528.0,5562.2,6765.8,7595.6,9629.6,11965.9,15465.3,18819.7,24035.9,30348.1,34911.8,39856.0,43744.4,46558.7,48686.9,51667.3,52559.4,59370.67,59675.4,60507.8,74360.62
geoId-VNM,119569.6,144102.63,159701.55,183212.05,198292.2,220410.6,245315.0,280884.0,333809.3,398524.5,480293.5,596207.1,746159.4,1007213.5,1238145.0,1677344.7,2079523.5,2369130.6,2615203.6,2916233.9,3223202.6,3546268.6,3956599.1,4393525.5,4892114.39,4847645.3,4407812.44,5363264.67
geoId-CTO,3088.9,3402.9,3613.88,4020.87,4542.2,5845.9,5986.0,6910.0,6865.3,8343.9,10414.5,12887.1,14918.6,20520.6,27173.7,32514.0,39496.8,45637.9,53320.5,59855.3,64998.1,69536.9,78874.6,97037.6,107661.99,92486.5,85990.2,113077.8
geoId-GLI,831.5,912.63,1107.84,1197.06,1358.0,1682.1,1802.0,2143.0,2376.1,2981.4,3733.4,4661.5,6079.8,8229.9,10069.5,13656.3,18420.2,21249.9,28663.5,36265.1,40718.8,42290.9,48526.6,56553.1,62056.32,48259.8,50287.04,59194.87
geoId-HGG,141.6,176.81,211.36,215.5,246.0,289.6,429.0,556.0,640.1,828.6,959.0,1090.2,1347.2,1788.2,2101.9,2497.2,3473.2,4063.3,4751.6,5582.7,6290.4,7117.9,8076.9,9277.3,10607.18,11021.7,11904.5,14356.2
geoId-HNM,1229.8,1764.62,1833.89,2319.91,2385.7,1460.2,1572.0,1714.0,1895.0,2222.4,2593.5,3174.1,4037.5,4452.6,5786.7,7131.7,7419.3,9184.7,10654.8,12252.2,14039.8,15912.3,18723.7,21456.6,24361.67,25359.9,26780.05,30582.82
geoId-HNI,12190.0,13917.0,14710.0,15986.0,17743.0,21973.0,23682.0,27842.0,30906.6,37045.9,44823.1,55817.7,67987.9,133312.0,157217.8,197469.9,228127.0,268332.9,307745.4,335965.0,375516.3,413035.7,430145.0,458898.3,511407.2,530610.1,513842.82,618152.91
geoId-HNI,1316.5,1672.62,1771.3,2287.2,2436.6,2763.0,3151.0,3626.0,6539.7,8116.6,10321.9,18850.1,24509.1,,,,,,,,,,,,,,,
geoId-HTH,903.1,1001.91,904.02,1093.85,1004.8,1538.2,1546.0,1809.0,2296.7,2498.5,3376.8,4642.1,5755.8,8985.3,11471.9,14427.6,19000.8,21984.5,26751.8,32733.2,37364.7,36523.9,39505.0,42666.6,46733.82,31841.1,31609.54,39701.58
geoId-HBH,439.9,455.71,431.91,451.72,442.7,465.5,506.0,629.0,947.2,1182.2,1476.7,1668.0,2278.7,2783.6,3586.9,5459.7,6715.9,7225.9,7765.4,8848.7,10003.2,10461.7,11402.3,12717.9,13943.11,14391.8,13978.33,16817.53
geoId-HYN,420.8,714.62,913.0,1085.46,1264.8,1404.1,1752.0,2221.0,2573.3,3015.2,3577.1,4226.4,5271.7,6645.5,7919.1,10086.0,12556.8,14352.2,16589.3,18464.9,20992.0,22415.5,25237.1,27906.5,31966.53,34388.1,36657.71,43402.73
geoId-HDG,286.6,539.17,703.1,973.99,1221.9,2968.9,2922.0,3441.0,3773.9,4117.4,4638.0,5371.0,6532.0,8690.7,9757.5,13394.0,23427.3,27081.0,30869.7,34298.2,37827.9,41575.1,46814.5,51015.3,54740.5,56263.3,59188.99,67593.83
geoId-HPG,818.2,1476.05,1909.07,2169.51,2843.0,3935.0,4722.0,6626.0,7707.2,9268.2,11551.8,13737.9,17740.4,22493.5,27496.2,38445.6,53967.8,57673.0,62523.5,69431.1,77256.6,80714.5,102002.2,116368.1,132367.06,142088.5,150969.03,174067.29
geoId-HGG,,,,,,,,,1379.1,1776.0,2664.1,3944.1,4890.3,6961.8,9389.8,12948.4,17443.9,17950.4,24130.2,26084.0,27873.7,30227.2,33589.6,37027.8,39433.47,40401.5,36229.4,45271.21
geoId-KHA,1394.3,1637.34,1759.81,2025.01,2168.6,2548.7,3523.0,4686.0,5885.3,7098.1,8539.0,12163.8,15459.2,20039.3,23390.1,29982.1,35936.4,41442.4,46266.5,53130.2,61930.2,68999.3,79904.1,84449.2,94251.93,74006.2,60728.84,94308.28
geoId-KGG,2954.4,3321.55,3861.44,4454.89,5340.4,5304.0,5532.0,6084.0,5345.2,6334.1,10294.6,12342.6,15582.7,19546.3,22567.2,31188.0,38476.1,41903.9,48400.3,53174.4,63343.7,71074.5,80771.4,89750.3,99719.74,101956.4,98068.67,126779.94
geoId-KTM,152.4,177.54,268.64,335.52,393.5,425.6,523.0,601.0,710.1,845.5,1019.2,1252.4,1566.2,2188.6,2790.6,3674.8,5406.0,6550.4,8496.9,10126.5,11860.2,12903.2,14411.8,16237.8,18480.28,21251.4,23645.2,27326.25
geoId-LCU,325.9,467.91,442.53,509.1,552.6,596.7,655.0,735.0,698.8,317.5,399.2,481.8,683.4,885.6,1135.4,1539.7,2470.3,2896.3,2985.5,3225.7,3430.5,3657.2,3825.6,4528.0,5014.5,5406.6,5918.22,6609.44
geoId-LAN,1869.2,2332.68,2603.56,2663.67,3005.4,3316.7,3610.0,3950.0,4341.5,5195.8,6053.3,7135.1,9038.8,11579.5,14077.1,18320.5,24022.1,28683.7,34009.8,40287.2,47830.9,54619.2,64457.8,73849.1,86307.29,84717.0,68857.32,78854.48
geoId-LCI,245.5,294.23,373.85,414.8,455.0,490.5,740.0,797.0,1132.6,1356.1,1674.9,2058.4,2639.2,3581.0,4415.9,5590.2,6812.3,8052.2,9558.5,11485.6,12668.6,13981.2,15863.2,17834.5,20296.75,15648.6,16888.65,20572.4
geoId-LDG,949.8,1036.6,1082.05,1258.14,1465.2,2170.3,2181.0,2660.0,3020.4,3934.6,5975.7,7256.1,9245.4,13136.5,16414.7,19829.0,23523.6,28917.5,30323.9,32195.6,33053.6,36921.1,41346.7,47697.5,54717.94,52247.3,42284.78,56069.62
geoId-LSN,451.3,580.98,704.63,491.9,733.1,987.2,1300.0,990.0,1992.5,2393.5,2513.4,3171.3,4081.9,5984.7,7403.8,9318.1,10354.4,10597.2,12438.0,13976.5,14671.0,15468.4,16487.8,18747.4,21025.76,22163.9,21086.0,24051.0
geoId-NDH,1004.5,1211.32,1195.9,1200.31,1197.8,2485.0,2638.0,2776.0,3045.2,3578.0,4203.6,5051.5,6103.0,7906.3,9406.3,11859.6,14653.4,16972.2,20298.5,23622.4,27039.4,31832.8,35816.2,39105.4,43867.63,45752.4,48863.56,55215.83
geoId-NAN,2441.1,3286.4,4046.3,4245.4,4898.1,5109.4,5499.0,5886.0,6365.1,7639.4,9053.2,9218.1,12491.1,16155.7,19914.1,23981.4,28426.3,32644.0,39702.1,42601.9,47674.1,53461.7,59058.3,67655.6,76833.57,81200.5,72253.83,92701.66
