dia phuong,Năm,Tổng số,"Bưu chính, chuyển phát",Viễn thông
geoId-VNM,2007,,,
geoId-VNM,2008,152.5,143.7,152.7
geoId-VNM,2009,140.8,135.7,140.9
geoId-VNM,2010,145.5,192.5,144.3
geoId-VNM,2011,111.1,111.3,111.1
geoId-VNM,2012,111.9,107.7,112.0
geoId-VNM,2013,108.4,116.5,108.1
geoId-VNM,2014,109.4,111.7,109.4
geoId-VNM,2015,108.8,116.2,108.6
geoId-VNM,2016,108.8,131.4,107.9
geoId-VNM,2017,108.6,129.9,107.6
geoId-VNM,2018,108.22,116.82,107.73
geoId-VNM,2019,103.0,109.5,102.6
geoId-VNM,2020,89.1,104.5,88.09
geoId-VNM,2021,99.13,107.18,98.5
geoId-VNM,Sơ bộ 2022,105.61,117.43,104.6
