"Tỉnh, thành phố",2010,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,Sơ bộ 2022
geoId-AGG,37.9,27.3,35.6,19.8,26.3,35.5,37.6,42.8,47.3,15.8,8.57,13.58
geoId-BR-VT,305.8,170.9,228.7,195.2,217.6,263.3,294.7,314.4,353.3,156.7,86.89,206.02
geoId-BDG,152.7,205.6,198.7,30.9,26.7,77.3,85.9,101.2,126.8,45.8,35.59,65.0
geoId-BPC,2.3,0.9,3.0,4.1,5.5,12.4,13.7,13.9,18.2,3.4,2.81,7.35
geoId-BTN,45.9,56.2,61.8,43.8,46.4,49.7,56.6,61.4,67.4,40.0,33.5,106.0
geoId-BDH,14.9,24.8,26.1,30.4,32.4,37.3,45.2,50.9,59.2,36.5,17.81,167.25
geoId-BLU,,,,,,3.0,3.4,4.4,5.0,4.4,2.33,10.7
geoId-BGG,6.4,9.3,10.0,11.0,25.7,34.4,37.3,40.9,46.6,26.2,8.0,36.4
geoId-BKN,,,0.1,0.1,0.2,0.02,0.02,0.1,0.1,0.1,0.4,0.78
geoId-BNH,2.2,3.0,4.9,5.4,12.3,17.8,20.0,23.0,25.0,10.9,2.04,33.27
geoId-SCC,810.8,1254.6,1406.3,1818.5,2228.8,2764.0,3164.3,3704.5,4111.5,1367.3,1060.87,4715.69
geoId-BTE,22.8,35.1,42.3,46.6,50.5,57.4,60.9,65.0,72.2,45.1,24.23,66.87
geoId-CBG,2.0,0.8,2.2,4.5,1.8,5.6,6.0,6.4,7.7,2.9,2.65,4.95
geoId-CMU,8.4,10.6,11.3,12.0,13.7,15.8,16.8,17.7,20.5,22.6,11.45,29.73
geoId-VNM,15539.3,18852.9,24820.6,27799.4,30444.1,32530.3,36111.8,40371.2,44669.9,16492.0,8998.84,35453.39
geoId-CTO,102.6,174.1,160.8,150.2,131.3,153.6,168.5,189.0,214.2,64.3,35.9,176.3
geoId-GLI,11.2,20.3,22.3,25.3,26.2,25.6,28.4,30.8,33.2,9.1,10.3,28.97
geoId-HGG,16.1,25.2,28.5,30.2,35.5,38.8,43.7,44.6,50.2,23.9,6.4,4.8
geoId-HNM,7.5,10.3,12.2,13.8,15.1,16.9,19.0,21.2,23.2,18.9,9.42,10.54
geoId-HNI,4005.6,3006.6,6764.0,7482.8,7831.9,8065.3,8465.8,9273.7,10145.5,5184.4,3382.0,10054.69
geoId-HTH,2.8,5.2,7.8,10.8,16.4,15.9,21.6,23.4,27.0,12.2,7.78,11.45
geoId-HBH,4.3,0.2,,,1.5,1.8,2.0,2.2,2.4,1.5,0.0,0.0
geoId-HYN,1.1,1.7,2.2,3.0,3.8,4.6,4.6,5.6,6.3,4.3,3.42,19.9
geoId-HDG,8.7,11.4,12.7,10.5,10.7,34.2,37.0,39.3,45.4,10.1,4.21,5.59
geoId-HPG,79.2,104.8,120.3,127.4,132.2,187.7,209.7,232.5,250.7,183.2,89.04,217.0
geoId-HGG,,,4.0,2.6,1.6,1.2,1.2,0.02,,,,
geoId-KHA,124.4,136.9,154.7,164.5,197.4,290.2,372.8,477.5,544.5,245.1,166.41,1376.52
geoId-KGG,27.2,32.8,79.4,95.5,137.7,239.6,287.5,316.5,348.8,186.0,166.3,443.94
geoId-KTM,1.4,2.2,2.0,2.8,3.0,2.2,2.6,2.8,3.2,1.5,0.86,1.89
geoId-LCU,,,,1.4,1.6,2.1,2.2,2.2,2.4,1.5,3.7,4.5
geoId-LAN,5.4,9.9,12.0,14.0,14.0,33.4,35.5,38.1,39.5,21.9,16.46,47.95
geoId-LCI,84.0,93.7,105.6,110.9,129.9,143.6,162.9,179.1,189.0,93.6,60.03,97.97
geoId-LDG,62.3,36.2,36.7,32.8,47.2,39.1,44.9,47.3,54.6,17.4,16.39,55.77
geoId-LSN,14.7,18.3,13.9,8.5,7.7,7.6,8.0,8.3,9.3,2.5,9.1,13.5
geoId-NDH,5.5,13.4,13.7,13.6,13.9,15.5,16.3,17.5,20.7,11.3,10.17,16.87
geoId-NAN,38.1,51.8,48.0,48.8,53.1,68.0,88.7,96.5,109.7,52.3,13.27,71.85
geoId-NTN,2.2,2.9,1.7,2.2,1.9,2.0,2.3,2.5,2.9,1.4,1.35,7.75
geoId-NBH,4.3,5.5,13.9,18.8,8.5,10.3,12.0,12.5,13.6,4.4,1.86,7.22
geoId-PTO,4.0,7.0,7.7,8.3,12.4,13.6,15.0,16.4,19.2,17.4,3.8,141.6
geoId-PYN,1.5,1.5,1.3,1.6,2.0,3.3,3.7,4.2,4.3,2.1,1.43,9.72
geoId-QNM,64.4,106.7,140.8,201.1,289.6,364.9,414.0,439.0,476.3,93.0,75.29,139.83
geoId-QNI,2.5,4.4,5.0,5.2,6.1,7.9,8.7,9.3,10.9,4.4,2.63,11.89
geoId-QBH,15.8,54.3,59.2,94.6,179.9,168.6,232.7,284.2,300.3,125.4,52.37,230.59
geoId-QNH,103.8,311.0,358.6,391.7,434.8,629.9,703.5,783.0,916.7,622.3,390.7,608.47
geoId-QTI,15.5,34.4,34.0,27.0,29.2,29.8,33.5,35.6,37.9,6.7,6.54,11.71
geoId-STG,1.3,1.3,0.5,0.7,0.8,8.2,9.1,10.2,11.4,7.8,3.68,18.8
geoId-SLA,,0.1,1.2,11.1,15.1,12.9,14.0,14.6,15.0,14.8,6.6,13.6
geoId-THA,21.5,43.3,50.1,60.0,73.1,88.1,97.2,108.6,119.0,80.2,25.83,176.33
geoId-TNN,7.9,13.2,14.5,15.8,18.6,25.3,27.7,32.4,36.7,18.0,29.7,170.77
geoId-TBH,1.5,0.9,4.0,5.8,8.3,11.2,12.0,12.4,12.7,4.6,0.5,13.4
,81.4,110.8,129.1,141.4,134.9,176.7,190.1,205.8,238.8,104.2,20.96,127.69
geoId-TGG,28.6,49.8,48.1,54.4,61.4,98.4,107.5,115.1,127.1,33.1,6.86,55.39
geoId-HCM,9507.1,13049.5,14850.6,16771.9,18456.3,19097.0,21580.5,24218.9,26834.5,7996.7,3350.62,17735.84
geoId-NT,141.7,170.5,187.0,205.0,253.6,291.3,324.9,354.8,387.7,211.2,132.9,494.12
geoId-TVH,5.5,8.6,6.1,8.8,18.4,21.6,22.6,23.9,27.6,16.1,13.87,28.17
geoId-TQG,2.0,1.4,2.5,2.7,3.6,4.2,4.6,4.9,6.1,6.0,0.98,2.6
geoId-TNN,83.9,61.5,84.4,88.2,109.2,105.3,120.0,128.1,145.1,62.7,51.0,145.21
geoId-TNH,16.8,9.2,15.4,22.5,17.9,19.0,20.2,20.8,22.4,9.4,4.42,6.55
geoId-VLG,15.0,18.3,19.9,28.8,29.1,36.7,38.0,40.3,43.5,24.6,15.93,41.96
geoId-VPC,6.6,10.6,40.6,68.0,71.5,78.4,83.7,86.7,96.3,73.9,44.7,100.85
geoId-YBI,0.3,0.4,0.7,0.5,,1.4,1.5,2.7,3.0,1.5,0.77,1.67
geoId-DBN,,0.9,0.1,,,,,,,1.3,0.77,0.98
geoId-DNG,379.9,621.4,686.7,987.1,1166.4,1461.6,1597.2,1905.6,2113.3,563.8,635.71,2267.09
geoId-ST,10012.1,13505.8,15358.8,17092.9,18797.1,19560.4,22094.2,24773.7,27468.7,8264.8,3501.92,18053.37
geoId-DLK,8.5,2.5,23.1,27.1,31.8,37.8,43.4,46.5,53.4,34.4,22.26,51.6
geoId-DNG1,0.5,0.3,0.3,0.2,1.0,0.6,0.7,0.7,0.7,0.3,1.2,6.98
geoId-MRD,264.8,381.3,437.0,454.0,512.4,737.5,824.8,902.7,1000.8,457.7,314.09,957.2
geoId-RRD,4226.0,3479.2,7347.1,8140.8,8543.0,9071.8,9583.6,10507.4,11556.1,6128.3,3938.06,11087.79
geoId-DNI,27.4,69.7,62.4,68.3,73.1,91.4,99.2,104.5,113.5,52.8,21.59,32.61
geoId-DTP,10.1,13.5,17.0,20.6,27.6,33.1,36.2,39.7,43.7,16.0,8.51,23.81
