"Tỉnh, thành phố",2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,Sơ bộ 2022
geoId-AGG,41.72,40.95,64.35,86.1,89.9,118.0,136.7,191.5,135.9,173.9,159.9,167.3,203.3,222.2,232.2,263.3,304.7,326.1,367.2,413.7,454.1,751.0,849.2
geoId-BR-VT,149.32,152.99,161.82,164.2,205.3,246.4,293.0,315.2,331.3,155.7,163.8,175.3,189.2,215.0,227.0,231.5,255.1,269.1,356.6,360.6,300.5,339.29,412.17
geoId-BDG,117.2,145.81,150.31,179.2,200.7,276.9,493.6,657.2,760.4,879.7,971.2,1178.1,1450.2,1595.5,1691.2,1750.4,1920.2,2050.8,2270.2,2512.9,2507.9,2648.01,2833.82
geoId-BPC,38.4,40.4,41.8,44.1,45.1,53.8,59.7,68.3,73.5,83.1,90.0,107.3,112.7,122.8,129.8,151.5,177.5,186.6,210.5,227.5,193.3,174.99,225.57
geoId-BTN,90.8,86.55,94.43,106.4,121.0,136.2,150.3,180.4,193.7,206.8,233.3,244.5,259.0,314.7,340.0,400.0,426.8,481.1,518.9,575.7,410.1,257.29,431.48
geoId-BDH,220.7,236.0,258.89,359.9,413.9,517.4,580.0,634.5,710.6,787.1,820.1,930.0,1073.3,1193.5,1252.0,1315.8,1418.4,1700.7,1896.3,2235.1,2315.6,2360.42,2632.03
geoId-BLU,25.0,33.06,48.32,51.16,0.0,70.8,78.7,88.8,83.5,110.3,127.0,148.9,166.0,145.5,151.0,168.4,192.5,210.5,230.7,262.5,275.2,292.79,431.71
geoId-BGG,53.5,59.1,63.2,75.4,90.4,118.0,130.9,170.1,176.3,195.7,211.8,253.9,332.7,353.3,394.7,437.8,519.6,611.0,713.7,838.2,882.1,956.5,1264.5
geoId-BKN,14.5,15.46,16.83,20.9,23.5,20.1,21.3,24.1,29.9,36.9,38.5,37.8,32.3,28.0,28.7,28.7,29.4,30.5,25.7,28.1,22.3,22.88,38.32
geoId-BNH,42.38,68.4,80.5,92.4,113.7,172.4,194.5,231.1,272.2,334.3,372.4,388.1,451.1,465.4,464.5,518.4,564.4,616.9,625.5,726.8,719.3,629.0,652.91
geoId-SCC,2454.89,2855.85,3075.7,3525.5,4232.2,5234.1,5713.9,6210.5,6701.3,7579.8,8338.8,9754.0,10326.1,10992.8,11592.0,12727.6,14159.8,15611.8,16640.2,18440.2,15003.4,15911.8,16544.51
geoId-BTE,56.0,60.29,68.42,98.8,127.0,116.4,113.3,146.5,152.4,155.2,163.2,189.7,193.5,203.5,206.5,218.3,228.5,236.7,267.5,287.8,266.5,298.03,341.71
geoId-CBG,30.0,31.0,31.74,36.7,54.0,58.3,59.7,68.3,81.1,63.3,72.6,78.5,75.5,71.0,76.6,79.5,80.2,88.2,76.4,74.9,14.5,15.56,16.08
