"Tỉnh, thành phố",2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,Sơ bộ 2022
geoId-AGG,242.04,379.8,481.5,475.8,684.4,868.8,906.4,1062.6,1623.9,1882.5,2003.6,1498.0,1323.2,1377.6,1414.7,1431.7,1507.6,1599.4,1786.6,1996.2,2132.9,2266.85,2522.76
geoId-BR-VT,137.78,157.2,196.4,233.7,321.6,383.6,362.0,389.5,538.1,66.8,47.8,47.5,47.5,52.3,53.5,58.9,61.7,65.1,65.8,66.8,69.6,70.03,73.69
geoId-BDG,7.35,13.19,16.8,11.8,35.8,39.7,32.4,31.2,39.0,52.4,74.8,76.6,76.4,68.7,69.6,85.3,81.5,81.2,92.8,95.9,87.5,83.46,98.52
geoId-BTN,20.52,13.97,7.2,7.9,2.2,2.1,3.0,3.3,4.3,5.2,4.6,3.2,3.2,0.9,1.0,1.0,1.1,1.1,0.9,,0.6,0.62,1.5
geoId-BDH,42.21,42.6,92.5,103.4,199.4,390.3,490.3,416.7,191.3,138.5,121.3,91.7,86.3,42.6,43.6,48.7,45.6,43.2,50.5,37.9,37.0,39.57,117.46
geoId-BLU,20.2,48.04,58.2,66.0,86.6,86.8,115.5,121.3,6.4,34.4,38.3,37.2,37.1,46.6,47.0,52.5,57.6,63.3,73.3,83.1,86.9,90.7,131.49
geoId-BGG,23.6,21.7,23.5,17.6,15.5,19.6,31.1,22.1,30.1,1.2,29.5,31.5,25.5,26.2,26.4,35.6,41.1,50.4,57.6,65.6,50.6,53.42,67.3
geoId-BKN,,0.1,0.1,0.1,0.3,0.2,0.1,,,,,,,,,,,,,,,0.0,0.0
geoId-BNH,111.22,127.9,152.2,471.5,583.0,274.0,405.2,531.1,1202.5,712.9,766.9,843.1,829.1,896.4,899.1,917.2,976.8,1059.8,1033.2,1121.0,1053.7,1041.5,1388.81
geoId-SCC,1356.59,1390.36,1729.7,1911.6,2487.1,2930.1,3305.8,3153.7,2959.1,2590.8,2524.4,2607.7,2779.5,2916.0,3027.6,3073.8,3100.8,3103.6,3474.2,3535.5,3092.7,2796.83,3439.94
geoId-BTE,105.0,122.65,130.4,107.0,94.7,140.6,156.6,149.6,156.2,174.4,188.2,194.8,341.9,312.1,299.6,359.2,401.3,412.6,440.2,436.8,467.9,491.93,592.0
geoId-CMU,44.2,43.67,46.6,80.3,54.6,52.1,89.1,71.6,52.0,76.0,74.4,71.4,74.3,76.1,78.1,87.1,90.4,98.7,94.3,77.2,64.0,69.53,71.41
geoId-VNM,10592.14,12027.06,13054.1,19022.2,21633.5,25647.4,28674.1,29281.1,34404.0,37852.4,39745.5,43958.9,47562.5,52561.2,55391.8,60692.1,67135.3,73104.3,84453.9,92450.3,93729.0,94898.92,122861.74
geoId-CTO,574.0,485.0,597.7,120.7,148.8,347.0,356.0,587.0,361.3,531.0,443.2,383.4,374.3,351.8,358.8,403.7,429.1,432.1,459.8,469.0,448.4,330.57,358.48
geoId-HNM,37.98,39.15,42.3,41.4,93.0,95.0,100.0,115.7,53.6,65.0,68.4,68.7,81.5,91.2,92.2,103.3,175.0,194.9,227.0,262.6,256.9,252.31,280.18
geoId-HNI,585.61,605.78,666.4,829.2,989.1,1264.9,1197.7,949.6,575.0,699.9,770.6,911.8,949.2,936.8,1020.2,1068.1,1166.4,1274.9,1401.1,1571.9,1640.8,1577.09,2329.62
geoId-HNI,52.6,64.8,87.2,95.7,146.8,215.9,349.6,277.2,,,,,,,,,,,,,,,
geoId-HTH,118.36,138.44,113.9,141.3,65.1,47.7,34.8,14.1,18.4,15.9,11.2,10.8,11.5,10.2,10.2,8.6,9.0,8.8,7.1,6.8,6.5,5.23,6.78
geoId-HBH,4.64,7.09,6.2,2.7,1.9,2.3,4.2,7.2,16.3,20.2,19.1,15.3,25.0,27.1,27.3,33.2,39.8,41.6,43.1,79.6,70.8,8.1,11.2
geoId-HYN,51.5,58.3,73.3,75.5,87.0,88.8,136.5,230.6,176.0,201.6,217.7,233.4,269.3,247.2,252.1,269.2,286.4,304.7,317.5,348.1,342.5,280.7,315.66
geoId-HDG,228.71,281.76,379.2,416.1,556.5,635.2,763.0,1330.3,1203.8,1346.7,1377.7,1380.5,2095.4,2352.8,2389.2,2852.0,3015.3,3262.6,3389.8,3650.5,3628.6,3460.79,4124.83
geoId-HPG,1306.88,2722.7,2844.0,3141.0,3543.0,4841.0,4941.4,5009.6,7242.0,7478.2,7867.1,8487.5,8530.0,9945.5,10651.6,11887.2,13848.6,15704.3,17023.5,17804.1,18373.8,17645.57,20530.26
geoId-HGG,,,,114.8,121.3,124.3,179.3,113.7,117.0,127.4,136.3,150.0,159.1,177.1,184.7,201.0,222.1,226.1,279.9,478.4,428.2,427.09,428.9
geoId-KHA,274.4,294.0,354.0,464.8,555.0,712.8,819.0,838.0,843.9,437.5,363.0,389.1,366.8,416.0,434.3,448.6,465.7,515.6,593.9,650.6,659.2,499.79,503.47
geoId-KGG,190.4,215.5,223.3,226.7,269.6,343.8,391.5,391.5,340.0,484.8,529.0,605.6,669.5,744.8,788.7,869.5,928.8,988.2,1070.2,1198.3,680.6,643.19,764.14
geoId-LAN,331.79,345.7,378.1,404.3,378.7,306.3,281.0,401.8,431.3,607.0,676.8,712.0,688.6,696.1,702.3,768.7,808.2,849.4,875.7,905.7,915.4,719.47,752.41
geoId-LCI,0.16,0.13,0.1,0.1,0.1,0.1,0.2,0.2,0.1,,0.03,,0.04,0.04,1.0,1.1,2.1,2.6,1.9,1.7,1.2,0.58,0.0
geoId-LDG,0.07,0.06,0.1,0.1,0.1,0.1,0.1,,,,0.0,,,,,,,,,,,,
geoId-NDH,459.39,494.7,649.5,744.5,912.7,1021.6,1177.0,1079.8,1746.0,2133.9,2372.9,2813.1,3226.8,3868.7,4073.8,5007.8,5457.5,5626.7,6020.5,6458.9,6923.9,7192.73,8174.13
geoId-NAN,176.7,182.1,216.2,219.8,301.0,282.8,321.5,368.5,374.1,360.0,342.1,331.8,559.4,660.0,654.7,866.4,866.1,845.4,1259.6,1316.4,1178.2,1298.38,1775.46
geoId-NBH,42.8,197.04,353.8,363.6,256.9,401.6,495.7,535.3,1401.7,2080.6,2279.8,2628.6,3199.0,3548.8,3609.2,4226.0,5095.0,5884.8,6155.2,6520.7,6687.8,7106.39,9099.81
geoId-PTO,34.1,39.2,93.6,121.6,149.6,204.0,283.2,472.4,651.3,503.9,423.2,419.1,420.0,503.3,509.0,572.1,627.6,630.7,697.0,794.3,833.0,856.06,956.32
geoId-PYN,61.07,71.11,73.4,71.4,86.8,80.9,52.8,44.2,,,0.0,,,0.0,0.0,,,,,,,,
geoId-QNM,6.5,9.11,11.6,17.2,11.1,9.0,11.3,7.2,38.6,44.0,44.9,75.6,56.2,53.9,54.9,55.6,62.4,67.1,49.6,50.9,42.7,40.41,75.72
geoId-QNI,41.5,50.31,52.4,61.6,23.5,52.2,52.1,42.1,1.2,1.3,1.7,2.2,2.7,3.2,3.4,3.2,3.7,4.3,4.3,5.5,5.1,4.76,6.64
geoId-QBH,22.5,26.2,37.5,47.8,95.8,87.1,82.9,71.9,47.8,62.7,53.7,77.9,75.0,82.3,84.0,107.7,111.3,112.6,121.3,133.0,134.3,135.52,59.05
geoId-QNH,347.8,398.47,413.0,334.4,255.1,874.8,1221.7,1356.6,661.7,1242.0,1282.8,1385.1,1214.5,1327.4,1475.8,1453.7,1665.9,1834.2,2162.4,2560.5,2893.4,3252.18,3705.87
geoId-QTI,47.35,45.9,48.9,13.3,2.0,4.6,0.8,0.5,3.5,4.8,4.1,4.6,6.1,4.9,5.2,3.7,3.2,2.9,1.0,0.6,0.6,0.61,0.61
geoId-STG,96.72,97.3,104.9,109.9,118.5,124.1,131.4,92.2,128.0,78.2,86.1,115.6,147.4,153.3,159.4,186.8,195.4,203.2,214.0,251.6,251.4,260.38,318.89
geoId-SLA,0.9,0.3,1.1,1.2,5.7,3.9,3.5,3.0,3.0,1.4,2.0,2.4,1.9,1.5,1.6,1.7,1.7,1.8,2.2,2.5,2.6,2.1,2.3
geoId-THA,416.0,433.0,442.0,458.3,487.0,526.8,696.2,682.8,779.0,893.6,984.7,1060.5,1155.9,1222.8,1288.8,1264.7,1230.5,1172.6,1039.0,956.1,840.2,678.34,725.12
geoId-TNN,10.7,7.66,4.0,5.0,4.8,2.8,4.6,,1.3,48.3,0.8,,,,,,,,,,,3.04,2.45
geoId-TBH,89.6,189.5,365.3,735.0,1207.1,1660.0,1897.7,1749.6,2805.6,3443.5,3672.1,3737.2,4500.6,6321.8,6783.3,5655.0,5564.5,6466.0,9336.9,10282.0,10919.5,11393.54,13842.67
,3.2,0.66,3.0,8.0,13.0,21.8,27.1,23.5,14.5,17.4,14.2,15.6,17.5,24.4,24.9,27.4,20.8,20.9,18.4,19.7,15.2,11.87,86.78
geoId-TGG,158.06,141.51,167.5,208.1,667.1,341.1,371.7,434.6,504.3,619.3,673.1,760.8,797.2,837.1,849.5,947.1,1097.7,1206.3,1049.7,1083.3,949.5,850.68,1043.33
geoId-HCM,3432.0,2767.74,2214.2,6790.4,6568.4,7093.4,8058.0,7620.0,8392.1,9334.2,9810.3,12372.3,13003.3,13050.8,13899.1,16317.6,18213.7,19343.0,24468.8,27864.8,28179.8,29383.33,44196.66
geoId-NT,105.07,98.07,151.7,166.8,190.3,239.6,335.8,511.8,707.1,580.3,480.7,474.2,478.8,564.3,571.6,652.6,721.7,736.0,805.6,947.6,962.2,923.51,1039.81
geoId-TVH,59.09,107.38,56.5,174.2,177.7,309.6,215.7,164.6,239.1,253.9,267.8,306.9,341.8,268.5,271.3,354.6,397.3,442.5,473.0,483.9,464.5,483.67,937.67
geoId-TQG,17.5,11.9,13.1,10.8,4.2,2.5,2.1,,0.5,0.6,0.5,0.5,0.5,0.1,0.2,0.1,0.2,0.2,0.2,0.2,0.2,0.19,0.23
geoId-TNN,0.44,0.41,0.2,0.2,0.2,0.2,0.28,,0.3,0.3,0.3,0.3,0.4,0.5,0.5,0.4,0.4,0.4,,,,,
geoId-TNH,6.82,9.77,9.5,17.7,21.7,4.6,13.0,16.4,27.4,16.9,18.1,15.9,16.1,13.6,13.9,25.5,26.7,26.2,27.4,25.0,2.5,1.19,0.77
geoId-VLG,150.1,154.34,156.5,158.7,174.5,106.8,121.5,121.7,141.3,192.5,206.2,217.9,295.1,301.2,316.3,310.6,333.8,353.2,354.1,381.8,289.9,162.61,232.41
geoId-VPC,69.3,75.1,87.4,84.0,98.7,145.8,166.2,316.1,322.5,468.5,516.2,538.2,664.6,617.5,622.5,701.6,812.4,840.8,813.1,933.7,826.8,988.67,1306.4
geoId-YBI,13.47,10.0,10.0,7.7,8.2,4.2,6.8,6.9,4.5,4.7,5.6,5.4,5.9,6.1,6.1,8.8,9.2,8.7,3.6,3.7,3.8,3.04,2.45
geoId-DNG,126.28,82.95,277.1,296.9,645.2,712.0,714.0,640.9,642.5,609.9,578.9,544.7,438.9,394.8,422.6,238.2,281.4,309.1,328.6,358.0,173.1,81.69,81.24
geoId-ST,3623.25,2988.47,2499.1,7207.0,7069.6,7627.8,8675.8,8167.0,9043.3,9516.6,9993.2,12562.7,13194.6,13237.0,14088.7,16541.6,18440.0,19573.0,24714.4,28114.3,28400.2,29591.43,44437.3
geoId-DLK,0.37,0.35,0.1,0.1,0.1,0.1,0.2,,0.3,0.3,0.3,0.3,0.4,0.5,0.5,0.4,0.4,0.4,,,,,
geoId-MRD,2123.39,2294.57,2559.9,2404.7,3157.4,3331.1,3504.7,3967.1,4303.8,5291.6,5554.7,5286.8,5549.2,5689.3,5834.4,6282.6,6808.6,7237.6,7579.5,8338.9,7726.2,7395.67,8846.41
