dia phuong,Năm,Tổng số,Đường sắt,Đường bộ,Đường sông,Đường biển,Đường hàng không
geoId-VNM,1995,105.2,127.8,126.4,108.5,109.5,249.9
geoId-VNM,1996,125.2,96.2,112.8,104.2,144.6,120.1
geoId-VNM,1997,117.0,91.1,108.6,115.0,122.0,112.2
geoId-VNM,1998,102.3,89.3,107.2,124.7,93.3,97.0
geoId-VNM,1999,108.0,105.6,106.1,106.7,109.4,90.5
geoId-VNM,2000,111.1,135.2,112.9,103.8,113.1,108.2
geoId-VNM,2001,113.5,105.1,115.2,118.1,111.5,138.7
geoId-VNM,2002,109.9,116.4,116.1,94.1,115.6,108.6
geoId-VNM,2003,115.3,114.0,115.7,97.2,122.4,122.6
geoId-VNM,2004,113.1,100.7,121.1,106.0,114.0,112.0
geoId-VNM,2005,111.3,107.4,118.3,109.6,110.2,101.5
geoId-VNM,2006,112.7,116.9,116.2,104.7,113.9,112.6
geoId-VNM,2007,118.8,112.6,120.0,118.0,119.0,103.9
geoId-VNM,2008,128.2,107.4,113.5,111.8,137.8,105.6
geoId-VNM,2009,115.2,92.7,112.9,125.7,114.3,107.1
geoId-VNM,2010,109.4,102.5,114.5,101.4,110.2,134.8
geoId-VNM,2011,99.2,105.1,110.9,108.5,94.2,100.0
geoId-VNM,2012,99.8,96.7,108.3,106.5,95.7,111.3
geoId-VNM,2013,101.2,94.6,105.1,105.0,99.0,98.9
geoId-VNM,2014,102.3,113.3,105.5,104.3,100.1,113.8
geoId-VNM,2015,103.1,93.6,106.9,104.9,101.4,112.2
geoId-VNM,2016,104.92,79.25,111.38,106.8,102.53,117.6
geoId-VNM,2017,106.03,113.09,110.6,106.4,103.8,106.21
geoId-VNM,2018,106.71,111.68,111.9,110.0,103.08,111.8
geoId-VNM,2019,106.96,92.58,107.77,106.5,107.0,110.19
geoId-VNM,2020,96.33,102.12,96.05,94.4,98.6,57.28
geoId-VNM,2021,65.77,107.35,102.41,46.86,45.96,394.47
geoId-VNM,Sơ bộ 2022,118.62,110.89,119.42,127.63,130.11,43.34
