dia phuong,Năm,Tổng số,Kinh tế Nhà nước,Kinh tế ngoài Nhà nước,Khu vực có vốn đầu tư nước ngoài
geoId-VNM,1995,,,,
geoId-VNM,1996,125.2,132.9,108.0,
geoId-VNM,1997,117.0,119.6,110.1,
geoId-VNM,1998,102.3,97.9,115.2,
geoId-VNM,1999,108.0,108.8,106.0,
geoId-VNM,2000,111.1,113.2,105.8,
geoId-VNM,2001,113.5,114.1,100.4,
geoId-VNM,2002,109.9,110.9,107.2,106.2
geoId-VNM,2003,115.3,104.4,110.8,464.5
geoId-VNM,2004,113.1,111.6,114.0,120.5
geoId-VNM,2005,111.3,106.1,152.8,60.1
geoId-VNM,2006,112.7,110.4,125.9,70.5
geoId-VNM,2007,118.8,124.5,109.3,109.4
geoId-VNM,2008,128.2,136.4,115.2,89.3
geoId-VNM,2009,115.2,118.3,111.8,65.8
geoId-VNM,2010,109.62,110.92,106.73,99.39
geoId-VNM,2011,99.26,98.9,100.38,96.23
geoId-VNM,2012,99.95,97.33,107.17,96.12
geoId-VNM,2013,101.13,98.57,107.53,97.17
geoId-VNM,2014,102.4,100.84,105.93,100.85
geoId-VNM,2015,103.22,100.52,109.03,101.15
geoId-VNM,2016,105.11,101.12,113.0,103.58
geoId-VNM,2017,106.03,99.6,117.46,102.1
geoId-VNM,2018,106.79,98.98,118.75,94.77
geoId-VNM,2019,106.96,99.9,115.7,108.55
geoId-VNM,2020,96.33,95.61,96.75,93.03
geoId-VNM,2021,65.77,65.65,65.5,86.96
geoId-VNM,Sơ bộ 2022,118.62,118.13,118.99,124.6
