"Tỉnh, thành phố",2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,Sơ bộ 2022
geoId-AGG,283.76,420.75,545.9,561.9,774.3,986.8,1043.1,1254.3,1759.6,2056.2,2163.5,1665.3,1526.6,1599.8,1647.0,1695.1,1812.3,1925.5,2153.8,2409.9,2587.0,3017.85,3371.96
geoId-BR-VT,287.1,310.19,358.3,397.9,526.9,630.0,655.0,704.7,869.4,222.5,211.6,222.8,236.7,267.3,280.5,290.4,316.7,334.2,422.3,427.4,370.2,409.32,485.86
geoId-BDG,124.55,159.0,167.1,191.0,236.5,316.5,526.0,688.4,799.4,932.0,1046.0,1254.7,1526.6,1664.2,1760.8,1835.8,2001.7,2132.0,2363.0,2608.8,2595.3,2731.47,2932.34
geoId-BPC,38.4,40.4,41.8,44.1,45.1,53.8,59.7,68.3,73.5,83.1,90.0,107.3,112.7,122.8,129.8,151.5,177.5,186.6,210.5,227.5,193.3,174.99,225.57
geoId-BTN,111.32,100.53,101.6,114.4,123.2,138.3,153.2,183.7,198.0,212.0,237.9,247.8,262.2,315.6,341.0,401.0,427.9,482.2,519.8,575.7,410.7,257.91,432.98
geoId-BDH,262.91,278.6,351.4,463.3,613.3,907.6,1070.2,1051.2,901.9,925.6,941.4,1021.7,1159.5,1236.1,1295.6,1364.5,1464.1,1743.9,1946.8,2273.0,2352.6,2399.99,2749.49
geoId-BLU,45.2,81.1,106.5,117.2,86.6,157.6,194.2,210.1,89.9,144.7,165.3,186.1,203.1,192.1,198.0,220.9,250.0,273.8,304.0,345.6,362.1,383.49,563.2
geoId-BGG,77.1,80.8,86.7,93.0,105.9,137.7,162.0,192.2,206.4,244.0,241.3,285.3,358.3,379.5,421.1,473.3,560.7,661.5,771.3,903.8,932.7,1009.92,1331.8
geoId-BKN,14.5,15.56,16.9,21.0,23.8,20.3,21.4,24.1,29.9,36.9,38.4,37.8,32.3,28.0,28.7,28.7,29.4,30.5,25.7,28.1,22.3,22.88,38.37
geoId-BNH,153.6,196.3,232.7,426.8,368.8,446.4,599.7,762.2,934.0,1047.2,1139.3,1231.2,1280.1,1361.8,1363.6,1435.6,1541.2,1676.7,1658.7,1847.8,1772.9,1670.49,2041.77
geoId-SCC,3811.48,4246.21,4805.4,5437.1,6719.3,8164.1,9019.7,9364.1,9660.6,10170.6,10863.2,12361.7,13105.6,13908.8,14619.7,15801.4,17260.6,18715.4,20114.3,21975.7,18858.52,18708.69,19984.5
geoId-BTE,161.0,182.93,198.8,205.8,221.7,257.0,269.9,296.1,308.5,329.6,351.5,384.5,535.3,515.6,506.1,577.4,629.8,649.3,707.7,724.6,734.4,789.96,933.71
geoId-CBG,30.0,31.0,31.7,36.7,54.0,58.3,59.7,68.3,81.1,63.3,72.6,78.5,75.5,71.0,76.6,79.5,80.2,88.1,76.4,74.9,14.5,15.56,16.08
geoId-CMU,73.6,83.51,97.3,131.2,109.8,110.1,128.3,112.0,91.8,105.3,102.2,101.7,104.9,109.0,113.2,130.4,135.9,151.5,152.5,144.6,141.3,159.88,174.28
geoId-VNM,18487.03,21125.56,23621.2,31260.0,36451.0,43172.2,49044.3,53956.9,61980.5,68807.9,73572.1,82470.0,89640.0,97587.4,102933.5,111964.4,124332.2,136287.3,154257.7,168979.4,167232.12,170171.75,212751.42
geoId-CTO,724.95,703.77,865.0,426.7,534.8,762.8,784.7,1018.1,804.2,985.0,939.1,769.4,739.1,725.0,735.8,789.3,856.9,913.4,1012.3,1030.4,867.0,678.07,754.65
geoId-GLI,185.8,186.97,267.5,337.5,410.3,451.0,522.6,424.4,796.0,965.9,1064.3,1279.7,1412.8,1572.7,1684.4,1793.9,2106.0,2295.5,2511.3,2841.1,2953.2,2588.44,2601.92
geoId-HGG,9.6,10.2,10.9,11.7,14.3,16.3,17.9,21.5,27.2,33.7,34.1,39.1,41.2,41.4,43.6,56.0,59.5,65.4,79.5,89.1,89.4,94.76,112.18
geoId-HNM,95.48,103.55,114.4,120.7,184.3,192.9,250.0,298.5,256.5,290.2,318.8,344.6,372.4,453.2,487.1,522.0,619.7,734.8,950.5,1014.4,991.3,986.4,1102.73
geoId-HNI,1093.1,1131.44,1334.1,1656.9,2060.5,2719.5,3151.0,2542.9,4044.8,4813.0,5426.6,6111.4,6445.1,6377.8,6870.4,7348.9,7955.9,8607.1,9356.6,9672.2,10025.5,10182.12,14350.48
geoId-HNI,240.1,425.6,551.0,532.4,698.6,935.7,1158.7,1116.0,,,,,,,,,,,,,,,
geoId-HTH,175.84,216.84,175.8,204.6,142.5,151.4,157.8,150.7,188.4,230.8,250.6,312.2,390.8,494.4,533.1,662.1,738.5,794.5,845.9,924.9,827.02,739.29,958.85
geoId-HBH,39.9,41.58,46.0,60.1,75.3,79.6,95.0,117.2,142.2,156.8,161.3,197.4,210.5,193.9,220.4,250.0,263.1,293.6,300.9,393.4,358.8,268.0,248.1
geoId-HYN,119.2,133.0,155.0,162.0,184.0,211.0,249.0,387.1,424.8,464.8,489.4,527.2,631.4,678.8,718.2,809.1,877.7,999.0,1117.3,1232.0,1266.0,1183.71,1343.51
geoId-HDG,303.31,358.56,474.5,545.1,687.9,806.5,1018.6,1592.3,1557.5,1800.1,1918.4,2067.4,2865.5,3258.4,3290.3,3827.9,4070.8,4377.1,4627.0,5005.4,4928.2,4755.71,5730.63
geoId-HPG,1822.6,3397.47,3822.4,4178.9,4737.4,6134.5,6361.0,7641.9,9998.2,10253.8,10665.2,11887.3,11936.5,13665.4,14494.3,16014.3,18768.0,21405.9,23831.2,25704.5,26707.5,26760.92,31176.47
geoId-HGG,,,,122.9,129.9,133.2,188.4,123.3,127.3,138.7,148.7,163.4,173.8,193.1,201.8,221.0,244.3,253.3,309.7,508.6,461.1,463.71,468.02
geoId-KHA,546.9,578.06,638.5,847.4,1114.0,1295.1,1533.2,1629.7,1423.0,1119.4,1086.5,1172.0,1103.4,1215.8,1292.5,1368.5,1539.3,1686.8,1850.7,2006.6,1694.4,1455.55,1780.49
geoId-KGG,286.7,313.4,334.2,347.3,394.3,443.9,509.5,509.5,476.3,658.8,719.3,809.5,896.2,999.4,1060.9,1163.4,1244.5,1324.4,1436.4,1580.0,1002.6,946.32,1145.1
geoId-KTM,39.51,38.69,42.4,44.7,51.1,52.9,71.2,92.5,124.0,160.6,173.8,183.7,199.7,353.1,386.5,430.7,475.1,517.8,563.7,629.5,658.8,667.52,846.34
