dia phuong,Năm,Tổng số,Trong nước,Ngoài nước
geoId-VNM,1995,140709.9,136682.9,4027.0
geoId-VNM,1996,157201.9,151090.4,6111.5
geoId-VNM,1997,176258.8,163792.2,12466.6
geoId-VNM,1998,189184.0,183244.3,5939.7
geoId-VNM,1999,203212.7,196354.2,6858.5
geoId-VNM,2000,223823.0,214831.5,8991.5
geoId-VNM,2001,252146.0,241430.9,10715.1
geoId-VNM,2002,292869.2,280509.5,12359.7
geoId-VNM,2003,347232.7,326940.8,20291.9
geoId-VNM,2004,403002.2,380278.4,22723.8
geoId-VNM,2005,460146.3,426060.6,34085.7
geoId-VNM,2006,513575.1,459639.7,53935.4
geoId-VNM,2007,596800.9,546289.7,50511.2
geoId-VNM,2008,653235.3,610775.0,42460.3
geoId-VNM,2009,715522.4,679746.3,35776.1
geoId-VNM,2010,800886.0,765598.0,35288.0
geoId-VNM,2011,885681.5,851558.0,34123.5
geoId-VNM,2012,961128.4,929352.3,31776.1
geoId-VNM,2013,1010413.9,979728.2,30685.7
geoId-VNM,2014,1078580.9,1047480.9,31100.0
geoId-VNM,2015,1151895.7,1120094.6,31801.1
geoId-VNM,2016,1255458.23,1222759.47,32698.77
geoId-VNM,2017,1383212.89,1349500.46,33712.43
geoId-VNM,2018,1539271.71,1503105.02,36166.69
geoId-VNM,2019,1670619.44,1636094.74,34524.7
geoId-VNM,2020,1621535.99,1593832.86,27703.13
geoId-VNM,2021,1621598.9,1597274.91,24323.98
geoId-VNM,Sơ bộ 2022,1974089.39,1948426.22,25663.16
