dia phuong,Năm,Tổng số,Kinh tế Nhà nước,Kinh tế ngoài Nhà nước,Khu vực có vốn đầu tư nước ngoài
geoId-VNM,1995,140709.9,26272.8,114437.1,
geoId-VNM,1996,157201.9,29779.8,127422.1,
geoId-VNM,1997,176258.8,34212.4,142046.4,
geoId-VNM,1998,189184.0,33679.1,155504.9,
geoId-VNM,1999,203212.7,34371.0,168841.7,
geoId-VNM,2000,223823.0,40014.0,183809.0,
geoId-VNM,2001,252146.0,48158.9,201835.6,2151.5
geoId-VNM,2002,292869.2,55953.4,234410.5,2505.3
geoId-VNM,2003,347232.7,58009.6,277780.5,11442.6
geoId-VNM,2004,403002.2,65449.6,324911.5,12641.1
geoId-VNM,2005,460146.3,75961.6,376739.5,7445.2
geoId-VNM,2006,513575.1,84726.5,423539.0,5309.6
geoId-VNM,2007,596800.9,92070.9,500700.0,4030.0
geoId-VNM,2008,653235.3,94065.9,555853.4,3316.0
geoId-VNM,2009,715522.4,97804.1,615349.3,2369.0
geoId-VNM,2010,800886.0,105724.5,692766.4,2395.1
geoId-VNM,2011,885681.5,112490.9,770684.1,2506.5
geoId-VNM,2012,961128.4,112315.5,846218.8,2594.1
geoId-VNM,2013,1010413.9,109395.3,898351.9,2666.7
geoId-VNM,2014,1078580.9,109048.2,966732.7,2800.0
geoId-VNM,2015,1151895.7,104657.8,1044334.3,2903.6
geoId-VNM,2016,1255458.23,100711.4,1151732.93,3013.9
geoId-VNM,2017,1383212.89,101517.12,1278645.67,3050.1
geoId-VNM,2018,1539271.71,95527.61,1440053.48,3690.63
geoId-VNM,2019,1670619.44,90672.73,1576105.66,3841.05
geoId-VNM,2020,1621535.99,79736.24,1538069.83,3729.92
geoId-VNM,2021,1621598.9,79863.78,1538248.71,3486.44
geoId-VNM,Sơ bộ 2022,1974089.39,97125.2,1872680.41,4283.77
