dia phuong,Năm,Tổng số,Đường sắt,Đường bộ,Đường sông,Đường biển,Đường hàng không
geoId-VNM,1995,110.2,112.9,112.4,113.1,114.1,152.4
geoId-VNM,1996,111.7,89.5,113.0,106.9,133.9,149.1
geoId-VNM,1997,112.1,117.6,111.0,114.9,110.1,105.0
geoId-VNM,1998,107.3,104.7,106.4,109.4,109.4,128.9
geoId-VNM,1999,107.4,103.4,107.2,107.7,110.3,65.8
geoId-VNM,2000,110.1,121.6,110.8,105.2,119.6,106.4
geoId-VNM,2001,112.7,103.2,113.4,112.9,108.1,147.8
geoId-VNM,2002,116.2,109.2,117.3,115.6,110.0,107.8
geoId-VNM,2003,118.6,118.9,117.1,114.8,148.4,124.6
geoId-VNM,2004,116.1,105.8,117.5,113.9,114.1,109.5
geoId-VNM,2005,114.2,99.0,112.6,113.5,134.2,113.0
geoId-VNM,2006,111.6,104.2,113.6,110.7,101.5,108.8
geoId-VNM,2007,116.2,98.9,119.1,110.0,114.7,107.3
geoId-VNM,2008,109.5,93.7,113.0,98.3,113.7,101.4
geoId-VNM,2009,109.5,97.2,112.7,103.5,100.2,106.3
geoId-VNM,2010,111.9,95.3,114.3,104.7,110.4,136.2
geoId-VNM,2011,110.6,92.7,111.4,111.1,103.8,105.4
geoId-VNM,2012,108.5,95.4,109.8,108.9,96.5,95.4
geoId-VNM,2013,105.1,93.9,106.4,103.9,95.1,96.2
geoId-VNM,2014,106.7,110.0,107.6,105.2,100.3,109.9
geoId-VNM,2015,106.8,93.43,107.41,105.73,103.23,113.66
geoId-VNM,2016,108.99,77.67,109.87,107.06,106.04,124.39
geoId-VNM,2017,110.18,107.72,110.8,107.9,108.6,111.31
geoId-VNM,2018,111.28,101.9,112.4,108.2,105.06,127.21
geoId-VNM,2019,108.53,91.03,109.29,106.4,104.79,110.39
geoId-VNM,2020,97.06,100.22,97.14,96.2,98.7,61.01
geoId-VNM,2021,100.0,108.51,101.65,94.0,91.95,104.25
geoId-VNM,Sơ bộ 2022,121.74,100.57,120.93,124.87,127.65,99.28
