"Tỉnh, thành phố",2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,Sơ bộ 2022
geoId-AGG,3018.0,3325.0,4103.54,5258.2,5961.0,14845.0,15729.6,9509.0,15503.0,16154.0,19801.4,17926.0,22047.0,23293.0,23943.9,26049.1,27749.0,29534.3,32915.8,36684.0,39263.8,42341.6,52970.4
geoId-BR-VT,2610.0,2820.0,3257.0,3617.0,4538.0,5426.0,5667.0,6017.0,7128.6,4460.5,4673.6,4733.7,4993.4,5470.6,5759.5,5965.1,6462.4,6748.2,8458.4,8746.6,8241.2,9111.06,10736.41
geoId-BDG,2402.0,2648.0,3192.0,3629.0,5175.0,6680.0,11656.0,15598.0,17996.1,20840.8,21934.5,25645.2,30945.2,34770.1,36747.1,40477.5,45987.0,47400.9,52321.5,59447.7,58997.9,63543.13,68052.79
geoId-BPC,489.0,511.0,560.0,624.0,844.0,913.0,1006.8,1127.0,1165.0,1279.0,1368.8,1576.2,1625.6,1756.4,1870.8,2073.4,2337.1,2442.3,2776.8,3341.0,2814.5,2554.93,3299.38
geoId-BTN,1184.0,1277.0,1308.0,1468.0,1679.0,2158.0,2382.0,2700.0,2851.0,2953.0,3313.0,3472.9,4313.9,4964.3,5320.5,5890.7,6460.9,7305.0,8208.6,9109.8,6393.9,4616.4,5388.38
geoId-BDH,1421.0,1474.0,2051.0,3132.0,4571.2,5813.0,6581.0,6997.0,7342.0,8080.0,9049.2,10265.6,9574.3,12230.1,12812.0,14860.2,16876.8,17115.1,20084.1,23917.5,25014.6,25501.73,29749.11
geoId-BLU,788.67,1018.29,1188.0,1295.0,1485.0,1624.0,2181.0,2429.1,1551.0,3478.6,3947.2,4335.8,4926.1,4824.2,4816.5,5297.4,5492.2,6050.4,6566.3,7398.8,7794.5,8277.34,12204.01
geoId-BGG,2713.0,2908.0,3176.0,4524.0,4790.0,4985.0,5260.6,6215.0,7036.0,7925.0,8146.3,9734.4,10573.3,11372.8,12101.2,13368.4,15488.3,17736.7,20745.5,23951.3,24476.9,25809.66,34043.37
geoId-BKN,1015.64,1091.64,1188.36,1464.7,1596.0,1368.0,1425.0,1563.0,1936.6,2392.9,2584.3,2349.2,2272.2,1808.2,1905.7,1516.2,1566.1,1630.0,1336.6,1457.4,1154.3,1266.96,2042.62
geoId-BNH,6138.6,6371.4,7186.14,11730.6,14484.3,16123.1,15258.0,16908.6,16980.7,18106.5,19382.8,20024.0,20181.1,22104.5,23376.2,24160.7,26007.7,28264.1,28530.9,30927.0,29675.6,27345.3,31319.36
geoId-SCC,43683.89,47857.69,55511.0,65404.4,78618.1,92370.1,102259.7,109875.3,122506.4,137316.6,153132.7,176241.7,196687.5,220281.0,237996.5,254975.4,284071.7,312759.1,355123.4,393995.5,372069.4,378628.52,443601.62
geoId-BTE,1484.0,1659.0,1951.0,2063.0,2191.0,2640.0,2746.0,3005.2,3049.7,3081.8,3216.6,3480.8,5224.6,5316.7,5644.1,6016.5,6461.3,6919.5,7386.3,7447.2,7681.8,8157.0,9525.0
geoId-CBG,566.0,598.0,784.0,973.0,1586.0,1479.0,1640.0,1824.0,2165.1,2451.0,2456.0,2524.1,2294.3,2067.2,2138.3,2208.6,2447.2,2956.2,3166.1,3087.0,1868.8,1802.0,1373.0
geoId-CMU,571.0,636.0,788.0,814.0,918.0,684.0,741.2,572.9,547.1,748.5,792.6,746.2,731.4,773.3,709.8,909.7,939.9,1027.4,1062.9,1058.1,1009.2,1136.55,1226.82
geoId-VNM,194326.67,219650.44,255962.23,309102.8,360153.2,411276.5,460890.3,539930.0,594643.9,656840.0,739941.0,822163.8,909786.2,972311.8,1043632.2,1123943.5,1236730.1,1351765.9,1505059.1,1653545.9,1614858.9,1615654.94,1968115.27
geoId-CTO,4029.0,5158.0,8904.0,5481.0,5156.0,5995.0,6780.0,8268.0,7938.0,8774.0,8739.3,7463.3,6939.0,6044.1,6373.6,7471.6,7876.1,8543.1,9304.0,9585.4,8034.3,6142.66,6771.28
geoId-GLI,1146.0,1264.0,1725.0,2115.0,2115.0,2636.0,3113.0,3696.0,5506.0,6734.0,7819.0,8264.7,8801.9,10667.9,11414.6,13857.4,15717.0,16943.0,18552.5,21686.6,22575.8,16039.0,16148.45
geoId-HGG,418.0,437.0,456.0,480.7,505.5,536.9,566.8,691.0,755.0,981.0,1090.9,1332.0,1621.5,1714.0,1765.4,1876.1,1977.0,2129.2,2277.7,2490.3,2494.0,2439.5,2854.0
geoId-HNM,1752.67,1928.67,2142.08,2314.8,2938.0,3122.0,4500.0,5447.9,5423.5,6078.1,6644.2,7773.9,8222.4,9155.5,9556.3,10062.7,10818.3,11897.8,14765.3,15663.8,15031.6,14956.44,16721.3
geoId-HNI,9118.0,10549.0,12898.4,16791.8,20121.1,22781.0,27494.9,33149.2,56552.4,60132.8,73242.0,77023.4,84603.2,77795.4,86085.6,92550.3,97983.3,104908.0,113551.9,126534.5,128977.6,129719.79,183698.59
geoId-HNI,6145.4,7559.33,9302.53,11947.4,15051.3,18062.0,20806.0,21843.0,,,,,,,,,,,,,,,
geoId-HTH,3913.0,4082.0,4281.0,4737.0,6602.0,6889.0,8102.9,8773.8,10480.0,11871.0,14540.1,17647.3,19832.0,21852.7,22911.5,26889.3,29709.1,32111.4,34520.6,37163.5,32933.8,29995.19,39224.28
geoId-HBH,1480.0,1230.0,1374.0,2110.0,2289.0,2415.0,2559.0,2698.0,3238.0,3842.0,4433.2,5892.8,5730.7,5403.4,5596.9,6949.7,7295.2,7672.4,7851.6,9733.5,8985.2,7737.48,6884.05
geoId-HYN,4151.0,4187.0,4295.0,4449.0,4808.0,5979.0,6777.0,9692.0,10407.0,11467.0,13406.0,14319.4,17059.1,18765.9,19707.6,21608.7,23687.4,26885.8,30627.5,33909.8,34620.6,33062.67,38187.39
geoId-HDG,4541.0,4812.0,5262.0,8611.0,10290.7,13231.0,16320.0,20396.0,22413.1,27614.0,31478.6,33590.7,38738.9,43425.8,48807.9,53233.0,57372.8,60588.9,65282.8,71660.1,67905.4,66886.82,81936.35
geoId-HPG,8117.47,12833.45,17458.63,17512.7,18402.0,19286.5,19760.8,28313.8,35812.4,36758.6,40254.4,47567.7,51157.6,58955.2,62383.1,70265.1,80098.1,92275.8,106200.4,121585.4,125840.9,128609.4,151116.04
geoId-HGG,,,,3450.0,3616.0,3684.0,3933.0,4292.3,4594.0,5042.0,5556.2,6201.9,6734.2,7589.6,8099.8,8614.4,9209.8,9719.9,8339.9,8744.8,9656.4,6714.6,6836.07
geoId-KHA,4200.0,4523.0,4127.0,6002.0,7200.0,8024.0,8842.0,9177.4,10465.0,12175.8,13480.6,12879.1,14447.7,15146.0,16131.6,17071.4,20321.6,22180.1,23668.7,25647.4,19281.3,17820.06,24721.8
geoId-KGG,1770.0,1912.0,2182.76,2770.0,3298.0,3664.0,4127.2,4127.2,4730.0,5233.0,5789.0,6188.0,7149.0,7998.0,8287.2,9338.0,10010.0,10634.6,11497.2,12739.7,11884.5,7652.0,9258.0
geoId-KTM,516.0,586.0,665.0,720.0,885.0,1032.0,1428.0,1738.0,1794.0,2323.5,2486.1,2890.1,3104.0,3467.2,3678.7,4087.0,4509.6,4856.9,5332.8,5884.8,6155.0,6219.01,7962.26
geoId-LCU,,,,240.0,219.0,435.5,510.0,591.0,683.0,757.0,885.2,979.4,1208.8,1021.7,1040.9,1103.7,1224.0,1193.4,1468.6,1706.8,1620.0,1668.6,1768.47
geoId-LAN,6982.0,7087.0,7926.0,8132.0,7475.0,7293.0,7880.0,11537.2,12972.0,15097.0,15301.5,15060.7,14769.5,15193.5,15270.7,16714.2,18908.4,19893.9,20595.8,21260.1,21634.0,18289.24,19299.26
geoId-LCI,428.3,409.9,414.9,441.8,543.6,627.7,768.5,989.0,1226.0,1431.0,1607.5,1902.7,2273.3,2808.0,2915.1,3247.3,3334.7,3961.1,5255.2,6131.0,4681.8,5981.58,7113.01
geoId-LDG,1477.0,1684.0,1684.0,1737.0,1950.8,2375.5,2962.1,3339.6,3852.0,4347.0,5176.4,6060.4,6628.9,7844.6,8184.7,6255.4,10774.4,11291.5,12648.0,14680.0,16573.0,17251.89,21288.33
geoId-LSN,2183.0,2344.0,2851.0,2860.0,2432.0,1509.0,1640.0,1883.0,2263.0,3121.0,3768.0,4034.8,4411.3,4886.2,5112.9,6007.6,5973.3,5710.6,5861.5,6920.7,6462.7,5154.0,6034.0
geoId-NDH,4656.0,5013.0,5865.0,6695.0,7326.0,7988.0,8609.0,9480.0,10994.0,13564.0,15854.3,16642.9,19491.3,21511.6,22657.1,22799.4,25900.4,28884.4,31146.7,34634.7,33602.4,34778.48,40064.81
geoId-NAN,6294.0,6725.49,9123.0,10748.0,13594.9,18274.0,21090.0,22567.7,24855.0,27218.0,29313.3,35327.4,40571.0,45372.9,50871.6,52374.1,57068.8,64967.3,89996.1,107139.5,118564.3,128191.77,155547.83
geoId-NTN,693.0,790.0,962.0,1000.0,1050.0,1312.0,1885.0,2114.0,2376.0,2916.0,3244.1,3549.4,4022.4,4279.3,4551.6,5134.9,5699.9,6053.3,5312.1,5906.5,5649.6,4956.96,6766.25
geoId-NBH,4752.0,4516.0,4885.0,5190.0,7726.0,8504.0,9551.0,15004.0,17761.0,22358.0,24064.3,29927.3,32341.4,33329.9,36311.6,41035.5,46825.1,49133.6,51102.8,54165.0,55034.0,58446.11,76681.29
geoId-PTO,2946.21,3891.67,4670.0,6409.4,7115.0,9120.9,12257.1,17887.0,18027.6,18887.0,20098.4,22835.1,27174.7,30333.0,33360.0,34157.9,37484.5,37709.5,40862.3,39047.4,40768.9,39014.29,43491.94
geoId-PYN,2921.0,3015.0,3141.0,3323.0,3613.0,3943.0,4524.0,4899.0,5499.0,5619.4,6584.1,7415.5,8330.8,8839.0,9395.8,9932.4,10828.0,11326.1,12037.1,12959.0,12198.9,9703.84,10650.64
geoId-QNM,1618.0,1865.0,2125.0,2453.0,2094.5,3247.0,3688.6,4427.0,4756.0,5567.0,6637.5,7654.8,7414.6,11865.9,12496.3,9848.4,14807.4,16966.2,17944.3,19121.7,14147.9,15785.71,12367.59
geoId-QNI,742.0,865.0,938.0,950.0,1048.0,1146.0,2040.0,2694.0,2645.0,3028.0,3185.2,5505.9,6716.5,6737.4,7203.2,8307.7,9034.1,11479.0,12629.0,13866.7,10726.7,10026.91,13790.66
geoId-QBH,3379.0,4220.0,4870.0,5530.0,5745.0,6221.0,5070.0,5487.0,6499.0,7377.0,8099.5,9576.9,10790.1,13178.5,14665.8,18089.5,19130.3,19228.4,21100.0,23218.3,23401.5,25029.53,27633.55
geoId-QNH,5270.0,6007.0,6755.0,7085.0,8291.0,9034.0,9976.0,13238.2,11196.2,12233.0,13283.0,15418.4,16923.2,18756.6,20063.3,22894.3,26753.8,29753.8,34213.7,39889.0,45521.0,51228.69,60904.72
geoId-QTI,1389.0,1682.0,1982.0,1938.0,2288.0,3139.1,3006.0,3171.0,4019.0,4864.4,5800.3,6082.4,6039.0,6721.1,7308.6,8141.6,8514.7,8965.6,9186.8,10643.2,10305.6,11169.95,13472.73
geoId-STG,2210.0,2255.0,2351.0,2456.0,2605.0,2708.0,2844.0,2227.1,3130.9,2416.1,2617.2,3321.6,3907.6,4683.7,4784.0,5295.7,5839.4,6264.9,6607.4,7809.0,7867.8,8341.61,10323.43
geoId-SLA,783.0,1007.0,1149.0,1524.0,2077.0,2082.0,2196.0,2371.0,2578.0,2686.0,2957.4,3097.6,3232.6,3440.8,3766.5,4028.0,4204.9,5259.8,5189.5,5637.7,6098.8,5299.9,5969.9
geoId-THA,9280.0,9736.0,10141.0,10578.0,11226.0,12629.0,14631.0,16751.0,18785.0,22147.0,24854.8,30315.1,34457.4,38269.5,41463.7,44458.6,49996.4,54656.1,58307.9,60791.0,53532.7,56005.75,62429.33
geoId-TNN,2543.0,2906.0,3352.0,4125.0,6128.4,7358.2,7942.0,9597.0,10314.0,12203.4,14233.3,16964.6,18212.4,19087.0,20532.1,21414.1,24459.2,30094.6,32231.3,33944.4,34481.7,45133.43,49678.56
geoId-TBH,2956.06,3277.59,3730.9,4260.8,5012.5,7121.7,7183.8,7818.1,8700.0,9558.0,12777.8,14948.4,16912.8,14215.9,15134.9,16446.0,17872.2,19022.8,19328.9,21724.2,21302.3,22665.65,27561.43
,1713.0,2038.2,3085.0,2962.0,3323.7,4661.0,4729.0,5098.4,5772.9,5834.0,5840.4,4392.5,5100.8,5433.0,5819.3,6258.5,6795.9,7283.5,8139.9,8942.2,8894.5,9376.21,9660.54
