Hạng và địa phương,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
geoId-AGG,229.0,269.0,278.0,279.0,230.0,194.0,198.0,200.0,202.0,202.0,202.0,202.0,203.0,203.0,189.0
geoId-BR-VT,74.0,88.0,89.0,79.0,85.0,86.0,87.0,86.0,88.0,88.0,88.0,88.0,83.0,82.0,80.0
geoId-BDG,78.0,81.0,83.0,86.0,91.0,95.0,95.0,105.0,106.0,106.0,106.0,106.0,106.0,97.0,98.0
geoId-BPC,50.0,50.0,50.0,50.0,50.0,50.0,50.0,52.0,52.0,56.0,56.0,58.0,57.0,58.0,58.0
geoId-BTN,139.0,176.0,142.0,146.0,145.0,137.0,137.0,138.0,137.0,137.0,137.0,137.0,137.0,137.0,138.0
geoId-BDH,212.0,212.0,210.0,171.0,171.0,173.0,179.0,179.0,179.0,179.0,179.0,179.0,180.0,184.0,184.0
geoId-BLU,72.0,72.0,69.0,69.0,69.0,69.0,69.0,69.0,69.0,63.0,63.0,63.0,63.0,63.0,62.0
geoId-BGG,11.0,130.0,130.0,131.0,131.0,131.0,135.0,134.0,132.0,133.0,132.0,133.0,133.0,132.0,131.0
geoId-BKN,66.0,77.0,65.0,65.0,65.0,65.0,65.0,66.0,66.0,66.0,65.0,65.0,65.0,64.0,64.0
geoId-BNH,86.0,91.0,91.0,91.0,91.0,108.0,103.0,108.0,107.0,107.0,108.0,108.0,108.0,108.0,108.0
geoId-SCC,2325.0,2475.0,2462.0,2427.0,2457.0,2466.0,2482.0,2488.0,2431.0,2401.0,2371.0,2369.0,2359.0,2332.0,2335.0
geoId-BTE,172.0,172.0,174.0,170.0,170.0,170.0,170.0,170.0,170.0,172.0,172.0,172.0,172.0,154.0,154.0
geoId-CBG,75.0,77.0,78.0,80.0,80.0,80.0,80.0,83.0,84.0,82.0,77.0,74.0,72.0,80.0,79.0
geoId-CMU,73.0,85.0,86.0,87.0,86.0,85.0,85.0,86.0,85.0,72.0,72.0,72.0,72.0,71.0,71.0
geoId-VNM,7871.0,8495.0,8538.0,8550.0,8547.0,8546.0,8597.0,8660.0,8591.0,8580.0,8475.0,8500.0,8581.0,8549.0,8517.0
geoId-CTO,102.0,104.0,102.0,107.0,107.0,107.0,107.0,107.0,106.0,112.0,107.0,106.0,105.0,109.0,109.0
geoId-GLI,73.0,73.0,76.0,84.0,83.0,83.0,87.0,88.0,91.0,93.0,93.0,93.0,93.0,96.0,102.0
geoId-HGG,195.0,186.0,196.0,193.0,178.0,176.0,179.0,166.0,156.0,162.0,162.0,164.0,170.0,170.0,173.0
geoId-HNM,87.0,93.0,98.0,106.0,106.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0
geoId-HNI,362.0,410.0,411.0,411.0,414.0,418.0,426.0,425.0,454.0,454.0,454.0,455.0,595.0,595.0,595.0
geoId-HTH,171.0,173.0,173.0,173.0,173.0,173.0,173.0,173.0,173.0,168.0,168.0,168.0,151.0,151.0,151.0
geoId-HBH,85.0,101.0,92.0,92.0,92.0,92.0,93.0,93.0,93.0,94.0,93.0,93.0,95.0,95.0,95.0
geoId-HYN,99.0,99.0,99.0,99.0,99.0,101.0,103.0,104.0,106.0,107.0,107.0,107.0,107.0,104.0,103.0
,215.0,219.0,224.0,232.0,247.0,236.0,236.0,284.0,236.0,234.0,229.0,234.0,236.0,239.0,231.0
,921.0,954.0,907.0,936.0,926.0,935.0,932.0,924.0,902.0,888.0,903.0,907.0,902.0,881.0,876.0
,6735.0,7322.0,7407.0,7382.0,7374.0,7375.0,7429.0,7452.0,7453.0,7458.0,7343.0,7359.0,7443.0,7429.0,7410.0
geoId-HDG,150.0,150.0,176.0,176.0,176.0,175.0,151.0,175.0,178.0,172.0,172.0,172.0,172.0,186.0,186.0
geoId-HPG,155.0,151.0,152.0,143.0,143.0,143.0,154.0,154.0,154.0,154.0,154.0,156.0,156.0,156.0,156.0
geoId-HGG,60.0,64.0,64.0,65.0,73.0,70.0,70.0,71.0,72.0,72.0,64.0,63.0,63.0,71.0,71.0
geoId-KHA,125.0,125.0,125.0,125.0,125.0,125.0,125.0,125.0,125.0,115.0,115.0,116.0,116.0,116.0,115.0
geoId-KGG,165.0,150.0,146.0,132.0,130.0,143.0,143.0,143.0,137.0,144.0,144.0,144.0,136.0,136.0,142.0
geoId-KTM,30.0,30.0,25.0,27.0,25.0,24.0,24.0,26.0,26.0,27.0,27.0,28.0,30.0,32.0,32.0
geoId-LCU,15.0,14.0,22.0,26.0,24.0,25.0,25.0,26.0,28.0,28.0,28.0,27.0,27.0,27.0,28.0
